Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Airtel Payments Bank Apps,2022,4,5.29,454.64,,,,,5.3,460.9
Amazon Pay,2022,4,73.21,6699.57,,,,,73.21,6699.57
AU Small Finance Bank App,2022,4,0.32,109.89,,,,,0.32,109.89
Axis Bank Apps,2022,4,7.19,1213.44,56.84,43.71,0.0,0.0,64.03,1257.15
Bajaj Finserv,2022,4,0.52,38.61,,,,,0.52,38.61
Bank of Baroda Apps,2022,4,0.77,344.65,,,,,0.77,344.65
Bank of India App,2022,4,0.1,32.62,0.0,0.0,,,0.1,32.62
Bank of Maharashtra App,2022,4,0.05,14.56,,,,,0.05,14.56
BHIM,2022,4,25.69,8354.34,,,,,25.69,8354.34
Canara Bank App,2022,4,0.31,110.31,,,,,0.31,110.31
Central Bank of India App,2022,4,0.13,51.04,,,,,0.13,51.04
Citi Bank App,2022,4,0.08,66.03,,,,,0.08,66.03
City Union Bank App,2022,4,0.03,8.41,,,,,0.03,8.41
Cointab,2022,4,0.07,28.5,,,,,0.07,28.5
Cred,2022,4,13.05,16372.92,,,,,13.05,16372.92
DBS Bank Apps,2022,4,0.47,175.45,,,,,0.47,175.45
Deutsche Bank App,2022,4,1.51,128.13,,,0.0,0.3,1.51,128.43
Dhanlaxmi Bank App,2022,4,0.01,3.02,,,,,0.01,3.02
Fave,2022,4,0.18,7.73,,,,,0.18,7.73
Federal Bank App,2022,4,2.7,375.64,,,,,2.7,375.64
Fino Payments Bank App,2022,4,0.04,3.26,,,,,0.04,3.26
Finserv Markets,2022,4,0.01,1.06,,,,,0.01,1.06
Finshell Pay,2022,4,0.08,4.45,,,,,0.08,4.45
GoIbibo,2022,4,0.01,3.31,,,,,0.01,3.31
Google Pay,2022,4,1914.77,344791.35,,,,,1914.77,344791.35
Groww,2022,4,0.61,376.18,,,,,0.61,376.18
HDFC Bank Apps,2022,4,5.9,1759.12,,,,,5.9,1759.12
HSBC Bank App,2022,4,0.11,59.7,0.0,0.02,,,0.11,59.72
ICICI Bank Apps,2022,4,32.82,9086.72,4.83,269.45,,,37.65,9356.17
IDBI Bank App,2022,4,0.03,16.78,,,,,0.03,16.78
IDFC First Bank Apps,2022,4,2.49,532.69,,,0.0,0.0,2.49,532.69
India Post Payments Bank App,2022,4,2.8,328.53,,,,,2.8,328.53
Indian Bank App,2022,4,0.14,49.9,,,0.0,0.0,0.14,49.9
Indian Overseas Bank Apps,2022,4,0.01,1.52,,,,,0.01,1.52
INDIE,2022,4,1.02,2596.71,,,,,1.02,2596.71
Janta Sahakari Bank App,2022,4,0.01,4.28,,,,,0.01,4.28
Jio Payments Bank App,2022,4,2.1,126.25,,,,,2.1,126.25
Jupiter Money,2022,4,1.47,186.13,,,,,1.47,186.13
Jupiter Money,2022,4,0.01,0.43,,,,,0.01,0.43
Karnataka Bank App,2022,4,0.27,35.58,,,,,0.27,35.58
Karur Vysya Bank App,2022,4,0.04,18.54,,,,,0.04,18.54
Kotak Mahindra Bank Apps,2022,4,7.96,1684.35,,,,,7.96,1684.35
MakeMyTrip,2022,4,0.09,41.18,,,,,0.09,41.18
MI Pay,2022,4,0.19,28.58,,,,,0.19,28.58
Mobikwik,2022,4,2.37,421.47,,,,,2.37,421.47
NSDL Payments Bank App,2022,4,0.02,2.32,,,,,0.02,2.32
Paytm,2022,4,740.76,85918.88,11.15,15.98,,,851.61,101649.06
PhonePe,2022,4,2616.26,486557.03,,,,,2616.26,486557.03
Punjab National Bank App,2022,4,0.09,46.27,,,,,0.09,46.27
Punjab Sindh Bank App,2022,4,0.01,5.38,,,,,0.01,5.38
RBL Bank App,2022,4,0.3,113.65,,,0.0,0.0,0.3,113.65
Samsung Pay,2022,4,3.81,470.11,,,,,3.81,470.11
South Indian Bank App,2022,4,0.13,45.03,,,,,0.13,45.03
Standard Chartered Bank App,2022,4,0.12,68.15,,,,,0.12,68.15
SBI Bank Apps,2022,4,4.03,2118.0,,,,,4.03,2118.0
SuperPay,2022,4,0.02,0.4,,,,,0.02,0.4
Tamilnad Mercantile Bank Apps,2022,4,0.01,0.26,,,,,0.01,0.26
TataNeu,2022,4,0.35,32.82,,,,,0.35,32.82
UCO Bank App,2022,4,0.21,41.48,,,,,0.21,41.48
Ultracash,2022,4,0.03,2.22,,,,,0.03,2.22
Union Bank Apps,2022,4,0.42,198.34,,,,,0.42,198.34
Utkarsh Small Finance Bank,2022,4,0.01,3.88,,,,,0.01,3.88
WhatsApp,2022,4,2.5,242.4,,,,,2.5,242.4
Yes Bank Apps,2022,4,34.07,10246.99,0.0,0.0,,,34.07,10246.99
YuvaPay,2022,4,0.06,103.34,,,,,0.06,103.34
Others,2022,4,0.02,8.26,,,,,0.02,8.26
Airtel Payments Bank Apps,2023,4,9.04,640.16,0.0,0.0,0.0,0.0,9.04,640.22
Allahabad Bank App,2023,4,0.03,8.96,0.0,0.0,0.0,0.0,0.03,8.96
Amazon Pay,2023,4,53.44,5351.07,0.0,0.0,0.0,0.0,53.44,5351.07
AU Small Finance Bank App,2023,4,0.63,184.93,0.0,0.0,0.0,0.0,0.63,184.93
Axis Bank Apps,2023,4,9.36,1584.45,42.35,282.63,0.03,2.81,51.74,1869.89
Bajaj Finserv,2023,4,7.68,1053.08,0.0,0.0,0.0,0.0,7.68,1053.08
Bandhan Bank Apps,2023,4,0.01,1.44,0.0,0.0,0.0,0.0,0.01,1.44
Bank of Baroda Apps,2023,4,1.06,392.74,0.0,0.0,0.0,0.0,1.06,392.74
Bank of India App,2023,4,0.22,66.93,0.0,0.0,0.0,0.0,0.22,66.93
Bank of Maharashtra App,2023,4,0.06,19.83,0.0,0.0,0.0,0.0,0.06,19.83
BHIM,2023,4,23.77,7368.61,0.0,0.0,0.0,0.0,23.77,7368.61
BPAYWALLET,2023,4,0.05,9.91,0.0,0.0,0.0,0.0,0.05,9.91
Canara Bank App,2023,4,1.4,383.46,0.0,0.0,0.0,0.0,1.4,383.46
Central Bank of India App,2023,4,0.41,91.19,0.0,0.0,0.0,0.08,0.41,91.27
Citi Bank App,2023,4,0.1,58.17,0.0,0.0,0.0,0.0,0.1,58.17
City Union Bank App,2023,4,0.06,18.31,0.0,0.0,0.0,0.0,0.06,18.31
Cointab,2023,4,0.02,10.61,0.0,0.0,0.0,0.0,0.02,10.61
Cred,2023,4,45.7,20729.56,0.0,0.0,0.0,0.0,45.7,20729.56
DBS Bank Apps,2023,4,0.41,173.13,0.0,0.0,0.0,0.0,0.41,173.13
Deutsche Bank App,2023,4,1.65,142.8,0.0,0.0,0.0,0.86,1.65,143.66
Dhani,2023,4,0.08,9.21,0.0,0.0,0.0,0.0,0.08,9.21
Dhanlaxmi Bank App,2023,4,0.01,2.8,0.0,0.0,0.0,0.0,0.01,2.8
Equitas Small Apps,2023,4,0.02,13.86,0.0,0.0,0.0,0.0,0.02,13.86
FAM,2023,4,11.78,146.58,0.0,0.0,0.0,0.0,11.78,146.58
Fave,2023,4,0.03,3.27,0.0,0.0,0.0,0.0,0.03,3.27
Federal Bank App,2023,4,5.18,624.64,0.0,0.0,0.0,0.0,5.18,624.64
Fino Payments Bank App,2023,4,0.08,5.67,0.0,0.0,0.0,0.0,0.08,5.67
Google Pay,2023,4,3109.24,474049.9,0.0,0.0,0.0,0.0,3109.24,474049.9
Groww,2023,4,0.11,80.85,0.0,0.0,0.0,0.0,0.11,80.85
HDFC Bank Apps,2023,4,14.48,3685.33,0.0,0.0,0.0,16.48,14.48,3701.81
HSBC Bank App,2023,4,0.14,90.1,0.0,0.03,0.0,0.0,0.14,90.13
ICICI Bank Apps,2023,4,30.69,8941.59,5.34,323.96,5.95,7439.02,41.98,16704.57
IDBI Bank App,2023,4,0.07,32.02,0.0,0.0,0.0,0.0,0.07,32.02
IDFC First Bank Apps,2023,4,11.96,2274.12,0.0,0.0,0.71,591.19,12.66,2865.32
India Post Payments Bank App,2023,4,5.24,746.48,0.0,0.0,0.0,0.0,5.24,746.48
Indian Bank App,2023,4,0.27,75.66,0.0,0.0,0.0,10.71,0.27,86.37
Indian Overseas Bank Apps,2023,4,0.03,7.76,0.0,0.0,0.0,0.0,0.03,7.76
INDIE,2023,4,0.8,877.27,0.0,0.0,0.0,0.0,0.8,877.27
Jio Payments Bank App,2023,4,1.49,112.21,0.0,0.0,0.0,0.0,1.49,112.21
Jupiter Money,2023,4,2.72,380.27,0.0,0.0,0.0,0.0,2.72,380.27
Akudo & Muvin (Livquik),2023,4,0.11,4.25,0.0,0.0,0.0,0.0,0.11,4.25
Karnataka Bank App,2023,4,0.51,110.35,0.0,0.0,0.0,0.0,0.51,110.35
Karur Vysya Bank App,2023,4,0.04,14.19,0.0,0.0,0.0,0.0,0.04,14.19
Kotak Mahindra Bank Apps,2023,4,13.98,2845.64,0.0,0.0,0.0,0.01,13.98,2845.65
MakeMyTrip,2023,4,0.02,12.91,0.0,0.0,0.0,0.0,0.02,12.91
Mobikwik,2023,4,3.48,923.59,0.0,0.0,0.0,0.0,3.48,923.59
NSDL Payments Bank App,2023,4,0.02,3.42,0.0,0.0,0.0,0.0,0.02,3.42
OMNI,2023,4,0.26,6.74,0.0,0.0,0.0,0.0,0.26,6.74
Paytm,2023,4,1184.38,135343.96,8.83,14.25,0.53,793.27,1299.25,155711.73
PhonePe,2023,4,4216.99,710178.44,0.0,0.0,0.0,0.0,4216.99,710178.44
PINELABS,2023,4,0.02,1.31,0.0,0.0,0.0,0.0,0.02,1.31
Punjab National Bank App,2023,4,1.03,148.27,0.0,0.0,0.0,0.01,1.03,148.28
Punjab Sindh Bank App,2023,4,0.04,14.04,0.0,0.0,0.0,0.0,0.04,14.04
RBL Bank App,2023,4,1.56,489.63,0.0,0.0,0.1,2.7,1.66,492.33
Samsung Pay,2023,4,5.67,511.04,0.0,0.0,0.0,0.0,5.67,511.04
Slash,2023,4,0.01,0.32,0.0,0.0,0.0,0.0,0.01,0.32
Slice,2023,4,0.66,170.62,0.0,0.0,0.0,0.0,0.66,170.62
South Indian Bank App,2023,4,0.22,63.81,0.0,0.0,0.0,0.0,0.22,63.81
