Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,8.69,681.55,-,-,0,0,8.7,681.67
2,Allahabad Bank Apps,0.03,9.75,-,-,-,-,0.03,9.75
3,Amazon Pay,69.61,6621.66,-,-,-,-,69.61,6621.66
4,AU Small Finance Bank Apps,0.58,177.47,-,-,-,-,0.58,177.47
5,Axis Bank Apps,7.26,1246.36,58.27,56.3,0.03,2.44,65.56,1305.09
6,Bajaj Finserv,4.56,647.71,-,-,-,-,4.56,647.71
7,Bandhan Bank Apps,0.01,1.53,-,-,-,-,0.01,1.53
8,Bank of Baroda Apps,1.02,397.56,-,-,0,0,1.02,397.56
9,Bank of India Apps,0.22,64.32,-,-,-,-,0.22,64.32
10,Bank of Maharashtra Apps,0.08,19.91,-,-,-,-,0.08,19.91
11,BHIM,25.5,8400.04,-,-,-,-,25.5,8400.04
12,Canara Bank Apps,1.02,275.7,-,-,-,-,1.02,275.7
13,Central Bank of India Apps,0.26,60.28,-,-,0,0.05,0.26,60.32
14,Citi Bank Apps,0.09,68.38,-,-,0,0,0.09,68.38
15,City Union Bank Apps,0.05,14.38,-,-,-,-,0.05,14.38
16,Cointab,0.05,18.98,-,-,-,-,0.05,18.98
17,Cred,31.42,19622.29,-,-,-,-,31.42,19622.29
18,DBS Digibank Apps,0.41,171.59,-,-,-,-,0.41,171.59
19,Deutsche Bank Apps,1.28,104.47,-,-,0,0.01,1.28,104.49
20,Dhanlaxmi Bank Apps,0.01,3.16,-,-,-,-,0.01,3.16
21,Equitas Small Finance Bank Apps,0.02,11.69,-,-,-,-,0.02,11.69
22,Fampay PPI,9.7,127.18,-,-,0,0.01,9.7,127.19
23,Fave,0.08,5.01,-,-,-,-,0.08,5.01
24,Federal Bank Apps,4.57,595.17,-,-,0,0.01,4.57,595.18
25,Fino Payments bank Apps,0.11,7.49,-,-,-,-,0.11,7.49
26,Google Pay,2712.34,440370.99,-,-,-,-,2712.34,440370.99
27,Groww,0.21,153.02,-,-,-,-,0.21,153.02
28,HDFC Bank Apps,11.81,3143.08,-,-,0,0.15,11.81,3143.24
29,HSBC Bank Apps,0.15,78.59,0,0.05,0,0,0.15,78.63
30,ICICI Bank Apps,36.74,8815.95,5.17,418.68,6.38,6890.51,48.29,16125.15
31,IDBI Bank Apps,0.07,29.5,-,-,-,-,0.07,29.5
32,IDFC Bank Apps,9.55,1184.6,-,-,0.16,138.38,9.7,1322.98
33,India Post Payments Bank Apps,5.55,682.59,-,-,-,-,5.55,682.59
34,Indian Bank Apps,0.25,73.71,-,-,0,0,0.25,73.71
35,Indian Overseas Bank Apps,0.01,2.9,-,-,-,-,0.01,2.9
36,IndusInd Bank Apps,1.26,1062.4,-,-,-,-,1.26,1062.4
37,Janata Sahakari Bank Apps,0.01,4.58,-,-,-,-,0.01,4.58
38,Jio Payments Bank Apps,1.48,104.71,-,-,-,-,1.48,104.71
39,Jupiter,2.53,318.03,-,-,-,-,2.53,318.03
40,Karnataka Bank Apps,0.48,91.09,-,-,-,-,0.48,91.09
41,Karur Vysya Bank Apps,0.04,14.87,-,-,-,-,0.04,14.87
42,Kotak Mahindra Bank Apps,11.53,2480.17,-,-,0,0.01,11.53,2480.18
43,MakeMyTrip,0.1,52.3,-,-,-,-,0.1,52.3
44,Mobikwik,3.62,806.82,-,-,-,-,3.62,806.82
45,NSDL Payments Bank Apps,0.02,2.95,-,-,-,-,0.02,2.95
46,Paytm Payments Bank App,1054.05,118069.81,6.08,16.86,0.43,580.52,1170.34,138821.66
47,PhonePe,3674.24,639348.78,-,-,-,-,3674.24,639348.78
48,Punjab National Bank Apps,0.22,76.7,-,-,-,-,0.22,76.7
49,Punjab Sind Bank Apps,0.03,10.48,-,-,-,-,0.03,10.48
50,RBL Bank Apps,0.92,214.4,0,0.01,0.18,0.89,1.1,215.3
51,Samsung Pay,5.49,531.12,-,-,-,-,5.49,531.12
52,Slash,0.01,0.79,-,-,-,-,0.01,0.79
53,Slice,0.15,15.74,-,-,-,-,0.15,15.74
54,South Indian Bank Apps,0.18,53.2,-,-,-,-,0.18,53.2
55,Standard Chartered Bank Apps,0.16,90.42,0,0,0,0,0.16,90.42
56,State Bank of India Apps,4.22,1928.43,-,-,0,0,4.22,1928.43
57,Tamilnad Mercantile Bank Apps,0.08,12.13,-,-,-,-,0.08,12.13
58,TataNeu,0.15,17.64,-,-,-,-,0.15,17.64
59,UCO Bank Apps,0.31,93.32,-,-,-,-,0.31,93.32
60,Ultracash,0.03,1.65,-,-,-,-,0.03,1.65
61,Union Bank Apps,0.92,310.63,-,-,-,-,0.92,310.63
62,Utkarsh Small Finance Bank Apps,0.02,7.81,-,-,-,-,0.02,7.81
63,WhatsApp,11.05,917.49,-,-,-,-,11.05,917.49
64,Yes Bank Apps,35.98,13324.11,0,0,0.18,91.35,36.16,13415.46
65,Others,0.03,7.64,-,-,0,0,0.03,7.64
