Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,8.71,730.35,-,-,0,0.01,8.71,730.45
2,Allahabad Bank Apps,0.03,8.47,-,-,-,-,0.03,8.47
3,Amazon Pay,47.8,4981.82,-,-,-,-,47.8,4981.82
4,AU Small Finance Bank Apps,0.55,165.07,-,-,-,-,0.55,165.07
5,Axis Bank Apps,7.74,1352.53,44.19,58.61,0.03,2.82,51.95,1413.95
6,Bajaj Finserv,5.44,882.75,-,-,-,-,5.44,882.75
7,Bandhan Bank Apps,0.01,1.71,-,-,-,-,0.01,1.71
8,Bank of Baroda Apps,1.14,408.18,-,-,0,1.15,1.14,409.33
9,Bank of India Apps,0.24,68.69,0,0,-,-,0.24,68.69
10,Bank of Maharashtra Apps,0.07,19.02,-,-,-,-,0.07,19.02
11,BHIM,23.21,7158.37,-,-,-,-,23.21,7158.37
12,Bajaj Finserv,0.01,3.43,-,-,-,-,0.01,3.43
13,Canara Bank Apps,1.09,284.23,-,-,-,-,1.09,284.23
14,Central Bank of India Apps,0.32,72.05,-,-,0,0.1,0.32,72.15
15,Citi Bank Apps,0.08,59.37,-,-,0,0,0.08,59.37
16,City Union Bank Apps,0.06,15.94,-,-,-,-,0.06,15.94
17,Cointab,0.04,16.4,-,-,-,-,0.04,16.4
18,Cred,36.57,17902.2,-,-,-,-,36.57,17902.2
19,DBS Digibank Apps,0.39,161.51,-,-,-,-,0.39,161.51
20,Deutsche Bank Apps,1.31,112.45,-,-,0.01,5.9,1.32,118.35
21,Transerv,0.02,3.13,-,-,-,-,0.02,3.13
22,Dhanlaxmi Bank Apps,0.01,2.67,-,-,-,-,0.01,2.67
23,Equitas Small Finance Bank Apps,0.02,11.41,-,-,-,-,0.02,11.41
24,EROUTE,0.17,6.08,-,-,-,-,0.17,6.08
25,FamPay PPI,1.6,21.73,-,-,-,-,1.6,21.73
26,Fave,0.11,7.08,-,-,-,-,0.11,7.08
27,Federal Bank Apps,4.76,590.97,-,-,0,0,4.76,590.97
28,Fino Payments bank Apps,0.1,6.5,-,-,-,-,0.1,6.5
29,Google Pay,2639.55,424442.48,-,-,-,-,2639.55,424442.48
30,Groww,0.21,158.9,-,-,-,-,0.21,158.9
31,HDFC Bank Apps,11.87,3116.03,-,-,0,0.14,11.87,3116.17
32,HSBC Bank Apps,0.12,73.02,0,0.02,0,0,0.12,73.04
33,ICICI Bank Apps,28.99,8054.44,5.68,390.6,5.84,6386.36,40.52,14831.4
34,IDBI Bank Apps,0.07,29.25,-,-,-,-,0.07,29.25
35,IDFC Bank Apps,21.31,2176.07,-,-,0.98,868.14,22.28,3044.21
36,India Post Payments Bank Apps,4.05,609.49,-,-,-,-,4.05,609.49
37,Indian Bank Apps,0.24,68.44,-,-,0,0.13,0.24,68.57
38,Indian Overseas Bank Apps,0.01,2.31,-,-,-,-,0.01,2.31
39,IndusInd Bank Apps,0.78,848.43,-,-,-,-,0.78,848.43
40,Jio Payments Bank Apps,1.5,104.03,-,-,-,-,1.5,104.03
41,Jupiter,2.39,314.07,-,-,-,-,2.39,314.07
42,Karnataka Bank Apps,0.39,88.38,-,-,-,-,0.39,88.38
43,Karur Vysya Bank Apps,0.04,14.78,-,-,-,-,0.04,14.78
44,Kotak Mahindra Bank Apps,12.09,2521.61,-,-,0,0.03,12.09,2521.65
45,MakeMyTrip,0.05,22.7,-,-,-,-,0.05,22.7
46,Mobikwik,3.39,804.92,-,-,-,-,3.39,804.92
47,NSDL Payments Bank Apps,0.02,3,-,-,-,-,0.02,3
48,Paytm Payments Bank App,1027.97,116864.36,10.52,17.08,0.43,621.78,1137.53,136528.25
49,PhonePe,3519.12,620121.97,-,-,-,-,3519.12,620121.97
50,Punjab National Bank Apps,0.33,90.01,-,-,-,-,0.33,90.01
51,Punjab Sind Bank Apps,0.04,12.34,-,-,-,-,0.04,12.34
52,RBL Bank Apps,1.65,487.72,0,0,0.1,1.72,1.74,489.45
53,Samsung Pay,5.24,488.33,-,-,-,-,5.24,488.33
54,Slash,0.01,0.49,-,-,-,-,0.01,0.49
55,slice,0.47,117.78,-,-,-,-,0.47,117.78
56,South Indian Bank Apps,0.2,54.81,-,-,-,-,0.2,54.81
57,Standard Chartered Bank Apps,0.14,82.79,0,0,-,-,0.14,82.79
58,State Bank of India Apps,3.72,1753.88,-,-,0,0.05,3.72,1753.93
59,Tamilnad Mercantile Bank Apps,0.06,10.21,-,-,-,-,0.06,10.21
60,TataNeu,0.13,14.54,-,-,-,-,0.13,14.54
61,UCO Bank Apps,0.31,97.44,-,-,-,-,0.31,97.44
62,Ultracash,0.03,1.67,-,-,-,-,0.03,1.67
63,Union Bank Apps,0.71,280.27,-,-,-,-,0.71,280.27
64,Utkarsh Small Finance Bank Apps,0.02,9.01,-,-,-,-,0.02,9.01
65,WhatsApp,11.63,970.67,-,-,-,-,11.63,970.67
66,Yes Bank Apps,25.89,7481.18,-,-,0.66,37.06,26.55,7518.24
67,Others,0.03,9.01,0,-,0,0,0.03,9.01
