Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,8.53,2047.45,-,-,-,-,13.22,4729.77
2,Allahabad Bank App,0.02,7.36,-,-,-,-,0.02,7.36
3,Amazon Pay,73.5,6729.66,-,-,-,-,73.5,6729.66
4,AU Small Finance Bank App,0.23,81.15,-,-,-,-,0.23,81.15
5,Axis Bank Apps,6.78,1058.77,40.47,34.25,-,-,47.25,1093.02
6,Bajaj Finserv,0.24,12.88,-,-,-,-,0.24,12.88
7,Bank of Baroda Apps,0.71,342.85,-,-,-,-,0.71,342.85
8,Bank of India App,0.05,20.23,-,-,-,-,0.05,20.23
9,Bank of Maharashtra App,0.05,12.46,-,-,-,-,0.05,12.46
10,BHIM,25.82,8511.91,-,-,-,-,25.82,8511.91
11,Canara Bank App,0.26,98.95,-,-,-,-,0.26,98.95
12,Central Bank of India App,0.13,47.33,-,-,-,-,0.13,47.33
13,Citi Bank App,0.09,77.8,-,-,-,-,0.09,77.8
14,City Union Bank App,0.02,4.92,-,-,-,-,0.02,4.92
15,Cointab,1.21,179.22,-,-,-,-,1.21,179.22
16,Cred,10.68,14189.86,-,-,-,-,10.68,14189.86
17,DBS Digibank App,0.51,186.79,-,-,-,-,0.51,186.79
18,Dena Bank App,0.02,26.5,-,-,-,-,0.02,26.5
19,Deutsche Bank App,0.92,61.95,-,-,-,0.13,0.92,62.08
20,Dhanlaxmi Bank App,0.01,2.95,-,-,-,-,0.01,2.95
21,Federal Bank App,0.54,109.25,-,-,-,-,0.54,109.25
22,Fino Payments bank App,0.03,2.79,-,-,-,-,0.03,2.79
23,Finshell Pay,0.07,3.69,-,-,-,-,0.07,3.69
24,Google Pay,1584.2,298267.07,-,-,-,-,1584.2,298267.07
25,HDFC Bank Apps,4.94,1366.89,-,-,-,-,4.94,1366.89
26,HSBC Bank App,0.08,54.47,0,0.09,-,-,0.08,54.57
27,ICICI Bank Apps,29.87,8491.18,3.57,215.87,-,-,33.43,8707.05
28,IDBI Bank App,0.02,12.54,-,-,-,-,0.02,12.54
29,IDFC Bank App,1.22,316.37,-,-,-,-,1.22,316.37
30,India Post Payments Bank App,2.65,309.42,-,-,-,-,2.65,309.42
31,Indian Bank App,0.13,47.42,-,-,-,-,0.13,47.42
32,IndusInd Bank App,0.74,1218.79,-,-,-,-,0.74,1218.79
33,Jammu and Kashmir Bank App,0.01,2.47,-,-,-,-,0.01,2.47
34,Janta Sahakari Bank App,0.01,4.46,-,-,-,-,0.01,4.46
35,Jio Payments Bank App,2.05,114.39,-,-,-,-,2.05,114.39
36,Jupiter Money,1.02,156.15,-,-,-,-,1.02,156.15
37,Karnataka Bank App,0.25,31.19,-,-,-,-,0.25,31.19
38,Karur Vysya Bank App,0.04,17.37,-,-,-,-,0.04,17.37
39,Kotak Mahindra Bank Apps,6.88,1333.06,-,-,-,-,6.88,1333.06
40,MakeMy Trip,0.06,19.63,-,-,-,-,0.06,19.63
41,MI Pay,0.27,40.51,-,-,-,-,0.27,40.51
42,Mobikwik,3.87,886.55,-,-,-,-,3.87,886.55
43,NSDL Payments Bank App,0.02,1.45,-,-,-,-,0.02,1.45
44,Paytm Payments Bank App,615.9,70892.01,8,13.36,-,-,710.28,85125.97
45,PhonePe,2140.28,405173.78,-,-,-,-,2140.28,405173.78
46,Punjab National Bank App,0.09,44.86,-,-,-,0,0.09,44.86
47,Punjab Sindh Bank App,0.01,2.87,-,-,-,-,0.01,2.87
48,RBL Bank App,0.42,101.45,-,-,0.01,0,0.43,101.45
49,Samsung Pay,3.17,431.07,-,-,-,-,3.17,431.07
50,South Indian Bank App,0.13,41.4,-,-,-,-,0.13,41.4
51,Standard Chartered Bank App,0.11,60.49,-,-,-,-,0.11,60.49
52,State Bank of India Apps,3.62,1967.04,-,-,0,0.01,3.62,1967.05
53,UCO Bank App,0.16,37.26,-,-,-,-,0.16,37.26
54,Ultracash,2.14,177.63,-,-,-,-,2.14,177.63
55,Union Bank Apps,0.39,182.27,-,-,-,-,0.39,182.27
56,WhatsApp,2.34,205.83,-,-,-,-,2.34,205.83
57,Yes Bank Apps,27.24,5816.96,0.35,0.2,-,-,27.59,5817.16
58,YuvaPay,0.05,77.12,-,-,-,-,0.05,77.12
59,Others,0.02,9.08,-,-,-,-,0.02,9.08
