Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe,4743.66,761247.87,0,0,0,0,4743.66,761247.87
2,Google Pay,3494.64,518095.1,0,0,0,0,3494.64,518095.1
3,Paytm Payments Bank App,1278.96,147723.3,1.4,4.19,0.57,887.53,1393.66,170767.35
4,Cred,80.34,30999.71,0,0,0,0,80.34,30999.71
5,Axis Bank Apps,9.77,1767.83,54.52,1447.04,0.01,2.16,64.3,3217.03
6,Amazon Pay,57.6,6163.84,0,0,0,0,57.6,6163.84
7,ICICI Bank Apps,24.47,8077.88,4.14,312.8,7.31,9379.69,35.92,17770.37
8,Yes Bank Apps,31.53,11419.73,0,0,0.48,83.07,32.01,11502.79
9,BHIM,24.94,8244.91,0,0,0,0,24.94,8244.91
10,Kotak Mahindra Bank Apps,18.56,3480.59,0,0,0,0.01,18.56,3480.6
11,WhatsApp,17.84,1598.67,0,0,0,0,17.84,1598.67
12,HDFC Bank Apps,17.77,4410.51,0,0,0,0,17.77,4410.51
13,Fampay,16.79,206.43,0,0,0,0,16.79,206.43
14,Bajaj Finserv,12.11,1740.97,0,0,0,0,12.11,1740.97
15,Airtel Payments Bank Apps,9.65,665.97,0,0,0,0.01,9.65,666.04
16,Samsung Pay,5.81,544.13,0,0,0,0,5.81,544.13
17,India Post Payments Bank Apps,5.43,587.75,0,0,0,0,5.43,587.75
18,Federal Bank Apps,5.19,665.11,0,0,0,0,5.19,665.11
19,State Bank of India Apps,4.99,2094.63,0,0,0.02,0.52,5.01,2095.15
20,IDFC Bank Apps,4.17,1121.41,0,0,0,0,4.17,1121.41
21,Standard Chartered Bank Apps,3.54,1606.29,0,0,0.6,523.09,4.14,2129.38
22,Mobikwik,3.79,1140.63,0,0,0,0,3.79,1140.63
23,Jupiter,3.27,466.39,0,0,0,0,3.27,466.39
24,Groww,2.81,2075.98,0,0,0,0,2.81,2075.98
25,Deutsche Bank Apps,1.83,175.5,0,0,0,0.02,1.83,175.52
26,Canara Bank Apps,1.73,514.02,0,0,0,0,1.73,514.02
27,Kiwi,1.53,52.51,0,0,0,0,1.53,52.51
28,Bank of Baroda Apps,1.34,477.16,0,0,0,0,1.34,477.16
29,Jio Payments Bank Apps,1.34,114.12,0,0,0,0,1.34,114.12
30,RBL Bank Apps,1.13,523.22,0,0.01,0.14,6.35,1.28,529.58
31,slice,0.94,301,0,0,0,0,0.94,301
32,Union Bank Apps,0.88,349.19,0,0,0,0,0.88,349.19
33,IndusInd Bank Apps,0.84,723.32,0,0,0,0,0.84,723.32
34,Punjab National Bank Apps,0.79,181.5,0,0,0,0,0.79,181.5
35,AU Small Finance Bank Apps,0.68,209.86,0,0,0,0,0.68,209.86
36,Omnicard,0.62,19.49,0,0,0,0,0.62,19.49
37,Karnataka Bank Apps,0.61,124.34,0,0,0,0,0.61,124.34
38,DBS Digibank Apps,0.44,179.34,0,0,0,0.37,0.44,179.72
39,Central Bank of India Apps,0.44,97.52,0,0,0,0.23,0.44,97.75
40,UCO Bank Apps,0.36,116.31,0,0,0,0,0.36,116.31
41,Indian Bank Apps,0.31,92.29,0,0,0,0.35,0.31,92.64
42,South Indian Bank Apps,0.25,73.83,0,0,0,0,0.25,73.83
43,Bank of India Apps,0.25,78.83,0,0,0,0,0.25,78.83
44,Fino Payments bank Apps,0.17,13.36,0,0,0,0,0.17,13.36
45,HSBC Bank Apps,0.16,96.44,0,0.08,0,0,0.16,96.52
46,Fave,0.12,7.56,0,0,0,0,0.12,7.56
47,Bajaj Finserv PPI,0.11,25.8,0,0,0,0,0.11,25.8
48,TataNeu,0.1,16.7,0,0,0,0,0.1,16.7
49,Tamilnad Mercantile Bank Apps,0.1,23.5,0,0,0,0,0.1,23.5
50,IDBI Bank Apps,0.07,37.4,0,0,0,0,0.07,37.4
51,Citi Bank Apps,0.07,61.36,0,0,0,0,0.07,61.36
52,Ultracash,0.07,5.01,0,0,0,0,0.07,5.01
53,City Union Bank Apps,0.07,20.96,0,0,0,0,0.07,20.96
54,Indian Overseas Bank Apps,0.07,18.01,0,0,0,0,0.07,18.01
55,Karur Vysya Bank Apps,0.04,16.34,0,0,0,0,0.04,16.34
56,MakeMyTrip,0.04,19.92,0,0,0,0,0.04,19.92
57,Dhani,0.03,7.81,0,0,0,0,0.03,7.81
58,Equitas Small Finance Bank Apps,0.03,18.9,0,0,0,0,0.03,18.9
59,Bank of Maharashtra Apps,0.03,5.66,0,0,0,0,0.03,5.66
60,Allahabad Bank Apps,0.03,8.73,0,0,0,0,0.03,8.73
61,Punjab Sind Bank Apps,0.03,12.72,0,0,0,0,0.03,12.72
62,NSDL Payments Bank Apps,0.03,4.56,0,0,0,0,0.03,4.56
63,Utkarsh Small Finance Bank Apps,0.02,6.24,0,0,0,0,0.02,6.24
64,Mobikwik PPI,0.02,3.63,0,0,0,0,0.02,3.63
65,Jammu and Kashmir Bank Apps,0.01,2.29,0,0,0,0,0.01,2.29
66,Zomato,0.01,0.66,0,0,0,0,0.01,0.66
67,Dhanlaxmi Bank Apps,0.01,2.87,0,0,0,0,0.01,2.87
68,Bandhan Bank Apps,0.01,0.98,0,0,0,0,0.01,0.98
69,Shriram,0.01,0.21,0,0,0,0,0.01,0.21
70,Others,0.03,11.05,0,0,0,0,0.03,11.05
