Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe #,6716.09,1009064.99,0,0,0,0,6716.09,1009064.99
2,Google Pay #,5103.99,707241.27,0,0,0,0,5103.99,707241.27
3,Paytm,1104.89,120840.45,0,0,0,0,1104.89,120840.45
4,Cred #,138.42,45720.01,0,0,0,0,138.42,45720.01
5,Axis Bank Apps,14.14,3852.77,60.92,2755.96,0.01,5.3,75.07,6614.04
6,Amazon Pay #,67.07,7377.3,0,0,0,0,67.07,7377.3
7,ICICI Bank Apps,38.25,16692.52,4.2,462.22,9.2,12841.44,51.65,29996.18
8,FamApp by Trio #,50.78,641.36,0,0,0,0,50.78,641.36
9,Kotak Mahindra Bank Apps,42.65,6073.08,0,0,0,0,42.65,6073.08
10,WhatsApp #,37.18,2923.79,0,0,0,0,37.18,2923.79
11,Navi #,35.72,1769.66,0,0,0,0,35.72,1769.66
12,HDFC Bank Apps,34.57,8166.94,0.03,0.08,0,0.27,34.6,8167.3
13,BHIM,22.72,7965.69,0,0,0,0,22.72,7965.69
14,Yes Bank Apps,22.28,9285.69,0,0,0.27,31.36,22.55,9317.05
15,Airtel Payments Bank Apps,15.76,1191.68,0,0,0,0.39,15.76,1192.07
16,Mobikwik #,11.59,2564.79,0,0,0,0,11.59,2564.79
17,Groww #,11.26,9094.72,0,0,0,0,11.26,9094.72
18,Bajaj Finserv #,8.23,1852.43,0,0,0,0,8.23,1852.43
19,Slice #,7.86,634.47,0,0,0,0,7.86,634.47
20,IDFC Bank Apps,7.33,1654.91,0,0,0,0,7.33,1654.91
21,State Bank of India Apps,7.22,2426.08,0,0,0,0,7.22,2426.08
22,Samsung Pay #,6.38,542.12,0,0,0,0,6.38,542.12
23,India Post Payments Bank Apps,6.01,732.1,0,0,0,0,6.01,732.1
24,Flipkart UPI #,5.97,337.24,0,0,0,0,5.97,337.24
25,Federal Bank Apps,5.67,790.57,0,0,0,0,5.67,790.57
26,Jupiter Money #,5.63,750.68,0,0,0,0,5.63,750.68
27,Canara Bank Apps,2.88,793.85,0,0,0,0,2.88,793.85
28,Jio Payments Bank Apps,2.33,186.62,0,0,0,0,2.33,186.62
29,Deutsche Bank Apps,2.25,334.1,0,0,0,0.03,2.25,334.12
30,Timepay #,1.82,20.11,0,0,0,0.09,1.82,20.2
31,Punjab National Bank Apps,1.8,472.48,0,0,0,0,1.8,472.48
32,RBL Bank Apps,1.66,733.04,0,0.01,0.09,52.02,1.75,785.07
33,Indian Bank Apps,1.73,330.29,0,0,0,0.18,1.73,330.47
34,OmniCard #,1.28,53.41,0,0,0,0,1.28,53.41
35,Union Bank Apps,1.06,461.02,0,0,0,0,1.06,461.02
36,Bank of Baroda Apps,1.03,450.62,0,0,0,0,1.03,450.62
37,Central Bank of India Apps,0.83,188.63,0,0,0,0,0.83,188.63
38,AU Small Finance Bank Apps,0.76,227.63,0,0,0,0,0.76,227.63
39,Jammu and Kashmir Bank Apps,0.75,97.58,0,0,0,0,0.75,97.58
40,DBS Digibank Apps,0.49,198.19,0,0,0,0.49,0.5,198.68
41,South Indian Bank Apps,0.49,144.78,0,0,0,0,0.49,144.78
42,IndusInd Bank Apps,0.42,115.96,0,0,0.01,1.9,0.43,117.86
43,Fino Payments bank Apps,0.41,55.79,0,0,0,0,0.41,55.79
44,HSBC Bank Apps,0.4,148.04,0,0.05,0,0,0.4,148.09
45,Shriram One #,0.28,37.04,0,0,0,0,0.28,37.04
46,UCO Bank Apps,0.22,67.4,0,0,0,0,0.22,67.4
47,Digikhata #,0.19,63.31,0,0,0,0,0.19,63.31
48,Karnataka Bank Apps,0.18,33.54,0,0,0,0,0.18,33.55
49,Standard Chartered Bank Apps,0.17,117.31,0,0,0,0.05,0.17,117.35
50,TataNeu #,0.16,23.31,0,0,0,0,0.16,23.31
51,Kiwi #,0.15,31.43,0,0,0,0,0.15,31.43
52,Suryoday,0.14,0.02,0,0,0,0,0.14,0.02
53,Indian Overseas Bank Apps,0.13,37.62,0,0,0,0,0.13,37.62
54,super.money #,0.13,5.04,0,0,0,0,0.13,5.04
55,Dhani,0.11,13.84,0,0,0,0,0.11,13.84
56,Bank of India Apps,0.1,38.05,0,0,0,0,0.1,38.05
57,Ultracash #,0.09,6.51,0,0,0,0,0.09,6.51
58,Tamilnad Mercantile Bank Apps,0.08,26.21,0,0,0,0,0.08,26.21
59,City Union Bank Apps,0.08,28.66,0,0,0,0,0.08,28.66
60,POPClub #,0.07,4.87,0,0,0,0,0.07,4.87
61,Citi Bank Apps,0.06,70.21,0,0,0,0.3,0.07,70.51
62,Aditya Birla Capital Digital #,0.07,3.45,0,0,0,0,0.07,3.45
63,IDBI Bank Apps,0.07,27.06,0,0,0,0,0.07,27.06
64,NSDL Payments Bank Apps,0.06,10.09,0,0,0,0,0.06,10.09
65,Bank of Maharashtra Apps,0.05,11.11,0,0,0,0,0.05,11.11
66,Karur Vysya Bank Apps,0.05,18.73,0,0,0,0,0.05,18.73
67,Niyo Global #,0.05,24.78,0,0,0,0,0.05,24.78
68,Equitas Small Finance Bank Apps,0.04,26.25,0,0,0,0,0.04,26.25
69,Punjab Sind Bank Apps,0.03,12.38,0,0,0,0,0.03,12.38
70,Other Apps,1.41,180.43,0,0,0.13,3.67,1.54,184.11
