Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe #,7401.93,1088635.03,0,0,0,0,7401.93,1088635.03
2,Google Pay #,5739.12,764639.66,0,0,0,0,5739.12,764639.66
3,Paytm (OCL) #,1075.09,118004.06,0,0,0,0,1075.09,118004.06
4,Navi #,152.95,8806.45,0,0,0,0,152.95,8806.45
5,Cred #,138.24,50560.48,0,0,0,0,138.24,50560.48
6,Axis Bank Apps,22.2,4151.71,108.14,2184.35,0.01,1.78,130.36,6337.84
7,super.money #,78.49,3130.1,0,0,0,0,78.49,3130.1
8,Amazon Pay #,71.6,7914.87,0,0,0,0,71.6,7914.87
9,FamApp by Trio #,67.41,777.46,0,0,0,0,67.41,777.46
10,ICICI Bank Apps,51.13,18538.92,0.01,8.18,2.57,2951.05,53.71,21498.14
11,Whatsapp #,51.76,3890.1,0,0,0,0,51.76,3890.1
12,Kotak Mahindra Bank Apps,47.35,6583.09,0,0,0,0,47.35,6583.09
13,HDFC Bank Apps,36.67,10416.41,0.16,0.34,0.01,0.52,36.84,10417.27
14,Yes Bank Apps,35.35,9201.05,0,0.03,0.33,14.02,35.69,9215.09
15,BHIM #,27.05,8210.65,0,0,0,0,27.05,8210.65
16,Airtel Payments Bank Apps,18.6,1389.67,0,0,0,0.05,18.6,1389.73
17,Mobikwik #,16.63,2942.38,0,0,0,0,16.63,2942.38
18,Flipkart UPI #,13.25,636.91,0,0,0,0,13.25,636.91
19,Groww #,13.22,8479.87,0,0,0,0,13.22,8479.87
20,Slice #,11.54,845.13,0,0,0,0,11.54,845.13
21,State Bank of India Apps,10.46,3035.13,0,0,0,0,10.46,3035.13
22,India Post Payments Bank Apps,8.91,1131.95,0,0,0,0,8.91,1131.95
23,IDFC Bank Apps,8.59,1931.32,0,0,0.01,1,8.6,1932.32
24,Bajaj Finserv #,8.1,1584.15,0,0,0,0,8.1,1584.15
25,Samsung Pay #,7.9,578.99,0,0,0,0,7.9,578.99
26,Jupiter Money #,6.02,825.36,0,0,0,0,6.02,825.36
27,RBL Bank Apps,4.99,908.57,0,0,0.04,5.71,5.03,914.28
28,Pop Club #,4,267.15,0,0,0,0,4,267.15
29,Federal Bank Apps,3.36,578.23,0,0,0,0,3.36,578.23
30,Punjab National Bank Apps,3.31,753.1,0,0,0,0,3.31,753.1
31,Jio Payments Bank Apps,3.18,263.81,0,0,0,0,3.18,263.81
32,Fi Money #,3.07,373.29,0,0,0,0,3.07,373.29
33,Canara Bank Apps,3.01,802.16,0,0,0,0,3.01,802.16
34,Deutsche Bank Apps,2.68,400.97,0,0,0,0.07,2.68,401.03
35,Indian Bank Apps,2.19,410.19,0,0,0,0,2.19,410.19
36,Timepay #,1.72,19.88,0,0,0,0,1.72,19.88
37,Omni Card,1.35,100.86,0,0,0,0,1.35,100.86
38,Central Bank of India Apps,1.06,197.17,0,0,0,0,1.06,197.17
39,Bank of Baroda Apps,1.01,389.1,0,0,0,0,1.01,389.1
40,Jammu and Kashmir Bank Apps,0.79,135.44,0,0,0,0,0.79,135.44
41,Union Bank Apps,0.73,238.56,0,0,0,0,0.73,238.56
42,Kiwi #,0.69,106.42,0,0,0,0,0.69,106.42
43,HSBC Bank Apps,0.68,176.26,0,0.1,0,0.09,0.68,176.45
44,Aditya Birla Capital Digital,0.66,30.09,0,0,0,0,0.66,30.09
45,South Indian Bank Apps,0.59,167.92,0,0,0,0,0.59,167.92
46,DBS Digibank Apps,0.57,190.59,0,0,0,1.14,0.57,191.73
47,Fino Payments Bank Apps,0.51,64.81,0,0,0,0,0.51,64.81
48,Digikhata,0.46,156.43,0,0,0,0,0.46,156.43
49,AU Small Finance Bank Apps,0.45,134.47,0,0,0,0,0.45,134.47
50,Shri Ram One #,0.38,39.72,0,0,0,0,0.38,39.72
51,IndusInd Bank Apps,0.35,90.83,0,0,0.01,1.49,0.36,92.32
52,One Card #,0.36,356.22,0,0,0,0,0.36,356.22
53,Tata Neu #,0.3,78.83,0,0,0,0,0.3,78.83
54,True Balance,0.29,33.18,0,0,0,0,0.29,33.18
55,UCO Bank Apps,0.28,66.32,0,0,0,0,0.28,66.32
56,Bank of India Apps,0.2,55.8,0,0,0,0,0.2,55.8
57,Standard Chartered Bank Apps,0.18,114.58,0,0,0,0,0.18,114.58
58,Indian Overseas Bank Apps,0.18,49.21,0,0,-,-,0.18,49.21
59,Karnataka Bank Apps,0.18,38.31,0,0,0,0,0.18,38.31
60,Dhani,0.13,13.25,0,0,0,0,0.13,13.25
61,ESAF Small Finance Bank Apps,0.12,14.69,0,0,0,0,0.12,14.69
62,Niyo Global #,0.09,52.41,0,0,0,0,0.09,52.41
63,Rapipay,0.09,11.7,0,0,0,0,0.09,11.7
64,Suryoday Bank Apps,0.08,0.22,0,0,0,0.01,0.08,0.23
65,IDBI Bank Apps,0.08,30.01,0,0,0,0,0.08,30.01
66,Ultracash #,0.08,5.71,0,0,0,0,0.08,5.71
67,NSDL Payments Bank Apps,0.08,9.73,0,0,0,0,0.08,9.73
68,City Union Bank Apps,0.07,26.24,0,0,0,0,0.07,26.24
69,Bharat Pe #,0.07,8.29,0,0,0,0,0.07,8.29
70,Tamilnad Mercantile Bank Apps,0.07,23.33,0,0,0,0,0.07,23.33
71,Salary Se #,0.07,3.75,0,0,0,0,0.07,3.75
72,Genwise #,0.06,22.84,0,0,0,0,0.06,22.84
73,Karur Vysya Bank Apps,0.05,17.82,0,0,0,0,0.05,17.82
74,Equitas Small Finance Bank Apps,0.03,25.69,0,0,0,0,0.03,25.69
75,Freo #,0.03,1.8,0,0,0,0,0.03,1.8
76,Cheq,0.03,1.84,0,0,0,0,0.03,1.84
77,Money View #,0.02,2.77,0,0,0,0,0.02,2.77
78,Punjab Sind Bank Apps,0.02,10.76,0,0,0,0,0.02,10.76
79,Spice Money,0.02,2.73,0,0,0,0,0.02,2.73
80,Kredit.Pe #,0.02,2.67,0,0,0,0,0.02,2.67
81,Others,1.52,219.56,0,0,0.13,5.62,1.65,225.18
