Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,8.73,671,-,-,0,0,8.73,671.09
2,Allahabad Bank Apps,0.03,8.98,-,-,-,-,0.03,8.98
3,Amazon Pay,59.76,5873.36,-,-,-,-,59.76,5873.36
4,Andhra Bank Apps,0.01,1.53,-,-,-,-,0.01,1.53
5,AU Small Finance Bank Apps,0.53,160.3,-,-,0,0,0.53,160.3
6,Axis Bank Apps,6.16,1061.61,71.59,57.35,0.03,2.28,77.77,1121.24
7,Bajaj Finserv,3.9,464.41,-,-,-,-,3.9,464.41
8,Bandhan Bank Apps,0.01,1.21,-,-,-,-,0.01,1.21
9,Bank of Baroda Apps,1.26,455.8,-,-,0,0,1.26,455.8
10,Bank of India Apps,0.2,57.87,-,-,-,-,0.2,57.87
11,Bank of Maharashtra Apps,0.07,18.29,-,-,-,-,0.07,18.29
12,BHIM,25.01,8144.83,-,-,-,-,25.01,8144.83
13,Canara Bank Apps,0.86,232.51,-,-,-,-,0.86,232.51
14,Central Bank of India Apps,0.27,63.29,-,-,0,0.02,0.27,63.31
15,Citi Bank Apps,0.13,60.76,-,-,0,0,0.13,60.76
16,City Union Bank Apps,0.04,12.58,-,-,-,-,0.04,12.58
17,Cointab,0.03,13.87,-,-,-,-,0.03,13.87
18,Cred,25.63,18599.72,-,-,-,-,25.63,18599.72
19,DBS Digibank Apps,0.4,169.55,-,-,0,0,0.41,169.55
20,Deutsche Bank Apps,1.3,104.2,-,-,0,0.01,1.3,104.21
21,Dhanlaxmi Bank Apps,0.01,2.75,-,-,-,-,0.01,2.75
22,Equitas Small Finance Bank Apps,0.02,9.82,-,-,-,-,0.02,9.82
23,Fampay PPI,4.88,64.75,-,-,0,0,4.88,64.75
24,Fave,0.05,2.83,-,-,-,-,0.05,2.83
25,Federal Bank Apps,4.11,553.97,-,-,0,0,4.11,553.97
26,Fino Payments bank Apps,0.1,6.61,-,-,-,-,0.1,6.61
27,Google Pay,2541.14,409714.75,-,-,-,-,2541.14,409714.75
28,Groww,0.05,36.46,-,-,-,-,0.05,36.46
29,HDFC Bank Apps,10.66,2758.27,-,-,0,0.18,10.66,2758.45
30,HSBC Bank Apps,0.12,72.51,0,0.06,0,0,0.12,72.58
31,ICICI Bank Apps,33.4,7829.07,4.32,334.5,6.36,6587.24,44.07,14750.8
32,IDBI Bank Apps,0.06,24.78,-,-,-,-,0.06,24.78
33,IDFC Bank Apps,10.46,895.21,-,-,0.01,8.16,10.47,903.37
34,India Post Payments Bank Apps,4.66,589.14,-,-,-,-,4.66,589.14
35,Indian Bank Apps,0.23,67.2,-,-,-,-,0.23,67.2
36,Indian Overseas Bank Apps,0.01,2.48,-,-,-,-,0.01,2.48
37,IndusInd Bank Apps,1.2,1224.13,-,-,-,-,1.2,1224.13
38,Janata Sahakari Bank Apps,0.01,3.99,-,-,-,-,0.01,3.99
39,Jio Payments Bank Apps,1.31,96.23,-,-,-,-,1.31,96.23
40,Jupiter,2.16,275.52,-,-,-,-,2.16,275.52
41,Karnataka Bank Apps,0.4,74.82,-,-,-,-,0.4,74.82
42,Karur Vysya Bank Apps,0.04,16.23,-,-,-,-,0.04,16.23
43,Kotak Mahindra Bank Apps,10.93,2304.9,-,-,0,0,10.93,2304.9
44,MakeMyTrip,0.02,7.69,-,-,-,-,0.02,7.69
45,Mobikwik,3.46,762.67,-,-,-,-,3.46,762.67
46,NSDL Payments Bank Apps,0.02,2.7,-,-,-,-,0.02,2.7
47,Paytm Payments Bank App,973.85,109008.43,4.12,14.81,0.37,491.76,1081.47,128805.91
48,PhonePe,3418.75,591327.61,-,-,-,-,3418.75,591327.61
49,Punjab National Bank Apps,0.16,60.47,-,-,-,-,0.16,60.47
50,Punjab Sind Bank Apps,0.03,8.97,-,-,-,-,0.03,8.97
51,RBL Bank Apps,1.14,268.54,0,0,0.04,2.26,1.18,270.81
52,Samsung Pay,5.07,506.82,-,-,-,-,5.07,506.82
53,Slash,0.01,0.28,-,-,-,-,0.01,0.28
54,slice,0.51,206.66,-,-,-,-,0.51,206.66
55,South Indian Bank Apps,0.2,58.1,-,-,-,-,0.2,58.1
56,Standard Chartered Bank Apps,0.15,79.67,0.4,12.9,0,0,0.55,92.57
57,State Bank of India Apps,4.07,1876.46,-,-,-,-,4.07,1876.46
58,Tamilnad Mercantile Bank Apps,0.07,10.48,-,-,-,-,0.07,10.48
59,TataNeu,0.14,17.17,-,-,-,-,0.14,17.17
60,TJSB Bank Apps,0.01,2.25,-,-,-,-,0.01,2.25
61,UCO Bank Apps,0.26,78.38,-,-,-,-,0.26,78.38
62,Ultracash,0.02,0.27,-,-,-,-,0.02,0.27
63,Union Bank Apps,1.11,313.3,-,-,-,-,1.11,313.3
64,Utkarsh Small Finance Bank Apps,0.02,7.1,-,-,-,-,0.02,7.1
65,WhatsApp,9.25,769.29,-,-,-,-,9.25,769.29
66,Yes Bank Apps,43.18,14682.54,0,0,0.41,219.88,43.58,14902.42
67,Others,0.02,4.07,-,-,0,0,0.02,4.07
