Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe #,7221.22,1030871,0,0,0,0,7221.22,1030871
2,Google Pay #,5625.22,746690.05,0,0,0,0,5625.22,746690.05
3,Paytm (OCL) #,1064.62,113351.53,0,0.01,0,0,1064.62,113351.54
4,Cred #,140,47982.71,0,0,0,0,140,47982.71
5,Navi #,120.41,6549.1,0,0,0,0,120.41,6549.1
6,Axis Bank Apps,17.88,4248.02,102.5,1736.7,0.01,1.76,120.38,5986.48
7,Amazon Pay #,70.98,7845.04,0,0,0,0,70.98,7845.04
8,Fam App by Trio #,61.05,714.29,0,0,0,0,61.05,714.29
9,ICICI Bank Apps,50.84,17864.44,0.01,7.85,2.74,3203.84,53.59,21076.12
10,WhatsApp #,48.75,3586.71,0,0,0,0,48.75,3586.71
11,Kotak Mahindra Bank Apps,47.14,6413.16,0,0,0,0,47.14,6413.16
12,HDFC Bank Apps,35.84,8995.98,0.29,0.53,0.01,0.6,36.14,8997.11
13,Yes Bank Apps,30.61,9747.12,0,0.02,0.66,30.35,31.27,9777.48
14,BHIM,26.39,8466.3,0,0,0,0,26.39,8466.3
15,super.money #,25.75,1131.59,0,0,0,0,25.75,1131.59
16,Airtel Payments Bank Apps,17.41,1278.37,0,0.01,0,0.06,17.41,1278.38
17,Mobikwik #,16.07,2964.08,0,0,0,0,16.07,2964.08
18,Groww #,13.46,9526.49,0,0,0,0,13.46,9526.49
19,Flipkart UPI #,12.85,734.8,0,0,0,0,12.85,734.8
20,Bajaj Finserv #,11.15,2711.55,0,0,0,0,11.15,2711.55
21,slice #,10.62,792.06,0,0,0,0,10.62,792.06
22,State Bank of India Apps,9.8,2883.41,0,0,0,0,9.8,2883.42
23,IDFC Bank Apps,8.33,1838.99,0,0,0,0,8.33,1838.99
24,Samsung Pay #,7.33,564.5,0,0,0,0,7.33,564.5
25,India Post Payments Bank Apps,6.96,908.78,0,0,0,0,6.96,908.78
26,Federal Bank Apps,6.3,918.67,0,0,0,0,6.3,918.67
27,Jupiter Money #,6.13,810.01,0,0,0,0,6.13,810.01
28,Deutsche Bank Apps,3.05,348.84,0,0,0,0.06,3.05,348.9
29,Canara Bank Apps,3.04,799.52,0,0,0,0,3.04,799.52
30,Jio Payments Bank Apps,2.79,212.23,0,0,0,0,2.79,212.23
31,Punjab National Bank Apps,2.74,606.83,0,0,0,0,2.74,606.83
32,Indian Bank Apps,2.69,424.84,0,0,0,0.05,2.69,424.89
33,Pop Club #,1.81,131.2,0,0,0,0,1.81,131.2
34,Timepay #,1.74,15.26,0,0,0,0,1.74,15.26
35,RBL Bank Apps,1.64,599.18,0,0,0.01,4.26,1.66,603.44
36,OmniCard,1.31,74.96,0,0,0,0,1.31,74.96
37,Bank of Baroda Apps,1.12,452.89,0,0,0,0,1.12,452.89
38,Central Bank of India Apps,0.97,189.93,0,0,0,0,0.97,189.93
39,Jammu and Kashmir Bank Apps,0.77,118.94,0,0,0,0,0.77,118.94
40,Aditya Birla Capital Digital,0.72,32.26,0,0,0,0,0.72,32.26
41,Union Bank Apps,0.62,212.37,0,0,0,0,0.62,212.37
42,South Indian Bank Apps,0.6,169.06,0,0,0,0,0.6,169.06
43,DBS Digibank Apps,0.52,199.76,0,0,0,0.66,0.52,200.42
44,HSBC Bank Apps,0.5,153.35,0,0.1,0,0.09,0.51,153.54
45,Fino Payments bank Apps,0.49,57.89,0,0,0,0,0.49,57.89
46,AU Small Finance Bank Apps,0.46,136.87,0,0,0,0,0.46,136.87
47,Digikhata,0.38,122.41,0,0,0,0,0.38,122.41
48,IndusInd Bank Apps,0.35,88.4,0,0,0.01,2.17,0.36,90.58
49,Shri Ram One #,0.35,42.33,0,0,0,0,0.35,42.33
50,Kiwi #,0.29,44.31,0,0,0,0,0.29,44.31
51,Suryoday Bank Apps,0.29,0.03,0,0,0,0,0.29,0.03
52,UCO Bank Apps,0.26,59.89,0,0,0,0,0.26,59.89
53,TataNeu #,0.21,40.5,0,0,0,0,0.21,40.5
54,Indian Overseas Bank Apps,0.17,48.02,0,0,0,0,0.17,48.02
55,Standard Chartered Bank Apps,0.17,108.84,0,0,0,0.02,0.17,108.86
56,Karnataka Bank Apps,0.15,31.93,0,0,0,0,0.15,31.93
57,Bank of India Apps,0.15,35.33,0,0,0,0,0.15,35.33
58,Dhani,0.13,15.76,0,0,0,0,0.13,15.76
59,Ultracash #,0.12,8.71,0,0,0,0,0.12,8.71
60,Niyo Global #,0.09,49.74,0,0,0,0,0.09,49.74
61,IDBI Bank Apps,0.09,34.69,0,0,0,0,0.09,34.69
62,NSDL Payments Bank Apps,0.08,10.6,0,0,0,0,0.08,10.6
63,City Union Bank Apps,0.07,27.34,0,0,0,0,0.07,27.34
64,Tamilnad Mercantile Bank Apps,0.07,22.04,0,0,0,0,0.07,22.04
65,Rapi Pay,0.06,9.55,0,0,0,0,0.06,9.55
66,Bharat Pe,0.06,6.03,0,0,0,0,0.06,6.03
67,True Balance,0.05,6.37,0,0,0,0,0.05,6.37
68,One Card #,0.05,27.93,0,0,0,0,0.05,27.93
69,Karur Vysya Bank Apps,0.05,16.83,0,0,0,0,0.05,16.83
70,Salary Se #,0.04,1.78,0,0,0,0,0.04,1.78
71,Freo Money #,0.04,1.91,0,0,0,0,0.04,1.91
72,Punjab Sind Bank Apps,0.03,16.39,0,0,0,0,0.03,16.39
73,Equitas Small Finance Bank Apps,0.03,24.45,0,0,0,0,0.03,24.45
74,Citi Bank Apps,0.03,1.76,0,0,0,0.17,0.03,1.93
75,Allahabad Bank Apps,0.02,5.54,0,0,0,0,0.02,5.54
76,Others,1.71,203.3,0,0,0.15,5.06,1.86,208.36
