Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1265.52,99.73%,0.27%,0.01%,0.00%,
2,Yes Bank Ltd,745.77,99.78%,0.05%,0.08%,0.09%,
3,State Bank Of India,741.1,98.05%,0.30%,1.22%,0.42%,
4,Axis Bank Ltd,408.62,98.28%,1.25%,0.06%,0.41%,
5,ICICI Bank,406.5,98.68%,0.42%,0.56%,0.34%,
6,HDFC Bank Ltd,278.39,98.65%,0.80%,0.39%,0.16%,
7,Bank of Baroda,194.47,99.45%,0.34%,0.10%,0.11%,
8,Union Bank of India,187.25,99.53%,0.29%,0.07%,0.12%,
9,Canara Bank,142.04,98.15%,0.54%,0.54%,0.77%,
10,Punjab National Bank,137.97,98.99%,0.53%,0.36%,0.12%,
11,Kotak Mahindra Bank,133.77,97.71%,0.60%,0.72%,0.97%,
12,Bank of India,113.71,99.37%,0.30%,0.15%,0.18%,
13,Federal Bank,110.35,99.74%,0.14%,0.08%,0.03%,
14,Indian Bank,73.01,97.37%,1.53%,0.50%,0.60%,
15,Central Bank Of India,59.29,98.09%,0.58%,0.61%,0.72%,
16,Airtel Payments Bank,58.17,98.96%,0.52%,0.34%,0.18%,
17,IndusInd Bank,56.25,98.93%,0.47%,0.11%,0.49%,
18,IDBI Bank Limited,44.19,98.78%,0.73%,0.32%,0.18%,
19,Indian Overseas Bank,40.13,99.03%,0.36%,0.20%,0.40%,
20,Bank of Maharashtra,35.08,99.00%,0.26%,0.42%,0.32%,
21,UCO Bank,34.95,99.07%,0.40%,0.24%,0.28%,
22,India Post Payment Bank,31.26,98.40%,0.59%,0.82%,0.20%,
23,Karnataka Bank,28.15,97.52%,0.79%,1.11%,0.58%,
24,Karur Vysya Bank,22.17,99.57%,0.36%,0.03%,0.03%,
25,IDFC FIRST Bank,21.27,98.31%,0.88%,0.50%,0.32%,
26,South Indian Bank,16.25,99.44%,0.32%,0.20%,0.03%,
27,Bandhan Bank,16.07,95.84%,0.55%,3.45%,0.15%,
28,Fino Payments Bank,12.77,94.24%,2.54%,3.08%,0.13%,
29,Citibank,12.75,99.35%,0.54%,0.11%,0.01%,
30,AU small Finance Bank,12.43,97.65%,2.23%,0.04%,0.09%,
31,City Union Bank,10.72,98.85%,0.79%,0.31%,0.04%,
32,DBS Bank Ltd,9.27,98.46%,1.25%,0.19%,0.09%,
33,Tamilnad Mercantile Bank,8.99,99.33%,0.37%,0.21%,0.09%,
34,Ujjivan Small Finance Bank,8.75,97.24%,0.32%,2.08%,0.35%,
35,Equitas Small Finance Bank,8.53,98.69%,0.98%,0.30%,0.03%,
36,Pragathi Krishna Gramin Bank,7.73,98.55%,0.26%,0.36%,0.82%,
37,Andhra Pradesh Grameena Vikas Bank,7.2,97.41%,0.18%,1.71%,0.70%,
38,Punjab and Sind Bank,6.93,98.72%,0.34%,0.67%,0.27%,
39,Maharashtra Gramin Bank,6.41,95.37%,0.36%,3.58%,0.69%,
40,Kerala Gramin Bank,5.6,99.38%,0.29%,0.12%,0.21%,
41,Jammu and Kashmir Bank,5.59,95.20%,1.69%,2.93%,0.19%,
42,Saraswat Bank,5.46,99.13%,0.21%,0.59%,0.07%,
43,RBL Bank,5.02,95.21%,4.28%,0.34%,0.17%,
44,Andhra Pragathi Grameena Bank,4.83,90.92%,0.45%,6.09%,2.53%,
45,ESAF Small Finance Bank Ltd.,4.82,98.90%,0.28%,0.78%,0.03%,
46,Rajasthan Marudhara Gramin Bank,4.72,86.28%,3.02%,7.54%,3.16%,
47,Sarva Haryana Gramin Bank,4.16,86.06%,0.44%,11.97%,1.53%,
48,Baroda UP Gramin Bank,4.03,81.43%,7.14%,11.20%,0.23%,
49,Baroda Rajasthan Kshetriya Gramin Bank,3.73,94.38%,2.20%,3.09%,0.34%,
50,Karnataka Vikas Grameena Bank,3.55,92.76%,2.54%,3.87%,0.83%,
