Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,1973.67,99.73%,0.23%,0.04%,0.00%
2,Yes Bank Ltd,1914.76,99.98%,0.03%,0.04%,0.01%
3,State Bank of India,966.28,98.07%,0.21%,1.48%,0.23%
4,Axis Bank Ltd,636.48,99.87%,0.09%,0.01%,0.03%
5,ICICI Bank,590.66,99.57%,0.24%,0.10%,0.08%
6,HDFC BANK LTD,443.16,99.23%,0.50%,0.23%,0.04%
7,Bank of Baroda,269.46,99.50%,0.14%,0.16%,0.19%
8,Union Bank of India,260.41,99.04%,0.16%,0.74%,0.06%
9,Punjab National Bank,203.59,99.04%,0.34%,0.39%,0.24%
10,Federal Bank,202.49,99.70%,0.21%,0.05%,0.05%
11,Canara Bank,202.15,99.14%,0.11%,0.30%,0.45%
12,Kotak Mahindra Bank,198.71,97.46%,0.39%,1.65%,0.49%
13,Bank of India,147.23,99.25%,0.23%,0.48%,0.04%
14,Indian Bank,119.18,99.18%,0.18%,0.41%,0.22%
15,Airtel Payments Bank,113.09,99.23%,0.39%,0.17%,0.21%
16,INDUSIND BANK,85.37,99.20%,0.20%,0.46%,0.14%
17,Central Bank Of India,71.27,98.29%,0.58%,0.69%,0.44%
18,India Post Payment Bank,67.58,92.60%,0.94%,6.26%,0.20%
19,Indian Overseas Bank,57.66,97.84%,0.75%,1.34%,0.07%
20,UCO Bank,52.37,98.25%,0.69%,0.77%,0.30%
21,IDBI Bank Limited,51.34,98.23%,0.38%,1.35%,0.04%
22,IDFC FIRST Bank,44.42,97.52%,0.93%,1.01%,0.54%
23,Bank of Maharashtra,42.01,96.54%,0.21%,2.95%,0.30%
24,Karnataka Bank,33.81,96.15%,0.69%,2.13%,1.02%
25,Karur Vysya Bank,26.37,99.28%,0.42%,0.26%,0.04%
26,RBL,35.25,99.65%,0.60%,0.23%,0.09%
27,Fino Payments Bank Limited,25.5,97.00%,0.84%,1.99%,0.18%
28,South Indian Bank,24.07,99.54%,0.20%,0.19%,0.06%
29,Bandhan Bank,23.65,93.77%,0.33%,5.76%,0.14%
30,AU small Finance Bank,18.18,98.39%,1.34%,0.08%,0.19%
31,City Union Bank,14.52,98.36%,1.08%,0.49%,0.07%
32,Tamilnad Mercantile Bank,14.05,99.17%,0.26%,0.29%,0.29%
33,Ujjivan Small Finance Bank,13.58,98.55%,0.29%,0.33%,0.83%
34,CITI,12.49,99.31%,0.00%,0.34%,0.34%
35,Equitas Bank,11.69,97.49%,1.98%,0.40%,0.13%
36,Jammu and Kashmir Bank,11.47,94.25%,0.43%,5.24%,0.08%
37,Punjab and Sind Bank,10.98,87.57%,0.17%,12.19%,0.07%
38,Pragathi Krishna Gramin Bank,9.78,98.38%,0.27%,0.29%,1.07%
39,Kerala Gramin Bank,9.29,99.03%,0.20%,0.20%,0.57%
40,Andhra Pradesh Grameena Vikas Bank,9.21,95.46%,0.91%,2.61%,1.01%
41,DBS Bank India Limited,9.13,97.78%,1.26%,0.49%,0.47%
42,Cosmos Bank,8.23,98.97%,0.27%,0.44%,0.32%
43,Maharashtra Gramin Bank,8.21,96.55%,0.65%,2.61%,0.18%
44,ESAF Small Finance Bank Ltd.,7.27,99.05%,0.12%,0.77%,0.06%
45,Baroda UP Gramin Bank,7.15,95.43%,2.29%,2.06%,0.23%
46,Rajasthan Marudhara Gramin Bank,7.13,96.52%,0.31%,2.06%,1.12%
47,Saraswat Bank,6.39,98.39%,0.21%,1.29%,0.10%
48,Andhra Pragathi Grameena Bank,5.96,86.81%,0.34%,10.61%,2.24%
49,Sarva Haryana Gramin Bank,5.53,96.49%,0.47%,0.79%,2.25%
50,Baroda Rajasthan Kshetriya Gramin Bank,4.81,94.55%,2.61%,1.17%,1.67%
