Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1504.63,99.79%,0.21%,0.00%,0.00%,
2,Yes Bank Ltd,947.28,99.94%,0.03%,0.01%,0.01%,
3,State Bank Of India,818.72,98.99%,0.27%,0.73%,0.24%,
4,Axis Bank Ltd,489.54,98.29%,1.14%,0.57%,0.31%,
5,ICICI Bank,456.96,99.52%,0.37%,0.11%,0.26%,
6,HDFC Bank Ltd,339.5,98.79%,0.65%,0.57%,0.16%,
7,Bank of Baroda,221.98,99.63%,0.32%,0.05%,0.06%,
8,Union Bank of India,212.56,98.96%,0.29%,0.74%,0.13%,
9,Canara Bank,160.51,99.06%,0.45%,0.49%,0.19%,
10,Punjab National Bank,155.25,98.42%,0.47%,1.11%,0.29%,
11,Federal Bank,152.1,99.63%,0.25%,0.11%,0.01%,
12,Kotak Mahindra Bank,138.54,98.63%,0.58%,0.79%,0.54%,
13,Bank of India,124.89,99.37%,0.27%,0.36%,0.08%,
14,Airtel Payments Bank,89.48,98.57%,0.40%,1.03%,0.43%,
15,Indian Bank,86.3,99.16%,0.21%,0.63%,0.34%,
16,IndusInd Bank,68.81,99.39%,0.48%,0.13%,0.09%,
17,Central Bank Of India,57.79,95.01%,0.86%,4.13%,1.19%,
18,IDBI Bank Limited,47.98,99.05%,0.51%,0.43%,0.15%,
19,Indian Overseas Bank,46.79,99.57%,0.27%,0.16%,0.19%,
20,India Post Payment Bank,45.06,98.37%,0.63%,1.00%,0.14%,
21,UCO Bank,41.37,98.32%,0.74%,0.94%,0.15%,
22,Bank of Maharashtra,38.12,97.96%,0.28%,1.77%,0.44%,
23,IDFC FIRST Bank,33.5,95.57%,2.80%,1.64%,0.21%,
24,Karnataka Bank,29.14,95.43%,0.59%,3.98%,1.35%,
25,Karur Vysya Bank,24.55,98.63%,0.31%,1.05%,0.16%,
26,South Indian Bank,19.29,99.24%,0.54%,0.22%,0.02%,
27,Bandhan Bank,19.07,94.23%,0.43%,5.34%,0.35%,
28,Fino Payments Bank,17.03,93.55%,2.52%,3.93%,0.89%,
29,AU small Finance Bank,15.1,97.77%,1.33%,0.90%,0.56%,
30,Citibank,2.46,96.92%,1.98%,1.10%,0.21%,
31,City Union Bank,12.26,98.64%,0.68%,0.68%,0.11%,
32,Tamilnad Mercantile Bank,11.07,96.60%,0.57%,2.83%,0.29%,
33,Equitas Small Finance Bank,10.53,95.66%,2.06%,2.28%,0.29%,
34,Ujjivan Small Finance Bank,10.29,97.46%,0.30%,2.24%,0.27%,
35,Pragathi Krishna Gramin Bank,8.71,98.31%,0.39%,1.30%,0.63%,
36,Punjab and Sind Bank,8.67,98.91%,0.24%,0.84%,0.18%,
37,Andhra Pradesh Grameena Vikas Bank,7.38,90.54%,4.60%,4.87%,2.64%,
38,Jammu and Kashmir Bank,7.09,95.67%,0.73%,3.60%,0.17%,
39,Maharashtra Gramin Bank,6.93,91.76%,1.52%,6.72%,1.56%,
40,Kerala Gramin Bank,6.83,98.79%,0.63%,0.58%,0.31%,
41,DBS Bank Ltd,6.76,98.00%,1.90%,0.10%,0.04%,
42,ESAF Small Finance Bank Ltd.,5.98,98.52%,0.20%,1.28%,0.21%,
43,Saraswat Bank,5.88,99.37%,0.20%,0.43%,0.03%,
44,Rajasthan Marudhara Gramin Bank,5.76,95.79%,0.69%,3.52%,0.81%,
45,RBL Bank,5.52,97.38%,1.46%,1.16%,0.16%,
46,Andhra Pragathi Grameena Bank,5.2,96.80%,0.16%,3.03%,1.23%,
47,Baroda UP Gramin Bank,5.19,85.92%,2.28%,11.80%,2.72%,
48,Sarva Haryana Gramin Bank,4.99,86.36%,0.49%,13.16%,0.12%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.5,88.20%,1.85%,9.95%,1.88%,
50,Karnataka Vikas Grameena Bank,3.74,98.10%,0.21%,1.69%,0.85%,
