Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2505.7,99.82%,0.13%,0.05%,0.00%
2,Yes Bank Ltd,1789.49,99.91%,0.02%,0.07%,0.01%
3,State Bank Of India,1114.59,99.09%,0.18%,0.73%,0.25%
4,Axis Bank Ltd.,733.96,99.81%,0.13%,0.06%,0.07%
5,ICICI Bank,630.09,99.33%,0.31%,0.36%,0.16%
6,HDFC BANK LTD,530.64,99.33%,0.59%,0.08%,0.07%
7,Bank of Baroda,308.67,98.24%,0.17%,1.59%,0.17%
8,Union Bank of India,295.91,99.30%,0.16%,0.54%,0.21%
9,Federal Bank,246.28,99.62%,0.25%,0.13%,0.01%
10,Punjab National Bank,234.84,98.38%,0.46%,1.16%,0.23%
11,Canara Bank,235.33,99.22%,0.42%,0.36%,0.15%
12,Kotak Mahindra Bank,215.21,99.53%,0.43%,0.03%,0.03%
13,Bank of India,164.1,99.36%,0.26%,0.38%,0.10%
14,Indian Bank,162,99.51%,0.42%,0.07%,0.09%
15,Airtel Payments Bank,135.79,99.00%,0.40%,0.60%,0.24%
16,INDUSIND BANK,102.79,97.34%,0.21%,2.45%,0.67%
17,India Post Payment Bank,85.7,98.52%,0.43%,1.05%,0.29%
18,Central Bank Of India,80.15,98.45%,0.58%,0.96%,0.50%
19,Indian Overseas Bank,66.68,98.56%,0.34%,1.10%,0.48%
20,UCO Bank,61.82,98.75%,0.77%,0.49%,0.11%
21,IDBI Bank Limited,57.26,97.73%,0.43%,1.84%,0.23%
22,Bank of Maharashtra,46.19,99.26%,0.23%,0.51%,0.14%
23,Fino Payments Bank Limited FIP,47.49,97.86%,1.27%,0.87%,0.07%
24,Karnataka Bank,37.71,98.54%,0.56%,0.90%,0.04%
25,IDFC FIRST Bank,54.42,98.71%,0.70%,0.59%,0.22%
26,Karur Vysya Bank,29.53,99.38%,0.40%,0.22%,0.08%
27,South Indian Bank,27.99,99.71%,0.22%,0.07%,0.01%
28,Bandhan Bank,26,98.68%,0.10%,1.22%,0.18%
29,AU small Finance Bank,21.75,98.71%,1.20%,0.08%,0.02%
30,Tamilnad Mercantile Bank,17.43,99.52%,0.19%,0.29%,0.01%
31,City Union Bank,16.91,98.87%,0.77%,0.36%,0.08%
32,RBL Bank,26.86,98.41%,0.39%,1.20%,0.25%
33,Ujjivan Small Finance Bank,16.59,99.16%,0.31%,0.53%,0.21%
34,Jammu and Kashmir Bank,16.76,98.56%,0.33%,1.11%,0.16%
35,Equitas Small Finance Bank,12.42,97.48%,2.08%,0.45%,0.01%
36,Punjab and Sind Bank,12.65,96.48%,0.18%,3.33%,0.67%
37,Kerala Gramin Bank,12.41,96.61%,0.20%,3.19%,1.41%
38,Pragathi Krishna Gramin Bank,10.9,99.04%,0.34%,0.61%,0.47%
39,CITIBank,10.05,99.83%,0.00%,0.17%,0.13%
40,Andhra Pradesh Grameena Vikas Bank,10.26,98.47%,0.62%,0.91%,0.11%
41,DBS Bank India Limited,9.69,98.22%,1.22%,0.56%,0.29%
42,Maharashtra Gramin Bank,9.26,98.64%,0.27%,1.09%,0.17%
43,Tri O Tech Solutions Private Limited,9.92,93.95%,5.82%,0.23%,0.06%
44,Rajasthan Marudhara Gramin Bank,8.71,97.80%,0.50%,1.70%,0.21%
45,Baroda UP Gramin Bank,9.26,88.47%,0.81%,10.73%,2.73%
46,ESAF Small Finance Bank Ltd.,8.84,98.73%,0.03%,1.24%,0.39%
47,Andhra Pragathi Grameena Bank,6.49,97.89%,0.36%,1.74%,0.03%
48,Saraswat Bank,7.12,99.11%,0.20%,0.69%,0.18%
49,Sarva Haryana Gramin Bank,5.95,97.17%,0.48%,2.34%,0.38%
50,Baroda Rajasthan Kshetriya Gramin Bank,5.64,95.32%,2.63%,2.05%,0.53%
