Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1726.94,99.71%,0.22%,0.06%,0.02%,
2,Yes Bank Ltd,1309.96,99.82%,0.06%,0.11%,0.01%,
3,State Bank Of India,938.15,97.92%,0.21%,1.71%,0.16%,
4,Axis Bank Ltd.,562.51,99.77%,0.12%,0.05%,0.06%,
5,ICICI Bank,543.27,98.88%,0.38%,0.71%,0.04%,
6,HDFC Bank Ltd,384.38,98.72%,0.61%,0.51%,0.17%,
7,Bank of Baroda,249.01,94.55%,0.38%,4.59%,0.48%,
8,Union Bank of India,242.13,98.96%,0.27%,0.58%,0.19%,
9,Canara Bank,185.71,99.21%,0.43%,0.24%,0.12%,
10,Federal Bank,175.68,99.69%,0.29%,0.02%,0.00%,
11,Punjab National Bank,174.36,98.27%,0.83%,0.71%,0.19%,
12,Kotak Mahindra Bank,157.66,97.61%,0.51%,1.63%,0.25%,
13,Bank of India,137.98,99.59%,0.25%,0.11%,0.05%,
14,Indian Bank,101.77,98.92%,0.27%,0.57%,0.23%,
15,Airtel Payments Bank,93.38,98.79%,0.53%,0.37%,0.30%,
16,IndusInd Bank,66.04,98.59%,0.43%,0.80%,0.17%,
17,Central Bank Of India,65.03,98.05%,0.59%,0.78%,0.57%,
18,India Post Payment Bank,64.48,87.39%,1.92%,10.08%,0.61%,
19,Indian Overseas Bank,53.54,97.11%,0.23%,1.96%,0.70%,
20,IDBI Bank Limited,51.55,98.65%,0.41%,0.65%,0.29%,
21,UCO Bank,47.42,98.64%,0.68%,0.59%,0.09%,
22,IDFC FIRST Bank,42.48,96.75%,1.39%,1.62%,0.25%,
23,Bank of Maharashtra,40.68,97.13%,0.30%,2.03%,0.53%,
24,Karnataka Bank,32.03,98.33%,0.80%,0.82%,0.06%,
25,Karur Vysya Bank,26.4,98.56%,0.50%,0.84%,0.10%,
26,South Indian Bank,22.97,98.69%,0.65%,0.62%,0.04%,
27,Bandhan Bank,21.26,97.22%,0.37%,2.28%,0.12%,
28,Fino Payments Bank,20.73,96.94%,2.12%,0.70%,0.24%,
29,AU small Finance Bank,16.42,97.82%,1.48%,0.58%,0.12%,
30,Citibank,12.51,97.50%,0.00%,0.06%,0.14%,
31,City Union Bank,13.7,98.57%,0.71%,0.61%,0.10%,
32,Tamilnad Mercantile Bank,12.84,99.56%,0.26%,0.16%,0.02%,
33,Ujjivan Small Finance Bank,12.02,94.27%,0.29%,4.84%,0.60%,
34,Equitas Small Finance Bank,11.67,97.34%,1.83%,0.72%,0.11%,
35,Punjab and Sind Bank,9.67,94.60%,0.21%,4.85%,0.34%,
36,Pragathi Krishna Gramin Bank,9.1,98.06%,0.44%,0.95%,0.55%,
37,Kerala Gramin Bank,8.99,98.38%,0.76%,0.49%,0.37%,
38,Jammu and Kashmir Bank,8.83,96.99%,0.59%,2.21%,0.21%,
39,Andhra Pradesh Grameena Vikas Bank,8.72,97.46%,0.33%,1.81%,0.39%,
40,DBS Bank Ltd,8.49,95.01%,1.34%,3.48%,0.17%,
41,ESAF Small Finance Bank Ltd.,7.11,98.28%,0.23%,1.41%,0.09%,
42,Maharashtra Gramin Bank,7.11,97.08%,0.76%,1.80%,0.36%,
43,Rajasthan Marudhara Gramin Bank,6.52,96.00%,0.31%,3.20%,0.49%,
44,RBL Bank,6.32,95.22%,1.40%,2.48%,0.90%,
45,Saraswat Bank,6.23,99.18%,0.23%,0.44%,0.15%,
46,Andhra Pragathi Grameena Bank,5.94,93.76%,0.99%,4.97%,0.28%,
47,Baroda UP Gramin Bank,5.87,93.84%,2.39%,3.42%,0.35%,
48,Sarva Haryana Gramin Bank,5.01,92.62%,0.49%,6.61%,0.29%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.41,95.13%,2.39%,2.26%,0.22%,
50,Karnataka Vikas Grameena Bank,4.01,97.40%,0.00%,2.19%,0.23%,
