Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2835.27,99.90%,0.07%,0.03%,0.00%
2,Yes Bank Ltd,2269.48,99.95%,0.04%,0.01%,0.00%
3,State Bank Of India,1252.21,99.50%,0.19%,0.30%,0.07%
4,Axis Bank Ltd.,967.52,99.90%,0.09%,0.01%,0.01%
5,ICICI Bank,647.97,99.36%,0.48%,0.16%,0.07%
6,HDFC BANK LTD,549.41,97.80%,2.13%,0.06%,0.05%
7,Bank of Baroda,333.64,99.32%,0.25%,0.43%,0.13%
8,Union Bank of India,326.55,99.49%,0.19%,0.33%,0.26%
9,Federal Bank,291.79,99.65%,0.29%,0.06%,0.00%
10,Punjab National Bank,270.17,99.41%,0.51%,0.08%,0.11%
11,Canara Bank,268.75,99.06%,0.67%,0.27%,0.12%
12,Kotak Mahindra Bank,233.06,99.28%,0.46%,0.26%,0.22%
13,Indian Bank,182.11,98.93%,0.67%,0.40%,0.04%
14,Bank of India,179.9,99.58%,0.24%,0.17%,0.08%
15,Airtel Payments Bank,174.41,97.63%,0.43%,1.94%,0.59%
16,INDUSIND BANK,135.25,99.07%,0.34%,0.59%,0.50%
17,India Post Payment Bank,108.03,96.76%,0.37%,2.87%,0.25%
18,Central Bank Of India,85.35,98.70%,0.51%,0.80%,0.45%
19,Indian Overseas Bank,75.21,98.44%,0.32%,1.23%,0.50%
20,UCO Bank,73.18,98.84%,0.68%,0.48%,0.11%
21,IDBI Bank Limited,62.13,98.98%,0.43%,0.59%,0.15%
22,RBL Bank,55.75,91.43%,0.30%,8.27%,0.41%
23,Bank of Maharashtra,52.68,98.84%,0.28%,0.88%,0.15%
24,Fino Payments Bank Limited,50.18,97.67%,1.33%,1.00%,0.05%
25,IDFC FIRST Bank,47.49,98.43%,1.53%,0.04%,0.03%
26,Karnataka Bank,42.03,98.09%,0.54%,1.37%,0.23%
27,South Indian Bank,31.89,99.52%,0.41%,0.07%,0.01%
28,Karur Vysya Bank,31.85,98.07%,1.58%,0.35%,0.04%
29,Bandhan Bank,28.2,98.57%,0.43%,1.00%,0.00%
30,AU small Finance Bank,24.92,96.89%,2.38%,0.73%,0.36%
31,Tamilnad Mercantile Bank,19.9,99.35%,0.19%,0.47%,0.03%
32,Ujjivan Small Finance Bank,19.06,98.60%,0.82%,0.59%,0.26%
33,City Union Bank,18.56,98.56%,1.13%,0.31%,0.05%
34,Jammu and Kashmir Bank,17.46,97.22%,0.37%,2.41%,1.04%
35,Tri O Tech Solutions Private Limited,16.54,95.50%,4.49%,0.01%,0.00%
36,Kerala Gramin Bank,14.38,99.62%,0.25%,0.12%,0.15%
37,Punjab and Sind Bank,14.18,97.23%,0.45%,2.32%,0.95%
38,Equitas Bank,12.95,97.93%,1.91%,0.15%,0.01%
39,Pragathi Krishna Gramin Bank,12.34,99.42%,0.42%,0.17%,0.20%
40,Andhra Pradesh Grameena Vikas Bank,11.92,98.71%,0.97%,0.32%,0.07%
41,Baroda UP Gramin Bank,10.8,71.76%,0.67%,27.57%,10.95%
42,Maharashtra Gramin Bank,10.4,96.73%,0.28%,2.99%,0.17%
43,DBS Bank India Limited,10.08,98.53%,1.44%,0.03%,0.03%
44,ESAF Small Finance Bank Ltd.,10.01,99.62%,0.13%,0.24%,0.11%
45,Rajasthan Marudhara Gramin Bank,9.36,98.92%,0.50%,0.58%,0.10%
46,ONE MOBIKWIK SYSTEMS LIMITED,8.95,99.65%,0.00%,0.35%,0.01%
47,Andhra Pragathi Grameena Bank,7.8,95.75%,1.02%,3.22%,0.18%
48,Saraswat Bank,7.54,99.25%,0.19%,0.56%,0.18%
49,CITI Bank,7.31,99.82%,0.00%,0.18%,0.22%
50,Fincare Small Finance Bank Ltd,7.26,95.90%,1.92%,2.17%,0.01%
