Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1657.41,99.76%,0.21%,0.02%,0.01%,
2,Yes Bank Ltd,1186.1,99.85%,0.11%,0.03%,0.01%,
3,State Bank Of India,855.15,96.01%,0.26%,3.40%,0.33%,
4,ICICI Bank,528.24,99.55%,0.30%,0.11%,0.04%,
5,Axis Bank Ltd.,516.94,99.83%,0.14%,0.01%,0.02%,
6,HDFC BANK LTD,379.92,99.19%,0.63%,0.09%,0.09%,
7,Bank of Baroda,236.71,98.48%,0.41%,0.95%,0.16%,
8,Union Bank of India,227.08,98.78%,0.23%,0.66%,0.33%,
9,Canara Bank,176.74,99.31%,0.00%,0.57%,0.12%,
10,Punjab National Bank,171.55,99.19%,0.44%,0.18%,0.18%,
11,Federal Bank,168.8,99.44%,0.31%,0.23%,0.02%,
12,Kotak Mahindra Bank,162.23,98.34%,0.57%,0.49%,0.60%,
13,Bank of India,129.73,99.45%,0.29%,0.18%,0.08%,
14,Airtel Payments Bank,100.18,98.73%,0.27%,0.76%,0.25%,
15,Indian Bank,99.83,98.27%,0.39%,1.06%,0.28%,
16,INDUSIND BANK,69.51,99.50%,0.25%,0.15%,0.11%,
17,Central Bank Of India,62.78,98.27%,0.72%,0.62%,0.39%,
18,India Post Payment Bank,58.5,84.59%,1.48%,11.82%,2.11%,
19,Indian Overseas Bank,50.96,99.49%,0.25%,0.10%,0.16%,
20,IDBI Bank Limited,47.42,98.37%,0.45%,1.04%,0.14%,
21,IDFC FIRST Bank,45.95,93.43%,1.80%,4.07%,0.70%,
22,UCO Bank,44.98,98.61%,0.71%,0.59%,0.08%,
23,Bank of Maharashtra,37.78,98.86%,0.30%,0.65%,0.20%,
24,Karnataka Bank,29.54,96.64%,0.88%,2.27%,0.21%,
25,Karur Vysya Bank,24.17,98.57%,0.55%,0.72%,0.17%,
26,Fino Payments Bank,21.97,92.06%,1.98%,4.49%,1.47%,
27,South Indian Bank,21.6,99.06%,0.26%,0.56%,0.12%,
28,Bandhan Bank,20.09,96.53%,0.50%,2.66%,0.31%,
29,AU small Finance Bank,15.82,98.24%,1.71%,0.05%,0.01%,
30,City Union Bank,13.11,98.56%,0.82%,0.53%,0.09%,
31,Tamilnad Mercantile Bank,12.46,98.29%,0.36%,1.24%,0.10%,
32,Ujjivan Small Finance Bank,11.51,98.64%,0.40%,0.74%,0.23%,
33,Equitas Bank,11.17,97.15%,2.64%,0.19%,0.02%,
34,CITI,11.09,99.67%,0.00%,0.15%,0.18%,
35,Jammu and Kashmir Bank,9.04,96.05%,0.53%,3.19%,0.23%,
36,Punjab and Sind Bank,9.03,99.18%,0.23%,0.50%,0.10%,
37,Kerala Gramin Bank,8.73,99.42%,0.19%,0.18%,0.22%,
38,Pragathi Krishna Gramin Bank,8.39,98.70%,0.34%,0.62%,0.34%,
39,DBS Bank India Limited,8.3,98.10%,1.49%,0.26%,0.16%,
40,Andhra Pradesh Grameena Vikas Bank,8.06,95.05%,0.30%,3.77%,0.88%,
41,RBL,7.24,98.78%,1.12%,0.09%,0.02%,
42,Maharashtra Gramin Bank,7.17,97.62%,1.03%,1.09%,0.27%,
43,ESAF Small Finance Bank Ltd.,6.66,99.15%,0.18%,0.56%,0.11%,
44,Rajasthan Marudhara Gramin Bank,6.66,93.33%,0.43%,5.95%,0.29%,
45,Baroda UP Gramin Bank,6.22,94.98%,2.40%,2.42%,0.20%,
46,Saraswat Bank,5.83,97.57%,0.29%,2.09%,0.05%,
47,Andhra Pragathi Grameena Bank,5.66,91.88%,0.81%,7.12%,0.19%,
48,Sarva Haryana Gramin Bank,4.75,92.46%,0.67%,5.81%,1.06%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.29,92.30%,2.45%,4.80%,0.45%,
50,Karnataka Vikas Grameena Bank,3.73,93.60%,0.24%,5.70%,0.46%,
