Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1765.87,99.73%,0.24%,0.02%,0.01%,
2,Yes Bank Ltd,1463.71,99.81%,0.08%,0.11%,0.02%,
3,State Bank Of India,931.08,98.52%,0.22%,1.09%,0.17%,
4,Axis Bank Ltd.,557.09,99.82%,0.11%,0.05%,0.02%,
5,ICICI Bank,554.66,98.92%,0.34%,0.68%,0.05%,
6,HDFC BANK LTD,401.11,99.15%,0.59%,0.20%,0.06%,
7,Bank of Baroda,247.34,98.89%,0.28%,0.45%,0.37%,
8,Union Bank of India,241.58,99.47%,0.24%,0.20%,0.09%,
9,Canara Bank,186.89,99.37%,0.32%,0.22%,0.09%,
10,Federal Bank,178.23,99.72%,0.27%,0.01%,0.00%,
11,Punjab National Bank,176.63,98.41%,0.47%,0.93%,0.20%,
12,Kotak Mahindra Bank,170.88,98.84%,0.50%,0.36%,0.30%,
13,Bank of India,138.67,99.22%,0.25%,0.41%,0.11%,
14,Airtel Payments Bank,108.8,98.80%,0.45%,0.45%,0.30%,
15,Indian Bank,104.4,99.10%,0.29%,0.45%,0.17%,
16,INDUSIND BANK,69.86,99.21%,0.31%,0.42%,0.06%,
17,India Post Payment Bank,67.23,88.28%,1.39%,9.93%,0.40%,
18,Central Bank Of India,65.86,98.48%,0.59%,0.48%,0.45%,
19,Indian Overseas Bank,53.55,99.27%,0.24%,0.28%,0.21%,
20,IDBI Bank Limited,50.98,98.37%,0.39%,0.98%,0.27%,
21,IDFC FIRST Bank,49.12,97.50%,1.28%,0.95%,0.27%,
22,UCO Bank,47.69,98.37%,0.76%,0.72%,0.15%,
23,Bank of Maharashtra,40.78,97.54%,0.31%,1.96%,0.19%,
24,Karnataka Bank,32.13,97.12%,0.72%,2.09%,0.07%,
25,Karur Vysya Bank,25.9,99.00%,0.47%,0.43%,0.10%,
26,Fino Payments Bank,23.15,93.70%,1.96%,3.42%,0.92%,
27,South Indian Bank,22.95,99.31%,0.47%,0.19%,0.03%,
28,Bandhan Bank,21.74,94.22%,0.48%,4.97%,0.33%,
29,AU small Finance Bank,16.74,98.23%,1.67%,0.10%,0.01%,
30,City Union Bank,13.81,98.68%,0.72%,0.52%,0.08%,
31,Tamilnad Mercantile Bank,13.05,97.42%,0.84%,1.56%,0.18%,
32,CITI,12.32,99.80%,0.00%,0.06%,0.14%,
33,Ujjivan Small Finance Bank,12.16,95.24%,0.30%,4.01%,0.45%,
34,Equitas Bank,11.81,95.43%,2.40%,1.97%,0.20%,
35,Punjab and Sind Bank,9.2,99.06%,0.21%,0.57%,0.16%,
36,Kerala Gramin Bank,9.19,98.94%,0.47%,0.30%,0.28%,
37,Pragathi Krishna Gramin Bank,9.08,99.04%,0.40%,0.29%,0.28%,
38,Jammu and Kashmir Bank,8.93,98.78%,0.52%,0.66%,0.04%,
39,DBS Bank India Limited,8.93,98.35%,1.49%,0.03%,0.13%,
40,Andhra Pradesh Grameena Vikas Bank,8.77,97.47%,0.12%,1.97%,0.43%,
41,Maharashtra Gramin Bank,7.54,97.16%,0.64%,1.79%,0.40%,
42,ESAF Small Finance Bank Ltd.,7.13,99.08%,0.19%,0.69%,0.04%,
43,RBL,6.98,97.73%,1.33%,0.78%,0.16%,
44,Rajasthan Marudhara Gramin Bank,6.82,95.99%,0.39%,3.23%,0.40%,
45,Baroda UP Gramin Bank,6.53,88.73%,2.25%,8.17%,0.84%,
46,Saraswat Bank,6.22,99.31%,0.23%,0.39%,0.08%,
47,Andhra Pragathi Grameena Bank,5.78,97.24%,0.56%,2.12%,0.08%,
48,Sarva Haryana Gramin Bank,5.07,90.27%,0.67%,8.79%,0.27%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.64,90.05%,2.30%,6.84%,0.81%,
50,Karnataka Vikas Grameena Bank,3.98,98.50%,0.24%,1.10%,0.15%,
