Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1469.6,99.49%,0.49%,0.02%,0.00%,
2,Yes Bank Ltd,813.04,99.93%,0.03%,0.02%,0.02%,
3,State Bank Of India,802.56,99.30%,0.28%,0.31%,0.11%,
4,Axis Bank Ltd,498.78,97.68%,1.07%,0.99%,0.25%,
5,ICICI Bank,449.31,99.41%,0.39%,0.13%,0.07%,
6,HDFC Bank Ltd,328.73,99.30%,0.62%,0.06%,0.02%,
7,Bank of Baroda,214.14,98.62%,0.35%,0.91%,0.13%,
8,Union Bank of India,206.94,99.57%,0.29%,0.10%,0.04%,
9,Canara Bank,156.6,98.42%,0.51%,0.71%,0.36%,
10,Punjab National Bank,147.86,98.23%,0.52%,0.81%,0.43%,
11,Federal Bank,137.96,99.68%,0.24%,0.07%,0.00%,
12,Kotak Mahindra Bank,131.98,97.89%,0.60%,1.02%,0.49%,
13,Bank of India,121.89,98.63%,0.25%,0.97%,0.15%,
14,Indian Bank,84.27,99.03%,0.23%,0.60%,0.14%,
15,Airtel Payments Bank,75.84,98.00%,0.42%,1.08%,0.50%,
16,IndusInd Bank,64.82,99.06%,0.56%,0.26%,0.12%,
17,Central Bank Of India,58.88,91.07%,0.96%,6.19%,1.78%,
18,IDBI Bank Limited,47.4,98.97%,0.52%,0.44%,0.06%,
19,Indian Overseas Bank,45.41,99.02%,0.29%,0.43%,0.27%,
20,UCO Bank,39.36,98.18%,0.70%,0.87%,0.25%,
21,India Post Payment Bank,39.12,97.27%,0.52%,1.93%,0.28%,
22,Bank of Maharashtra,37.57,98.29%,0.24%,1.02%,0.45%,
23,IDFC FIRST Bank,30.46,96.11%,1.96%,1.65%,0.28%,
24,Karnataka Bank,29.07,90.60%,0.84%,6.62%,1.95%,
25,Karur Vysya Bank,24.19,98.69%,0.44%,0.81%,0.06%,
26,South Indian Bank,18.5,98.66%,0.58%,0.72%,0.05%,
27,Bandhan Bank,18.16,97.07%,0.47%,2.31%,0.14%,
28,Fino Payments Bank,15.3,94.89%,2.35%,2.28%,0.48%,
29,AU small Finance Bank,14,97.86%,1.87%,0.14%,0.13%,
30,Citibank,13.54,99.42%,0.43%,0.07%,0.08%,
31,City Union Bank,11.88,98.39%,0.76%,0.75%,0.10%,
32,Tamilnad Mercantile Bank,10.64,97.26%,0.33%,2.13%,0.28%,
33,Equitas Small Finance Bank,10.33,96.37%,2.10%,1.35%,0.17%,
34,Ujjivan Small Finance Bank,9.71,96.06%,0.31%,3.31%,0.32%,
35,Pragathi Krishna Gramin Bank,8.73,97.83%,0.33%,1.23%,0.61%,
36,Punjab and Sind Bank,8.19,99.59%,0.25%,0.12%,0.03%,
37,Andhra Pradesh Grameena Vikas Bank,7.2,85.71%,7.43%,4.19%,2.67%,
38,DBS Bank Ltd,6.85,97.66%,2.12%,0.18%,0.04%,
39,Maharashtra Gramin Bank,6.74,77.95%,10.74%,9.35%,1.96%,
40,Jammu and Kashmir Bank,6.67,97.77%,0.79%,1.37%,0.06%,
41,Kerala Gramin Bank,6.41,98.37%,0.55%,0.65%,0.43%,
42,Saraswat Bank,5.8,99.40%,0.20%,0.37%,0.03%,
43,ESAF Small Finance Bank Ltd.,5.62,98.52%,0.21%,1.02%,0.25%,
44,Rajasthan Marudhara Gramin Bank,5.53,83.06%,8.62%,6.35%,1.97%,
45,RBL Bank,5.39,97.36%,1.50%,1.01%,0.13%,
46,Andhra Pragathi Grameena Bank,5.07,96.28%,0.66%,1.98%,1.09%,
47,Sarva Haryana Gramin Bank,4.85,82.68%,0.60%,16.15%,0.57%,
48,Baroda UP Gramin Bank,4.47,93.01%,2.87%,3.44%,0.68%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.01,92.51%,2.09%,4.84%,0.56%,
50,HSBC Bank,3.79,97.79%,1.91%,0.21%,0.09%,
