Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2331.83,99.82%,0.17%,0.01%,0.00%
2,Yes Bank Ltd,1865.76,99.87%,0.02%,0.11%,0.03%
3,State Bank Of India,1070.51,99.24%,0.18%,0.58%,0.06%
4,Axis Bank Ltd.,688.05,99.89%,0.09%,0.02%,0.04%
5,ICICI Bank,627.95,99.79%,0.10%,0.12%,0.05%
6,HDFC BANK LTD,510.54,99.27%,0.65%,0.08%,0.03%
7,Bank of Baroda,290.12,99.58%,0.25%,0.17%,0.14%
8,Union Bank of India,279.02,99.76%,0.15%,0.08%,0.03%
9,Federal Bank,229.06,99.66%,0.23%,0.11%,0.01%
10,Canara Bank,223.29,98.89%,0.43%,0.68%,0.23%
11,Punjab National Bank,222.99,99.37%,0.42%,0.20%,0.19%
12,Kotak Mahindra Bank,200.84,98.30%,1.48%,0.22%,0.06%
13,Bank of India,155.21,99.70%,0.22%,0.08%,0.03%
14,Indian Bank,149.29,98.54%,0.36%,1.10%,0.44%
15,Airtel Payments Bank,124.06,98.89%,0.38%,0.73%,0.46%
16,INDUSIND BANK,96.57,99.32%,0.19%,0.49%,0.14%
17,India Post Payment Bank,78.07,97.79%,0.43%,1.78%,0.35%
18,Central Bank Of India,76.44,98.38%,0.57%,1.06%,0.48%
19,Indian Overseas Bank,63.85,97.51%,0.31%,2.17%,0.83%
20,UCO Bank,57.89,98.86%,0.68%,0.47%,0.12%
21,IDBI Bank Limited,54.7,99.09%,0.39%,0.52%,0.10%
22,IDFC FIRST Bank,49.55,98.41%,1.00%,0.59%,0.21%
23,Bank of Maharashtra,44.04,98.21%,0.21%,1.58%,0.27%
24,Fino Payments Bank Limited FIP,41.98,95.42%,1.11%,3.47%,0.28%
25,Karnataka Bank,36.16,97.50%,0.72%,1.78%,0.17%
26,Karur Vysya Bank,28.69,98.69%,0.43%,0.88%,0.14%
27,South Indian Bank,26.01,99.71%,0.22%,0.06%,0.01%
28,Bandhan Bank,24.42,99.41%,0.09%,0.49%,0.05%
29,RBL Bank,22.99,99.56%,0.30%,0.14%,0.08%
30,AU small Finance Bank,20.3,98.32%,1.60%,0.08%,0.02%
31,Tamilnad Mercantile Bank,16.44,99.76%,0.15%,0.09%,0.02%
32,City Union Bank,16.17,98.67%,0.90%,0.43%,0.10%
33,Ujjivan Small Finance Bank,15.43,99.34%,0.30%,0.36%,0.16%
34,Jammu and Kashmir Bank,14.39,98.52%,0.32%,1.16%,0.11%
35,Equitas Small Finance Bank,11.99,97.20%,2.08%,0.72%,0.08%
36,Punjab and Sind Bank,11.66,97.74%,0.18%,2.08%,0.24%
37,Kerala Gramin Bank,10.91,99.48%,0.20%,0.32%,0.26%
38,CITI Bank,10.78,99.85%,0.00%,0.15%,0.12%
39,Pragathi Krishna Gramin Bank,10.7,97.33%,0.35%,2.32%,0.62%
40,Andhra Pradesh Grameena Vikas Bank,9.66,97.69%,0.25%,2.05%,0.36%
41,DBS Bank India Limited,9.44,98.38%,1.25%,0.37%,0.15%
42,Maharashtra Gramin Bank,8.96,93.62%,0.46%,5.92%,0.49%
43,Tri O Tech Solutions Private Limited,8.46,93.56%,6.12%,0.32%,0.04%
44,Baroda UP Gramin Bank,8.28,93.30%,0.74%,5.97%,1.60%
45,Rajasthan Marudhara Gramin Bank,8.2,96.29%,0.45%,3.27%,0.29%
46,ESAF Small Finance Bank Ltd.,8.14,99.27%,0.04%,0.69%,0.30%
47,Andhra Pragathi Grameena Bank,6.71,88.20%,0.43%,11.38%,0.31%
48,Saraswat Bank,6.64,98.11%,0.18%,1.72%,0.20%
49,Sarva Haryana Gramin Bank,6.08,98.26%,0.48%,1.26%,0.19%
50,Baroda Rajasthan Kshetriya Gramin Bank,5.45,92.90%,2.40%,4.70%,0.84%
