Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1370.06,99.66%,0.32%,0.03%,0.00%,
2,State Bank Of India,764.66,95.87%,0.29%,3.64%,0.21%,
3,Yes Bank Ltd,731.88,99.90%,0.04%,0.03%,0.03%,
4,Axis Bank Ltd,483.14,99.20%,0.15%,0.54%,0.11%,
5,ICICI Bank,414.15,99.46%,0.41%,0.10%,0.03%,
6,HDFC Bank Ltd,302.98,99.28%,0.66%,0.04%,0.02%,
7,Bank of Baroda,202.6,98.92%,0.37%,0.27%,0.44%,
8,Union Bank of India,197.7,98.57%,0.28%,0.91%,0.24%,
9,Canara Bank,148.36,98.97%,0.52%,0.41%,0.10%,
10,Punjab National Bank,142.4,98.66%,0.52%,0.61%,0.21%,
11,Federal Bank,122.19,99.29%,0.28%,0.42%,0.01%,
12,Kotak Mahindra Bank,120.07,99.02%,0.60%,0.23%,0.15%,
13,Bank of India,116.98,99.52%,0.27%,0.18%,0.03%,
14,Indian Bank,79.66,99.23%,0.23%,0.50%,0.05%,
15,Airtel Payments Bank,66.91,98.66%,0.37%,0.68%,0.29%,
16,IndusInd Bank,63,98.64%,0.68%,0.47%,0.21%,
17,Central Bank Of India,59.63,95.05%,0.68%,3.37%,0.90%,
18,IDBI Bank Limited,45.27,98.91%,0.64%,0.38%,0.08%,
19,Indian Overseas Bank,43.21,99.02%,0.30%,0.33%,0.34%,
20,UCO Bank,37.03,98.92%,0.48%,0.40%,0.20%,
21,Bank of Maharashtra,35.99,98.55%,0.25%,0.93%,0.27%,
22,India Post Payment Bank,34.23,92.43%,0.59%,6.57%,0.41%,
23,Karnataka Bank,28.66,91.84%,0.59%,6.09%,1.48%,
24,IDFC FIRST Bank,25.28,95.44%,1.43%,2.61%,0.51%,
25,Karur Vysya Bank,23.1,98.33%,0.34%,1.29%,0.04%,
26,South Indian Bank,17.51,98.61%,0.41%,0.95%,0.02%,
27,Bandhan Bank,16.73,98.24%,0.51%,1.12%,0.12%,
28,Fino Payments Bank,13.59,93.98%,2.35%,3.39%,0.28%,
29,AU small Finance Bank,12.92,97.85%,1.58%,0.44%,0.13%,
30,Citibank,12.15,99.28%,0.50%,0.22%,0.00%,
31,City Union Bank,11.47,98.36%,0.73%,0.89%,0.02%,
32,Equitas Small Finance Bank,9.94,92.75%,3.10%,3.79%,0.36%,
33,Tamilnad Mercantile Bank,9.88,99.51%,0.24%,0.15%,0.10%,
34,Ujjivan Small Finance Bank,9.41,88.59%,0.29%,9.69%,1.43%,
35,Pragathi Krishna Gramin Bank,8.27,97.73%,0.32%,1.35%,0.60%,
36,Andhra Pradesh Grameena Vikas Bank,7.71,80.24%,9.19%,8.62%,1.95%,
37,Punjab and Sind Bank,7.62,97.81%,0.30%,1.75%,0.14%,
38,Maharashtra Gramin Bank,6.99,85.10%,9.54%,5.06%,0.30%,
39,DBS Bank Ltd,6.61,98.10%,1.73%,0.11%,0.06%,
40,Jammu and Kashmir Bank,6.36,91.75%,2.56%,5.40%,0.29%,
41,Kerala Gramin Bank,6.12,98.67%,0.42%,0.62%,0.29%,
42,Saraswat Bank,5.52,98.76%,0.18%,0.99%,0.07%,
43,ESAF Small Finance Bank Ltd.,5.32,97.79%,0.25%,1.62%,0.34%,
44,RBL Bank,5.22,97.67%,1.44%,0.83%,0.06%,
45,Rajasthan Marudhara Gramin Bank,5.21,85.56%,4.92%,7.83%,1.68%,
46,Andhra Pragathi Grameena Bank,5.17,88.19%,5.00%,5.27%,1.53%,
47,Sarva Haryana Gramin Bank,4.66,78.69%,0.47%,19.77%,1.07%,
48,Baroda UP Gramin Bank,4.29,88.20%,3.24%,7.48%,1.08%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4,88.74%,2.01%,8.05%,1.20%,
50,Karnataka Vikas Grameena Bank,3.65,94.99%,2.99%,1.98%,0.04%,
