Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2177.68,99.79%,0.20%,0.01%,0.00%
2,Yes Bank Ltd,1735.59,99.96%,0.02%,0.02%,0.00%
3,State Bank Of India,1017.11,99.66%,0.19%,0.13%,0.02%
4,Axis Bank Ltd,644.25,99.76%,0.11%,0.08%,0.04%
5,ICICI Bank,591.75,98.72%,0.25%,0.76%,0.27%
6,HDFC BANK LTD,479.17,99.41%,0.48%,0.07%,0.04%
7,Bank of Baroda,274.76,99.64%,0.16%,0.12%,0.08%
8,Union Bank of India,267.39,99.77%,0.16%,0.06%,0.02%
9,Federal Bank,213.89,99.12%,0.23%,0.60%,0.05%
10,Punjab National Bank,211.61,99.14%,0.39%,0.28%,0.19%
11,Canara Bank,209.8,98.64%,0.43%,0.64%,0.29%
12,Kotak Mahindra Bank,187.61,97.12%,0.41%,1.47%,1.00%
13,Bank of India,148.54,99.60%,0.24%,0.11%,0.05%
14,Indian Bank,131.25,99.46%,0.24%,0.29%,0.00%
15,Airtel Payments Bank,116.09,98.12%,0.41%,1.13%,0.34%
16,INDUSIND BANK,94.66,99.06%,0.21%,0.50%,0.24%
17,Central Bank Of India,73.76,96.15%,0.61%,2.43%,0.81%
18,India Post Payment Bank,74.36,90.31%,0.55%,8.45%,0.68%
19,Indian Overseas Bank,59.1,98.95%,0.37%,0.39%,0.30%
20,UCO Bank,54.91,95.38%,0.70%,3.43%,0.49%
21,IDBI Bank Limited,52.3,99.00%,0.40%,0.42%,0.17%
22,IDFC FIRST Bank,41.95,98.48%,0.99%,0.39%,0.14%
23,Bank of Maharashtra,41.63,98.91%,0.24%,0.66%,0.19%
24,Karnataka Bank,34.46,97.41%,1.02%,1.56%,0.01%
25,Fino Payments Bank Limited,29.84,98.31%,0.59%,1.06%,0.04%
26,Karur Vysya Bank,26.95,99.47%,0.47%,0.06%,0.00%
27,South Indian Bank,24.87,99.79%,0.20%,0.01%,0.00%
28,Bandhan Bank,23.77,97.62%,0.48%,1.51%,0.39%
29,AU small Finance Bank,18.9,97.84%,1.03%,0.71%,0.42%
30,Tamilnad Mercantile Bank,15.01,99.74%,0.17%,0.07%,0.02%
31,City Union Bank,15.13,98.58%,0.78%,0.56%,0.08%
32,Ujjivan Small Finance Bank,14.42,99.25%,0.31%,0.31%,0.13%
33,Jammu and Kashmir Bank,13.75,97.11%,0.34%,2.25%,0.31%
34,Equitas Bank,11.38,97.57%,2.21%,0.21%,0.01%
35,Punjab and Sind Bank,10.97,97.58%,0.19%,1.90%,0.34%
36,RBL Bank,19.83,98.69%,0.56%,0.69%,0.06%
37,Kerala Gramin Bank,10.3,98.62%,0.20%,0.80%,0.38%
38,Pragathi Krishna Gramin Bank,10.09,97.81%,0.38%,1.11%,0.70%
39,Citibank,11.91,99.76%,0.00%,0.14%,0.10%
40,Andhra Pradesh Grameena Vikas Bank,9.79,93.82%,0.29%,5.40%,0.49%
41,DBS Bank India Limited,9.16,98.36%,1.40%,0.12%,0.12%
42,Maharashtra Gramin Bank,8.58,94.04%,0.38%,5.15%,0.44%
43,ESAF Small Finance Bank Ltd.,7.75,98.26%,0.12%,1.47%,0.15%
44,Baroda UP Gramin Bank,7.56,94.84%,1.03%,3.26%,0.87%
45,Rajasthan Marudhara Gramin Bank,7.36,96.52%,0.36%,2.49%,0.63%
46,Tri O Tech Solutions Private Limited PPI,7.47,93.15%,6.60%,0.23%,0.03%
47,Jio Payments Bank,6.5,99.17%,0.43%,0.15%,0.25%
48,Saraswat Bank,6.35,98.28%,0.19%,1.07%,0.46%
49,Sarva Haryana Gramin Bank,5.86,96.97%,0.45%,2.24%,0.34%
50,Andhra Pragathi Grameena Bank,6.09,92.97%,2.70%,4.10%,0.23%
