Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1210.84,99.74%,0.25%,0.00%,0.00%,
2,State Bank Of India,737.53,99.03%,0.35%,0.44%,0.18%,
3,Yes Bank Ltd,678.13,99.71%,0.22%,0.05%,0.03%,
4,Axis Bank Ltd,413.31,99.18%,0.57%,0.02%,0.23%,
5,ICICI Bank,291.67,98.98%,0.69%,0.26%,0.06%,
6,HDFC Bank Ltd,275.06,98.91%,0.92%,0.03%,0.14%,
7,Bank of Baroda,191.67,99.00%,0.48%,0.40%,0.12%,
8,Union Bank of India,179.59,98.65%,0.34%,0.83%,0.18%,
9,Canara Bank,142.52,98.06%,0.69%,0.73%,0.52%,
10,Punjab National Bank,133.47,98.42%,0.55%,0.82%,0.21%,
11,Kotak Mahindra Bank,115.13,98.18%,0.67%,0.22%,0.92%,
12,Bank of India,112.56,99.36%,0.32%,0.18%,0.14%,
13,Federal Bank,112.07,99.74%,0.24%,0.02%,0.00%,
14,Indian Bank,69.66,94.25%,3.18%,1.27%,1.30%,
15,Airtel Payments Bank,60.14,98.52%,0.48%,0.79%,0.20%,
16,Central Bank Of India,59.12,97.87%,0.64%,0.58%,0.90%,
17,IndusInd Bank,51.42,98.51%,0.90%,0.35%,0.24%,
18,IDBI Bank Limited,43.89,99.27%,0.53%,0.08%,0.11%,
19,Indian Overseas Bank,39.2,98.75%,0.37%,0.62%,0.26%,
20,Bank of Maharashtra,34.89,99.10%,0.28%,0.43%,0.19%,
21,UCO Bank,33.57,97.77%,0.43%,1.34%,0.46%,
22,India Post Payment Bank,29.42,99.17%,0.38%,0.23%,0.22%,
23,Karnataka Bank,28.48,98.41%,0.92%,0.38%,0.29%,
24,Karur Vysya Bank,21.84,99.08%,0.44%,0.30%,0.18%,
25,IDFC FIRST Bank,20.88,98.31%,0.91%,0.22%,0.56%,
26,South Indian Bank,16.17,99.32%,0.41%,0.25%,0.03%,
27,Bandhan Bank,15.71,96.70%,0.60%,2.40%,0.30%,
28,Fino Payments Bank,12.2,93.74%,2.28%,3.84%,0.15%,
29,Citibank,12.09,99.17%,0.68%,0.03%,0.12%,
30,AU small Finance Bank,11.83,97.89%,1.91%,0.08%,0.12%,
31,City Union Bank,10.64,97.91%,1.07%,0.88%,0.15%,
32,DBS Bank Ltd,9.56,94.91%,1.29%,3.69%,0.10%,
33,Tamilnad Mercantile Bank,8.68,99.12%,0.42%,0.27%,0.19%,
34,Equitas Small Finance Bank,8.53,94.20%,1.71%,3.55%,0.54%,
35,Ujjivan Small Finance Bank,8.47,98.84%,0.38%,0.32%,0.46%,
36,Pragathi Krishna Gramin Bank,7.55,98.51%,0.30%,0.50%,0.69%,
37,Andhra Pradesh Grameena Vikas Bank,6.99,95.59%,0.12%,2.91%,1.38%,
38,Punjab and Sind Bank,6.67,99.21%,0.36%,0.28%,0.15%,
39,Maharashtra Gramin Bank,6.28,99.12%,0.25%,0.41%,0.22%,
40,Kerala Gramin Bank,5.65,99.52%,0.28%,0.04%,0.17%,
41,Saraswat Bank,5.43,99.42%,0.27%,0.26%,0.05%,
42,Jammu and Kashmir Bank,5.29,94.71%,2.18%,2.87%,0.24%,
43,Rajasthan Marudhara Gramin Bank,5.15,83.18%,2.50%,10.83%,3.50%,
44,RBL Bank,5.13,96.18%,3.65%,0.09%,0.08%,
45,ESAF Small Finance Bank Ltd.,4.83,98.77%,0.32%,0.82%,0.09%,
46,Andhra Pragathi Grameena Bank,4.78,92.16%,1.37%,3.17%,3.30%,
47,Baroda UP Gramin Bank,4.3,71.53%,4.96%,21.88%,1.62%,
48,Sarva Haryana Gramin Bank,4.14,86.91%,0.61%,11.95%,0.53%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4,84.39%,1.78%,11.47%,2.37%,
50,Karnataka Vikas Grameena Bank,3.56,94.24%,1.56%,2.11%,2.09%,
