Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,1921.46,99.68%,0.24%,0.06%,0.02%
2,Yes Bank Ltd,1590.23,99.88%,0.00%,0.00%,0.03%
3,State Bank Of India,972.24,98.22%,0.21%,1.41%,0.17%
4,ICICI Bank,601.02,98.26%,0.24%,1.06%,0.44%
5,Axis Bank Ltd,599.56,99.42%,0.23%,0.23%,0.12%
6,HDFC BANK LTD,443.88,98.86%,0.53%,0.42%,0.19%
7,Bank of Baroda,267.27,99.48%,0.17%,0.26%,0.10%
8,Union Bank of India,258.29,99.41%,0.17%,0.30%,0.11%
9,Canara Bank,201.82,99.57%,0.00%,0.33%,0.10%
10,Punjab National Bank,199.08,99.36%,0.36%,0.07%,0.21%
11,Federal Bank,198.1,99.50%,0.31%,0.18%,0.01%
12,Kotak Mahindra Bank,186.19,98.32%,0.43%,0.88%,0.37%
13,Bank of India,146.91,99.25%,0.23%,0.42%,0.10%
14,Indian Bank,114.41,97.90%,0.21%,1.16%,0.73%
15,Airtel Payments Bank,114,99.03%,0.23%,0.63%,0.11%
16,INDUSIND BANK,84.66,99.51%,0.21%,0.21%,0.08%
17,Central Bank Of India,71.42,98.58%,0.59%,0.43%,0.40%
18,India Post Payment Bank,66.53,97.67%,0.60%,1.64%,0.09%
19,Indian Overseas Bank,57.99,99.15%,0.51%,0.14%,0.20%
20,IDBI Bank Limited,54.35,92.67%,0.36%,6.24%,0.74%
21,UCO Bank,51.56,98.95%,0.67%,0.35%,0.03%
22,Bank of Maharashtra,42.71,94.93%,0.23%,4.45%,0.39%
23,IDFC FIRST Bank,40.8,97.07%,1.51%,1.27%,0.14%
24,Karnataka Bank,33.67,98.00%,0.63%,1.31%,0.06%
25,Karur Vysya Bank,26.9,99.23%,0.39%,0.29%,0.09%
26,South Indian Bank,24.73,99.45%,0.37%,0.17%,0.02%
27,Fino Payments Bank,24.05,97.27%,1.32%,1.41%,0.24%
28,Bandhan Bank,23.1,96.04%,0.37%,3.42%,0.17%
29,AU small Finance Bank,18.01,98.65%,1.07%,0.22%,0.06%
30,City Union Bank,14.84,98.25%,1.05%,0.59%,0.11%
31,Tamilnad Mercantile Bank,14.13,99.54%,0.25%,0.17%,0.04%
32,CITI,13.9,99.75%,0.00%,0.10%,0.15%
33,Ujjivan Small Finance Bank,13.29,99.29%,0.31%,0.22%,0.18%
34,Equitas Bank,12.24,96.03%,3.45%,0.45%,0.08%
35,Jammu and Kashmir Bank,10.84,97.08%,0.45%,2.27%,0.20%
36,Punjab and Sind Bank,10.28,99.09%,0.20%,0.63%,0.08%
37,Kerala Gramin Bank,9.92,98.85%,0.19%,0.71%,0.26%
38,Pragathi Krishna Gramin Bank,9.75,96.93%,0.26%,2.39%,0.42%
39,DBS Bank India Limited,9.25,98.16%,1.34%,0.37%,0.13%
40,Andhra Pradesh Grameena Vikas Bank,9.2,96.08%,0.11%,3.51%,0.30%
41,RBL,8.54,98.80%,0.75%,0.36%,0.09%
42,Maharashtra Gramin Bank,8.42,95.06%,1.38%,3.24%,0.32%
43,ESAF Small Finance Bank Ltd.,7.54,99.23%,0.13%,0.58%,0.06%
44,Rajasthan Marudhara Gramin Bank,7.39,95.85%,0.38%,3.45%,0.32%
45,Baroda UP Gramin Bank,7.1,95.28%,2.33%,1.68%,0.70%
46,Saraswat Bank,6.45,99.59%,0.22%,0.13%,0.06%
47,Andhra Pragathi Grameena Bank,6.39,95.45%,0.71%,3.78%,0.06%
48,Cosmos Bank,5.85,99.17%,0.26%,0.40%,0.17%
49,Sarva Haryana Gramin Bank,5.36,97.65%,0.62%,1.45%,0.28%
50,Baroda Rajasthan Kshetriya Gramin Bank,4.82,94.68%,2.49%,2.33%,0.50%
