Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2122.5,99.79%,0.20%,0.00%,0.01%
2,Yes Bank Ltd,1776.21,99.93%,0.02%,0.04%,0.01%
3,State Bank of India,1021.12,99.36%,0.24%,0.33%,0.06%
4,Axis Bank Ltd,664.41,99.90%,0.09%,0.01%,0.00%
5,ICICI Bank,624.05,98.76%,0.63%,0.39%,0.22%
6,HDFC BANK LTD,475.3,99.31%,0.57%,0.06%,0.07%
7,Bank of Baroda,278.65,99.10%,0.22%,0.61%,0.07%
8,Union Bank of India,271.63,99.54%,0.18%,0.17%,0.11%
9,Federal Bank,216.25,99.75%,0.23%,0.02%,0.00%
10,Punjab National Bank,212.79,99.15%,0.37%,0.22%,0.25%
11,Canara Bank,210.04,99.13%,0.19%,0.48%,0.19%
12,Kotak Mahindra Bank,203.15,97.77%,0.47%,1.04%,0.72%
13,Bank of India,151.38,98.35%,0.24%,1.32%,0.09%
14,Indian Bank,132.71,98.91%,0.30%,0.32%,0.48%
15,Airtel Payments Bank,116.47,98.56%,0.46%,0.71%,0.26%
16,INDUSIND BANK,93,98.89%,0.20%,0.50%,0.41%
17,Central Bank Of India,74.5,98.34%,0.66%,0.53%,0.47%
18,India Post Payment Bank,72.15,96.82%,0.48%,2.49%,0.21%
19,Indian Overseas Bank,59.63,99.06%,0.61%,0.14%,0.19%
20,UCO Bank,55.1,98.72%,0.68%,0.52%,0.08%
21,IDBI Bank Limited,53.37,98.81%,0.42%,0.60%,0.17%
22,IDFC FIRST Bank,43.3,97.88%,1.17%,0.77%,0.18%
23,Bank of Maharashtra,42.41,97.16%,0.34%,2.20%,0.31%
24,Karnataka Bank,34.08,96.45%,1.11%,2.39%,0.05%
25,RBL,33.53,99.89%,0.00%,0.00%,0.11%
26,Karur Vysya Bank,27.2,98.91%,0.43%,0.61%,0.06%
27,Fino Payments Bank Limited,27.08,97.40%,1.04%,1.49%,0.07%
28,South Indian Bank,25.43,99.75%,0.21%,0.04%,0.00%
29,Bandhan Bank,24.14,96.37%,0.15%,2.92%,0.56%
30,AU small Finance Bank,19.21,97.46%,1.41%,0.76%,0.37%
31,City Union Bank,15.13,98.54%,0.92%,0.44%,0.10%
32,Tamilnad Mercantile Bank,14.8,99.35%,0.23%,0.39%,0.02%
33,Ujjivan Small Finance Bank,14.27,99.11%,0.34%,0.41%,0.15%
34,Jammu and Kashmir Bank,12.63,97.86%,0.39%,1.67%,0.08%
35,Equitas Bank,11.91,96.70%,3.08%,0.21%,0.01%
36,Punjab and Sind Bank,10.91,93.48%,0.19%,5.47%,0.86%
37,Kerala Gramin Bank,10.06,99.27%,0.19%,0.33%,0.22%
38,Andhra Pradesh Grameena Vikas Bank,9.92,95.22%,0.53%,3.96%,0.29%
39,Pragathi Krishna Gramin Bank,9.74,99.25%,0.39%,0.16%,0.20%
40,DBS Bank India Limited,9.41,98.06%,1.54%,0.30%,0.10%
41,Maharashtra Gramin Bank,8.86,92.53%,0.87%,5.93%,0.67%
42,Baroda UP Gramin Bank,8.3,86.32%,2.00%,10.37%,1.31%
43,Rajasthan Marudhara Gramin Bank,7.82,91.18%,1.92%,6.45%,0.46%
44,ESAF Small Finance Bank Ltd.,7.62,98.86%,0.13%,0.89%,0.12%
45,Tri O Tech Solutions Private Limited,7.04,91.14%,8.66%,0.19%,0.01%
46,Saraswat Bank,6.44,98.71%,0.26%,0.71%,0.32%
47,Andhra Pragathi Grameena Bank,6.13,89.76%,0.33%,9.56%,0.35%
48,Sarva Haryana Gramin Bank,5.94,94.40%,0.46%,4.34%,0.80%
49,Jio Payments Bank,5.24,99.39%,0.46%,0.10%,0.04%
50,Baroda Rajasthan Kshetriya Gramin Bank,5.18,92.63%,2.65%,4.24%,0.48%
