Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1617.99,99.63%,0.27%,0.08%,0.02%,
2,Yes Bank Ltd,1261.66,99.87%,0.12%,0.01%,0.00%,
3,State Bank Of India,877.76,99.07%,0.22%,0.63%,0.08%,
4,Axis Bank Ltd,541.43,99.82%,0.11%,0.04%,0.03%,
5,ICICI Bank,493.34,99.30%,0.36%,0.28%,0.07%,
6,HDFC Bank Ltd,361.21,99.22%,0.66%,0.08%,0.04%,
7,Bank of Baroda,233.63,99.59%,0.26%,0.10%,0.05%,
8,Union Bank of India,226.28,99.35%,0.28%,0.29%,0.08%,
9,Canara Bank,173.68,98.62%,0.43%,0.72%,0.24%,
10,Federal Bank,166.71,99.22%,0.34%,0.41%,0.03%,
11,Punjab National Bank,163.42,96.87%,0.58%,1.84%,0.71%,
12,Kotak Mahindra Bank,150.77,99.05%,0.59%,0.27%,0.09%,
13,Bank of India,129.98,99.12%,0.25%,0.50%,0.13%,
14,Indian Bank,94.58,98.69%,0.33%,0.82%,0.16%,
15,Airtel Payments Bank,84.21,94.82%,0.43%,3.37%,1.37%,
16,IndusInd Bank,62.72,98.90%,0.46%,0.36%,0.28%,
17,Central Bank Of India,60.87,96.54%,0.63%,1.88%,0.95%,
18,India Post Payment Bank,56.87,96.45%,0.73%,2.62%,0.20%,
19,Indian Overseas Bank,50.3,98.92%,0.28%,0.59%,0.21%,
20,IDBI Bank Limited,48.77,98.14%,0.47%,1.19%,0.20%,
21,UCO Bank,44.71,97.31%,0.68%,1.56%,0.45%,
22,Bank of Maharashtra,38.54,98.02%,0.31%,1.51%,0.16%,
23,IDFC FIRST Bank,37.91,91.59%,1.43%,6.48%,0.50%,
24,Karnataka Bank,29.87,93.52%,0.64%,4.91%,0.94%,
25,Karur Vysya Bank,24.8,98.56%,0.53%,0.82%,0.09%,
26,South Indian Bank,21.4,99.21%,0.65%,0.13%,0.01%,
27,Bandhan Bank,20.13,96.34%,0.37%,3.11%,0.18%,
28,Fino Payments Bank,19.4,95.99%,2.08%,1.48%,0.45%,
29,AU small Finance Bank,15.63,97.57%,2.07%,0.21%,0.15%,
30,City Union Bank,12.88,98.44%,0.85%,0.63%,0.08%,
31,Tamilnad Mercantile Bank,11.78,98.77%,0.26%,0.81%,0.16%,
32,Citibank,11.3,99.62%,0.00%,0.08%,0.30%,
33,Ujjivan Small Finance Bank,11.14,95.80%,0.29%,3.62%,0.29%,
34,Equitas Small Finance Bank,10.67,97.64%,1.88%,0.46%,0.02%,
35,Punjab and Sind Bank,8.84,98.27%,0.22%,1.20%,0.31%,
36,Pragathi Krishna Gramin Bank,8.58,99.14%,0.43%,0.20%,0.23%,
37,Kerala Gramin Bank,8.36,98.99%,0.71%,0.11%,0.18%,
38,Jammu and Kashmir Bank,8.27,95.56%,0.61%,3.57%,0.25%,
39,Andhra Pradesh Grameena Vikas Bank,7.64,98.46%,0.26%,0.89%,0.39%,
40,DBS Bank India Limited,6.87,98.51%,1.41%,0.06%,0.02%,
41,Maharashtra Gramin Bank,6.62,91.06%,4.57%,3.62%,0.76%,
42,ESAF Small Finance Bank Ltd.,6.56,99.05%,0.24%,0.61%,0.11%,
43,RBL,6,96.96%,1.55%,1.13%,0.36%,
44,Rajasthan Marudhara Gramin Bank,5.97,95.14%,0.45%,3.49%,0.92%,
45,Saraswat Bank,5.87,99.18%,0.22%,0.54%,0.06%,
46,Baroda UP Gramin Bank,5.41,93.56%,2.43%,3.37%,0.64%,
47,Andhra Pragathi Grameena Bank,5.39,94.46%,1.55%,3.58%,0.41%,
48,Sarva Haryana Gramin Bank,4.67,89.96%,1.93%,7.94%,0.16%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.21,92.85%,2.34%,4.33%,0.48%,
50,Karnataka Vikas Grameena Bank,3.83,96.13%,1.19%,2.43%,0.25%,
