Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2617.76,99.90%,0.08%,0.01%,0.00%
2,Yes Bank Ltd,2146.74,99.96%,0.03%,0.01%,0.00%
3,State Bank Of India,1163.73,99.15%,0.27%,0.58%,0.06%
4,Axis Bank Ltd.,856.15,99.52%,0.34%,0.15%,0.07%
5,ICICI Bank,651.71,99.28%,0.60%,0.12%,0.01%
6,HDFC BANK LTD,508.67,99.29%,0.65%,0.06%,0.04%
7,Bank of Baroda,317.76,99.43%,0.48%,0.09%,0.10%
8,Union Bank of India,310.09,99.55%,0.25%,0.20%,0.12%
9,Federal Bank,266.3,99.40%,0.32%,0.29%,0.04%
10,Punjab National Bank,254.47,99.39%,0.47%,0.14%,0.24%
11,Canara Bank,252.28,99.05%,0.53%,0.42%,0.13%
12,Kotak Mahindra Bank,219.84,99.31%,0.64%,0.05%,0.06%
13,Bank of India,173.07,96.65%,0.31%,3.04%,0.43%
14,Indian Bank,167.39,99.49%,0.44%,0.07%,0.04%
15,Airtel Payments Bank,160.79,99.07%,0.51%,0.43%,0.15%
16,INDUSIND BANK,135.4,98.93%,0.43%,0.64%,0.43%
17,India Post Payment Bank,100.15,98.67%,0.42%,0.90%,0.14%
18,Central Bank Of India,82.64,98.41%,0.57%,1.02%,0.45%
19,Indian Overseas Bank,70.94,99.24%,0.35%,0.40%,0.32%
20,UCO Bank,67.33,98.39%,0.79%,0.82%,0.08%
21,IDBI Bank Limited,58.83,98.43%,0.48%,1.09%,0.47%
22,Bank of Maharashtra,48.5,98.98%,0.61%,0.41%,0.10%
23,Fino Payments Bank Limited FIP,44.77,98.15%,0.70%,1.15%,0.10%
24,Karnataka Bank,39.12,98.76%,0.67%,0.58%,0.02%
25,IDFC FIRST Bank,48.61,98.45%,1.39%,0.16%,0.15%
26,Karur Vysya Bank,30.6,98.98%,0.59%,0.43%,0.09%
27,South Indian Bank,29.58,99.15%,0.43%,0.42%,0.02%
28,Bandhan Bank,26.18,98.07%,0.53%,1.40%,0.00%
29,AU small Finance Bank,22.96,97.60%,2.24%,0.16%,0.11%
30,Tamilnad Mercantile Bank,18.71,99.50%,0.31%,0.19%,0.03%
31,City Union Bank,17.92,98.36%,1.45%,0.19%,0.06%
32,RBL Bank,44.4,95.83%,0.55%,3.62%,0.31%
33,Ujjivan Small Finance Bank,17.99,99.31%,0.19%,0.50%,0.25%
34,Jammu and Kashmir Bank,19.18,98.00%,0.35%,1.64%,0.27%
35,Equitas Bank,12.5,97.55%,2.37%,0.08%,0.00%
36,Punjab and Sind Bank,13.25,99.37%,0.28%,0.35%,0.21%
37,Kerala Gramin Bank,13.43,98.41%,0.22%,1.38%,0.59%
38,Pragathi Krishna Gramin Bank,11.6,99.00%,0.49%,0.51%,0.33%
39,CITIBank,10.35,99.79%,0.00%,0.21%,0.00%
40,Andhra Pradesh Grameena Vikas Bank,11.19,98.76%,0.87%,0.37%,0.07%
41,DBS Bank India Limited,9.6,98.21%,1.70%,0.08%,0.04%
42,Maharashtra Gramin Bank,9.6,98.29%,0.26%,1.45%,0.14%
43,Tri O Tech Solutions Private Limited,13.88,94.64%,5.32%,0.04%,0.01%
44,Rajasthan Marudhara Gramin Bank,8.76,99.17%,0.61%,0.22%,0.06%
45,Baroda UP Gramin Bank,10.63,83.36%,0.85%,15.80%,5.43%
46,ESAF Small Finance Bank Ltd.,9.33,99.66%,0.17%,0.18%,0.05%
47,Andhra Pragathi Grameena Bank,7.17,97.88%,0.74%,1.38%,0.04%
48,Saraswat Bank,7.23,99.35%,0.37%,0.28%,0.11%
49,Sarva Haryana Gramin Bank,6.55,97.20%,0.43%,2.37%,0.60%
50,Baroda Rajasthan Kshetriya Gramin Bank,5.2,94.07%,1.31%,4.62%,1.32%
