Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1614.03,99.67%,0.33%,0.01%,0.00%,
2,Yes Bank Ltd,1219.77,99.79%,0.03%,0.13%,0.05%,
3,State Bank Of India,889.56,98.90%,0.23%,0.81%,0.05%,
4,Axis Bank Ltd,542.37,99.89%,0.09%,0.01%,0.01%,
5,ICICI Bank,492.94,99.32%,0.34%,0.26%,0.08%,
6,HDFC Bank Ltd,373.7,99.20%,0.66%,0.10%,0.04%,
7,Bank of Baroda,240.33,99.39%,0.26%,0.28%,0.07%,
8,Union Bank of India,227.13,98.72%,0.28%,0.82%,0.18%,
9,Canara Bank,172.3,99.48%,0.40%,0.06%,0.05%,
10,Punjab National Bank,167.71,98.57%,0.57%,0.52%,0.34%,
11,Federal Bank,165.64,99.61%,0.30%,0.08%,0.01%,
12,Kotak Mahindra Bank,154.56,99.26%,0.62%,0.07%,0.05%,
13,Bank of India,134.01,98.83%,0.26%,0.76%,0.15%,
14,Indian Bank,92.72,98.59%,0.37%,0.79%,0.25%,
15,Airtel Payments Bank,83.12,94.81%,0.47%,3.55%,1.17%,
16,IndusInd Bank,63.42,99.09%,0.45%,0.29%,0.17%,
17,Central Bank Of India,62.34,95.82%,0.62%,2.62%,0.94%,
18,India Post Payment Bank,54.32,96.43%,0.98%,2.37%,0.22%,
19,IDBI Bank Limited,50.52,98.82%,0.43%,0.49%,0.26%,
20,Indian Overseas Bank,49.89,99.04%,0.28%,0.42%,0.26%,
21,UCO Bank,44.71,97.88%,0.70%,1.05%,0.37%,
22,Bank of Maharashtra,39.9,98.36%,0.29%,1.17%,0.18%,
23,IDFC FIRST Bank,36.93,93.33%,1.04%,5.01%,0.62%,
24,Karnataka Bank,30.03,94.35%,0.70%,4.14%,0.82%,
25,Karur Vysya Bank,25.04,99.21%,0.60%,0.15%,0.04%,
26,South Indian Bank,20.8,99.25%,0.65%,0.09%,0.01%,
27,Bandhan Bank,19.75,96.79%,0.39%,2.74%,0.08%,
28,Fino Payments Bank,19.5,96.03%,2.29%,1.30%,0.38%,
29,AU small Finance Bank,16.05,97.86%,1.70%,0.25%,0.19%,
30,Citibank,2.54,97.38%,1.97%,0.42%,0.23%,
31,City Union Bank,12.82,98.45%,0.89%,0.57%,0.09%,
32,Tamilnad Mercantile Bank,11.7,99.39%,0.27%,0.30%,0.04%,
33,Ujjivan Small Finance Bank,11.2,94.52%,0.28%,4.91%,0.29%,
34,Equitas Small Finance Bank,10.73,94.69%,1.71%,2.93%,0.67%,
35,Pragathi Krishna Gramin Bank,8.76,98.92%,0.46%,0.34%,0.28%,
36,Punjab and Sind Bank,8.71,92.64%,0.23%,5.73%,1.40%,
37,YES Bank - Amazon pay,7.97,100.00%,0.00%,0.00%,0.00%,
38,Jammu and Kashmir Bank,8.13,96.36%,0.62%,2.89%,0.13%,
39,Kerala Gramin Bank,7.72,99.06%,0.67%,0.11%,0.16%,
40,Andhra Pradesh Grameena Vikas Bank,7.59,93.00%,2.66%,3.02%,1.32%,
41,DBS Bank Ltd,6.82,97.40%,1.37%,0.97%,0.25%,
42,Maharashtra Gramin Bank,7.43,86.96%,4.39%,7.12%,1.53%,
43,ESAF Small Finance Bank Ltd.,6.42,99.13%,0.22%,0.58%,0.07%,
44,Saraswat Bank,6.2,99.25%,0.20%,0.50%,0.05%,
45,Rajasthan Marudhara Gramin Bank,6.42,89.36%,0.39%,8.43%,1.82%,
46,RBL Bank,5.95,98.14%,1.33%,0.46%,0.07%,
47,Baroda UP Gramin Bank,5.63,92.88%,2.36%,4.19%,0.58%,
48,Andhra Pragathi Grameena Bank,5.56,89.78%,1.62%,7.08%,1.52%,
49,Sarva Haryana Gramin Bank,5.15,84.50%,0.42%,14.93%,0.14%,
50,Baroda Rajasthan Kshetriya Gramin Bank,4.6,90.68%,2.05%,6.45%,0.82%,
