Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2709.07,99.87%,0.11%,0.02%,0.00%
2,Yes Bank Ltd,2224.58,99.94%,0.02%,0.03%,0.00%
3,State Bank Of India,1183.73,97.26%,0.28%,2.46%,0.41%
4,Axis Bank Ltd.,798.18,99.73%,0.22%,0.05%,0.03%
5,ICICI Bank,651.16,99.28%,0.49%,0.23%,0.08%
6,HDFC BANK LTD,535.56,99.39%,0.50%,0.11%,0.06%
7,Bank of Baroda,326.93,98.09%,0.84%,1.07%,0.16%
8,Union Bank of India,314.34,98.97%,0.24%,0.80%,0.22%
9,Federal Bank,271.01,99.65%,0.30%,0.04%,0.00%
10,Punjab National Bank,256.32,99.04%,0.45%,0.52%,0.22%
11,Canara Bank,252.42,99.24%,0.51%,0.25%,0.15%
12,Kotak Mahindra Bank,237.72,98.74%,0.64%,0.62%,0.17%
13,Bank of India,175.96,99.44%,0.29%,0.27%,0.13%
14,Indian Bank,169.62,99.44%,0.46%,0.10%,0.03%
15,Airtel Payments Bank,158.7,99.23%,0.59%,0.18%,0.10%
16,INDUSIND BANK,129.76,98.36%,0.37%,1.28%,0.30%
17,India Post Payment Bank,96.97,98.51%,0.39%,1.10%,0.04%
18,Central Bank Of India,84.25,97.64%,0.64%,1.72%,0.53%
19,Indian Overseas Bank,72.39,99.28%,0.40%,0.32%,0.30%
20,UCO Bank,67.14,98.84%,0.80%,0.36%,0.17%
21,IDBI Bank Limited,60.68,98.77%,0.46%,0.77%,0.29%
22,Bank of Maharashtra,49.66,98.99%,0.57%,0.45%,0.10%
23,Fino Payments Bank Limited FIP,50.88,97.26%,0.69%,2.05%,0.06%
24,Karnataka Bank,39.45,98.47%,0.71%,0.82%,0.05%
25,IDFC FIRST Bank,52.06,98.85%,1.07%,0.08%,0.00%
26,Karur Vysya Bank,31.11,99.07%,0.61%,0.32%,0.08%
27,South Indian Bank,29.03,99.60%,0.33%,0.07%,0.02%
28,Bandhan Bank,25.96,85.26%,0.40%,14.34%,0.17%
29,AU small Finance Bank,22.86,97.95%,1.90%,0.15%,0.14%
30,Tamilnad Mercantile Bank,18.78,98.79%,0.34%,0.87%,0.13%
31,City Union Bank,18,98.69%,1.13%,0.19%,0.05%
32,RBL Bank,39.79,96.25%,1.44%,2.31%,0.27%
33,Ujjivan Small Finance Bank,18.2,98.24%,0.24%,1.51%,0.45%
34,Jammu and Kashmir Bank,18.65,98.03%,0.33%,1.63%,0.17%
35,Equitas Small Finance Bank,13.31,97.38%,2.52%,0.10%,0.01%
36,Punjab and Sind Bank,13.64,91.02%,0.21%,8.77%,0.58%
37,Kerala Gramin Bank,12.93,98.25%,0.24%,1.51%,0.55%
38,Pragathi Krishna Gramin Bank,11.58,98.38%,0.41%,1.22%,0.49%
39,CITIBANK,9.77,99.87%,0.00%,0.13%,0.14%
40,Andhra Pradesh Grameena Vikas Bank,11.32,98.92%,0.73%,0.35%,0.07%
41,DBS Bank India Limited,10,97.67%,1.69%,0.64%,0.04%
42,Maharashtra Gramin Bank,10.08,96.48%,0.47%,3.04%,0.24%
43,Tri O Tech Solutions Private Limited,13.24,94.13%,5.79%,0.08%,0.03%
44,Rajasthan Marudhara Gramin Bank,8.94,99.06%,0.50%,0.43%,0.08%
45,Baroda UP Gramin Bank,9.59,92.97%,0.80%,6.24%,2.18%
46,ESAF Small Finance Bank Ltd.,9.26,99.67%,0.14%,0.19%,0.23%
47,Andhra Pragathi Grameena Bank,7.09,97.79%,0.56%,1.65%,0.03%
48,Saraswat Bank,7.5,99.47%,0.34%,0.18%,0.10%
49,Sarva Haryana Gramin Bank,6.75,97.60%,0.41%,1.99%,0.51%
50,Baroda Rajasthan Kshetriya Gramin Bank,5.26,97.70%,1.07%,1.24%,0.26%
