Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1536.46,99.73%,0.26%,0.01%,0.00%,
2,Yes Bank Ltd,1067.95,99.92%,0.06%,0.01%,0.03%,
3,State Bank Of India,841.59,97.87%,0.26%,1.87%,0.11%,
4,Axis Bank Ltd,504.89,99.76%,0.19%,0.05%,0.03%,
5,ICICI Bank,455.34,99.32%,0.40%,0.28%,0.15%,
6,HDFC Bank Ltd,350.77,98.98%,0.97%,0.05%,0.05%,
7,Bank of Baroda,225.52,99.63%,0.30%,0.07%,0.13%,
8,Union Bank of India,213.97,98.81%,0.29%,0.89%,0.22%,
9,Canara Bank,162.67,98.11%,0.41%,1.48%,0.39%,
10,Punjab National Bank,158.47,97.64%,0.66%,1.70%,0.35%,
11,Federal Bank,154.93,99.50%,0.26%,0.24%,0.06%,
12,Kotak Mahindra Bank,141.75,99.02%,0.60%,0.38%,0.32%,
13,Bank of India,126.11,99.06%,0.29%,0.65%,0.14%,
14,Airtel Payments Bank,89.35,97.35%,0.59%,2.06%,0.73%,
15,Indian Bank,88.2,98.14%,0.30%,1.56%,0.43%,
16,Central Bank Of India,58.34,96.79%,0.69%,2.51%,0.91%,
17,IndusInd Bank,57.36,98.55%,1.09%,0.36%,0.21%,
18,IDBI Bank Limited,48.17,98.49%,0.46%,1.05%,0.21%,
19,Indian Overseas Bank,47.38,99.43%,0.27%,0.30%,0.24%,
20,India Post Payment Bank,47.08,95.95%,1.09%,2.96%,0.23%,
21,UCO Bank,42.56,97.31%,0.75%,1.94%,0.56%,
22,Bank of Maharashtra,37.56,96.63%,0.26%,3.11%,0.87%,
23,IDFC FIRST Bank,34.23,92.55%,2.66%,4.79%,0.71%,
24,Karnataka Bank,29.06,95.17%,0.60%,4.22%,0.99%,
25,Karur Vysya Bank,24.14,99.28%,0.33%,0.38%,0.10%,
26,South Indian Bank,19.51,99.35%,0.58%,0.07%,0.03%,
27,Bandhan Bank,18.89,95.56%,0.43%,4.01%,0.31%,
28,Fino Payments Bank,17.75,92.59%,2.45%,4.96%,1.15%,
29,AU small Finance Bank,15.13,96.76%,1.60%,1.64%,0.58%,
30,Citibank,10.48,99.92%,0.00%,0.08%,0.24%,
31,City Union Bank,12.28,98.49%,0.85%,0.66%,0.07%,
32,Tamilnad Mercantile Bank,11,99.67%,0.26%,0.07%,0.03%,
33,Equitas Small Finance Bank,10.75,92.70%,1.76%,5.55%,0.61%,
34,Ujjivan Small Finance Bank,10.74,93.31%,0.29%,6.40%,0.50%,
35,Punjab and Sind Bank,8.91,98.90%,0.24%,0.86%,0.22%,
36,Pragathi Krishna Gramin Bank,8.58,98.38%,0.40%,1.22%,0.57%,
37,Jammu and Kashmir Bank,7.44,96.94%,0.71%,2.35%,0.14%,
38,Andhra Pradesh Grameena Vikas Bank,7.32,86.95%,4.60%,8.45%,2.93%,
39,Maharashtra Gramin Bank,7.26,82.94%,1.73%,15.33%,3.15%,
40,Kerala Gramin Bank,7.01,98.43%,0.70%,0.87%,0.51%,
41,DBS Bank Ltd,6.66,96.97%,1.70%,1.33%,0.09%,
42,Rajasthan Marudhara Gramin Bank,6.04,93.65%,0.43%,5.92%,1.93%,
43,ESAF Small Finance Bank Ltd.,5.92,99.08%,0.21%,0.71%,0.07%,
44,RBL Bank,5.7,97.13%,1.83%,1.04%,0.17%,
45,Saraswat Bank,5.67,99.53%,0.20%,0.27%,0.02%,
46,Baroda UP Gramin Bank,5.46,82.65%,2.22%,15.13%,0.72%,
47,Andhra Pragathi Grameena Bank,5.25,93.77%,0.20%,6.03%,2.40%,
48,Sarva Haryana Gramin Bank,4.9,84.17%,0.47%,15.36%,0.38%,
49,Baroda Rajasthan Kshetriya Gramin Bank,4.31,95.09%,2.05%,2.86%,0.32%,
50,Karnataka Vikas Grameena Bank,3.83,93.53%,0.68%,4.53%,1.26%,
