Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %
1,Paytm Payments Bank,2482.89,99.87%,0.12%,0.01%,0.01%
2,Yes Bank Ltd,2018.4,99.98%,0.02%,0.00%,0.00%
3,State Bank Of India,1118.01,99.62%,0.18%,0.20%,0.04%
4,Axis Bank Ltd.,731.82,99.35%,0.35%,0.30%,0.12%
5,ICICI Bank,625.87,99.49%,0.40%,0.11%,0.03%
6,HDFC BANK LTD,508.57,99.04%,0.56%,0.40%,0.15%
7,Bank of Baroda,301.81,99.36%,0.34%,0.30%,0.07%
8,Union Bank of India,292.91,99.21%,0.18%,0.61%,0.13%
9,Federal Bank,248.34,99.75%,0.25%,0.00%,0.00%
10,Punjab National Bank,236.23,99.44%,0.42%,0.14%,0.06%
11,Canara Bank,234.42,99.35%,0.43%,0.22%,0.12%
12,Kotak Mahindra Bank,215.88,99.38%,0.45%,0.16%,0.13%
13,Bank of India,162.61,99.58%,0.23%,0.19%,0.08%
14,Indian Bank,159.64,95.86%,0.71%,3.43%,0.62%
15,Airtel Payments Bank,141.03,99.18%,0.63%,0.19%,0.12%
16,INDUSIND BANK,102.49,98.14%,0.26%,1.60%,0.88%
17,India Post Payment Bank,87.55,98.04%,0.42%,1.55%,0.16%
18,Central Bank Of India,78.85,97.57%,0.55%,1.88%,0.61%
19,Indian Overseas Bank,66.65,97.73%,0.42%,1.85%,0.39%
20,UCO Bank,63.35,95.99%,0.80%,3.20%,0.51%
21,IDFC FIRST Bank,57.22,99.11%,0.82%,0.07%,0.00%
22,IDBI Bank Limited,56.22,99.30%,0.45%,0.26%,0.13%
23,Fino Payments Bank Limited FIP,50.15,98.01%,0.64%,1.35%,0.07%
24,Bank of Maharashtra,45.61,98.10%,0.30%,1.60%,0.28%
25,Karnataka Bank,37.09,98.79%,0.60%,0.62%,0.01%
26,RBL bank,30.68,98.28%,0.30%,1.42%,0.37%
27,Karur Vysya Bank,29.51,99.30%,0.44%,0.26%,0.06%
28,South Indian Bank,27.4,99.35%,0.21%,0.44%,0.13%
29,Bandhan Bank,26.6,98.66%,0.09%,1.25%,0.16%
30,AU small Finance Bank,21.31,98.80%,1.08%,0.13%,0.08%
31,Tamilnad Mercantile Bank,17.86,97.78%,0.23%,1.98%,0.21%
32,Jammu and Kashmir Bank,17.29,97.87%,0.32%,1.80%,0.24%
33,City Union Bank,16.95,98.64%,1.01%,0.35%,0.06%
34,Ujjivan Small Finance Bank,16.46,99.24%,0.33%,0.42%,0.15%
35,Punjab and Sind Bank,12.67,99.39%,0.18%,0.42%,0.07%
36,Equitas Small Finance Bank,12.19,97.65%,2.02%,0.32%,0.02%
37,Kerala Gramin Bank,11.77,99.15%,0.23%,0.62%,0.33%
38,Tri O Tech Solutions Private Limited,11.15,94.21%,5.50%,0.29%,0.11%
39,Pragathi Krishna Gramin Bank,10.87,98.97%,0.41%,0.62%,0.48%
40,Andhra Pradesh Grameena Vikas Bank,10.36,97.88%,1.11%,1.01%,0.28%
41,CITIBank,9.77,99.83%,0.00%,0.17%,0.16%
42,Maharashtra Gramin Bank,9.4,96.10%,0.26%,3.64%,0.17%
43,DBS Bank India Limited,9.38,98.63%,1.27%,0.10%,0.08%
44,Baroda UP Gramin Bank,9.1,89.40%,0.83%,9.77%,2.84%
45,ESAF Small Finance Bank Ltd.,8.66,99.40%,0.03%,0.57%,0.42%
46,Rajasthan Marudhara Gramin Bank,8.47,97.95%,0.81%,1.24%,0.18%
47,Saraswat Bank,6.9,99.62%,0.22%,0.17%,0.10%
48,Andhra Pragathi Grameena Bank,6.67,96.00%,0.55%,3.45%,0.09%
49,Fincare Small Finance Bank Ltd,6.23,94.85%,3.45%,1.70%,0.42%
50,Sarva Haryana Gramin Bank,6.22,99.13%,0.42%,0.45%,0.01%
