Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,2298.06,93.37%,4.69%,1.94%,8.38,95.68%
2,HDFC BANK LTD,797.45,96.04%,3.61%,0.35%,3.29,95.17%
3,Bank of Baroda,589.97,93.37%,6.35%,0.28%,1.98,98.94%
4,Union Bank of India,558.92,94.06%,4.40%,1.54%,3.01,66.96%
5,ICICI Bank,456.92,96.67%,3.02%,0.31%,3.06,63.74%
6,Punjab National Bank,429.32,94.35%,4.53%,1.12%,2.36,85.70%
7,Kotak Mahindra Bank,420.44,94.51%,4.95%,0.54%,3.72,89.86%
8,Axis Bank Ltd,419.45,95.75%,4.12%,0.13%,1.39,77.12%
9,Canara Bank,410.23,94.14%,5.33%,0.53%,4.63,80.40%
10,Paytm Payments Bank,403.18,96.01%,3.92%,0.07%,1.04,99.58%
11,Bank of India,298.42,95.51%,4.11%,0.38%,1.57,71.04%
12,Indian Bank,241.65,94.22%,5.42%,0.36%,1.2,78.64%
13,Airtel Payments Bank,203.03,84.88%,14.70%,0.43%,0.7,88.24%
14,India Post Payment Bank,170.07,68.79%,19.69%,11.52%,0.6,67.74%
15,Central Bank Of India,143.94,89.12%,8.58%,2.30%,2.05,59.35%
16,Federal Bank,140.58,95.05%,4.84%,0.11%,0.49,90.07%
17,Indian Overseas Bank,114.6,93.86%,5.10%,1.04%,0.8,76.12%
18,IDBI Bank Limited,108.52,93.92%,4.05%,2.03%,0.66,67.01%
19,UCO Bank,106.14,93.31%,5.79%,0.90%,0.51,74.33%
20,Bank of Maharashtra,101.34,92.88%,4.44%,2.68%,0.57,73.06%
21,INDUSIND BANK,86.38,93.87%,5.50%,0.63%,0.29,93.93%
22,Yes Bank Ltd,83.98,94.30%,5.18%,0.53%,0.32,0.00%
23,Fino Payments Bank Limited,77.3,81.79%,15.43%,2.78%,0.38,79.01%
24,Karnataka Bank,73.39,90.95%,6.77%,2.28%,0.58,36.72%
25,IDFC FIRST Bank,65.41,93.84%,5.29%,0.87%,0.38,42.68%
26,Karur Vysya Bank,45.52,93.32%,6.30%,0.38%,0.18,93.95%
27,Bandhan Bank,40.2,83.17%,11.83%,5.00%,0.19,17.93%
28,South Indian Bank,35.35,95.40%,4.38%,0.22%,0.19,97.12%
29,Jammu and Kashmir Bank,28.65,85.16%,6.51%,8.33%,0.16,53.22%
30,City Union Bank,26.6,92.01%,7.23%,0.75%,0.14,82.07%
31,Ujjivan Small Finance Bank,25.3,93.44%,6.05%,0.52%,0.15,55.64%
32,AU small Finance Bank,25.25,94.73%,5.16%,0.11%,0.09,0.03%
33,Equitas Bank,24.78,89.64%,9.84%,0.51%,0.11,94.37%
34,Punjab and Sind Bank,24.18,72.89%,12.14%,14.97%,0.1,74.71%
35,Tamilnad Mercantile Bank,22.61,93.27%,6.31%,0.42%,0.08,56.86%
36,DBS Bank India Limited,22.47,95.48%,4.10%,0.42%,0.02,97.00%
37,Standard Chartered,20.58,95.48%,2.64%,1.89%,0.1,96.28%
38,Citibank,18.93,96.10%,3.34%,0.56%,0.07,94.85%
39,Andhra Pradesh Grameena Vikas Bank,18.59,81.16%,12.74%,6.10%,0.21,14.73%
40,Pragathi Krishna Gramin Bank,17.59,89.02%,10.14%,0.84%,0.21,56.54%
41,Maharashtra Gramin Bank,17.58,79.86%,14.29%,5.85%,0.22,17.55%
42,Saraswat Bank,17.41,94.12%,4.83%,1.05%,0.07,79.27%
43,ESAF Small Finance Bank Ltd.,16,73.35%,25.56%,1.09%,0.04,96.76%
44,Kerala Gramin Bank,15.48,90.69%,8.76%,0.55%,0.06,85.07%
45,Rajasthan Marudhara Gramin Bank,15.25,77.19%,17.48%,5.33%,0.22,10.80%
46,Andhra Pragathi Grameena Bank,12.27,55.23%,32.09%,12.68%,0.35,6.53%
47,RBL,12.05,93.08%,6.36%,0.55%,0.06,72.51%
48,Sarva Haryana Gramin Bank,11.59,91.79%,7.34%,0.87%,0.11,5.09%
49,Baroda UP Gramin Bank,11.1,85.69%,10.93%,3.38%,0.05,73.44%
50,Fincare Small Finance Bank Ltd,9.21,84.10%,11.08%,4.82%,0.02,28.26%
