Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1793.55,91.26%,7.23%,1.51%,8.02,91.23
2,HDFC Bank Ltd,594.28,93.45%,5.47%,1.07%,3.44,94.1
3,Bank of Baroda,432.55,93.04%,6.82%,0.13%,1.68,98.78
4,Union Bank of India,406.68,91.35%,7.55%,1.10%,1.8,69.94
5,ICICI Bank,379.89,93.84%,4.53%,1.63%,1.75,84.2
6,Axis Bank Ltd,339.15,92.64%,6.57%,0.79%,0.89,57.96
7,Paytm Payments Bank,322.02,95.64%,4.34%,0.02%,0.82,98.68
8,Punjab National Bank,305.33,92.51%,5.88%,1.61%,2.37,84.24
9,Canara Bank,297.1,91.49%,7.64%,0.87%,1.47,84.29
10,Kotak Mahindra Bank,286.52,92.74%,5.64%,1.61%,1.17,95.29
11,Bank of India,230.16,94.17%,5.30%,0.53%,0.95,83.95
12,Indian Bank,170.2,92.60%,6.32%,1.09%,0.79,85.8
13,Airtel Payments Bank,118.87,85.62%,12.63%,1.75%,0.87,73.87
14,Central Bank Of India,113.76,81.96%,10.89%,7.15%,1.22,36.67
15,Federal Bank,109.19,93.62%,6.12%,0.25%,0.41,95.97
16,India Post Payment Bank,97.79,79.57%,18.50%,1.93%,0.43,65.32
17,Yes Bank Ltd,91.23,94.40%,5.46%,0.14%,0,0
18,IDBI Bank Limited,89.05,94.88%,4.39%,0.73%,0.47,86.25
19,Indian Overseas Bank,86.15,93.59%,5.74%,0.68%,0.44,95.05
20,Bank of Maharashtra,79.97,92.55%,5.41%,2.04%,0.33,62.1
21,UCO Bank,75.13,92.71%,6.14%,1.15%,0.36,71.55
22,IndusInd Bank,59.38,93.05%,6.75%,0.20%,0.26,96.89
23,Karnataka Bank,58.99,86.01%,7.37%,6.62%,0.2,17.73
24,IDFC FIRST Bank,47.41,92.31%,5.84%,1.85%,0.19,61.57
25,Fino Payments Bank,46.31,78.41%,15.59%,6.00%,0.58,66.29
26,Karur Vysya Bank,38.25,90.97%,7.46%,1.57%,0.2,78.9
27,Bandhan Bank,29.21,85.22%,10.95%,3.82%,0.28,80.36
28,South Indian Bank,27.96,93.53%,6.09%,0.38%,0.1,96.48
29,Equitas Small Finance Bank,21.68,81.32%,15.91%,2.78%,0.11,57.95
30,City Union Bank,20.53,91.55%,7.38%,1.06%,0.08,84.35
31,Ujjivan Small Finance Bank,17.83,89.89%,7.46%,2.65%,0.09,59.23
32,AU small Finance Bank,17.57,91.98%,6.33%,1.69%,0,0.07
33,Citibank,17.51,94.45%,4.32%,1.24%,0.07,92.68
34,Punjab and Sind Bank,17.27,88.81%,10.33%,0.86%,0.1,76.05
35,Tamilnad Mercantile Bank,17.12,88.00%,8.69%,3.31%,0.07,49.73
36,Standard Chartered,16.91,95.44%,3.04%,1.52%,0.08,74.17
37,DBS Bank Ltd,16.88,95.16%,4.68%,0.15%,0.06,95.79
38,Jammu and Kashmir Bank,16.21,88.51%,7.03%,4.46%,0.09,70.55
39,Pragathi Krishna Gramin Bank,14.98,85.97%,11.15%,2.88%,0.11,58.44
40,Andhra Pradesh Grameena Vikas Bank,14.67,72.50%,17.13%,10.37%,0.06,10.92
41,Maharashtra Gramin Bank,14.43,71.27%,17.87%,10.86%,0.05,15.1
42,Saraswat Bank,13.33,95.67%,3.85%,0.48%,0.05,91.43
43,ESAF Small Finance Bank Ltd.,10.54,83.48%,14.05%,2.48%,0.05,63.49
44,Rajasthan Marudhara Gramin Bank,10.48,79.27%,13.28%,7.44%,0.04,16.22
45,Kerala Gramin Bank,10.22,87.57%,11.15%,1.27%,0.04,69.83
46,Andhra Pragathi Grameena Bank,9.05,79.41%,15.55%,5.04%,0.14,81.74
47,Sarva Haryana Gramin Bank,8.89,86.62%,10.36%,3.02%,0.09,75.88
48,RBL Bank,8.63,89.57%,8.10%,2.33%,0.06,82.08
49,Baroda Rajasthan Kshetriya Gramin Bank,7.52,79.06%,7.83%,13.11%,0.06,24.06
50,Baroda UP Gramin Bank,7.19,74.76%,10.31%,14.94%,0.07,23.36
