Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,3073.18,95.23%,4.34%,0.43%,12.75,83.74%
2,HDFC BANK LTD,1040.77,96.50%,3.44%,0.06%,3.63,97.57%
3,Bank of Baroda,766.81,94.55%,4.94%,0.51%,3.3,87.02%
4,Union Bank of India,745.87,94.86%,4.38%,0.76%,5.38,59.66%
5,Punjab National Bank,607.36,95.25%,4.59%,0.17%,2.35,97.94%
6,Kotak Mahindra Bank,588.94,94.40%,5.11%,0.49%,2.47,68.44%
7,Canara Bank,563.67,94.26%,5.38%,0.37%,2.43,86.37%
8,Axis Bank Ltd.,562.18,96.43%,3.57%,0.01%,1.67,87.70%
9,ICICI Bank,556.61,96.39%,3.28%,0.33%,2.06,82.59%
10,Paytm Payments Bank,410.19,96.37%,3.63%,0.00%,0.79,97.55%
11,Bank of India,384.87,95.78%,4.03%,0.18%,1.47,86.96%
12,Indian Bank,338.76,95.28%,4.52%,0.20%,1.19,90.68%
13,Airtel Payments Bank,320.02,88.41%,8.15%,3.43%,3.34,0.00%
14,India Post Payment Bank,247.32,82.43%,11.85%,5.72%,2.43,32.30%
15,Federal Bank,184.64,95.56%,4.34%,0.10%,0.49,98.15%
16,Central Bank Of India,177.99,86.46%,11.95%,1.59%,1.98,82.45%
17,Indian Overseas Bank,160.68,93.86%,4.42%,1.72%,1.06,91.36%
18,UCO Bank,147.86,94.38%,5.06%,0.56%,0.7,68.51%
19,IDBI Bank Limited,139.37,94.99%,3.80%,1.21%,0.84,90.96%
20,Bank of Maharashtra,133.33,94.32%,4.68%,1.00%,0.57,75.93%
21,INDUSIND BANK,120.3,92.92%,6.12%,0.97%,0.76,88.04%
22,Fino Payments Bank Limited FIP,107.84,90.01%,8.54%,1.45%,0.49,71.76%
23,Yes Bank Ltd,97.36,95.39%,4.51%,0.10%,0.22,96.73%
24,Karnataka Bank,96.35,92.95%,5.48%,1.57%,0.54,52.69%
25,IDFC FIRST Bank,75.11,93.58%,6.38%,0.04%,0.25,90.45%
26,Karur Vysya Bank,58.61,93.73%,5.71%,0.56%,0.29,97.83%
27,South Indian Bank,48.8,96.11%,3.82%,0.08%,0.12,97.34%
28,Jammu and Kashmir Bank,48.75,69.74%,25.78%,4.48%,0.65,13.43%
29,Bandhan Bank,47.39,92.57%,6.71%,0.72%,0.2,98.39%
30,Ujjivan Small Finance Bank,36.67,93.65%,5.57%,0.78%,0.19,68.80%
31,AU small Finance Bank,36.18,94.68%,4.30%,1.02%,0.26,99.01%
32,City Union Bank,34.96,93.56%,6.10%,0.34%,0.11,94.31%
33,Tri O Tech Solutions Private Limited,34.24,100.00%,0.00%,0.00%,NA,NA
34,Punjab and Sind Bank,31.5,89.74%,6.25%,4.01%,0.57,24.84%
35,Tamilnad Mercantile Bank,30.97,94.34%,5.15%,0.51%,0.12,89.05%
36,Equitas Bank,28.13,93.09%,6.89%,0.02%,0.1,97.07%
37,Standard Chartered,27.13,95.82%,2.10%,2.08%,0.19,48.75%
38,Kerala Gramin Bank,25.29,93.63%,6.11%,0.27%,0.08,92%
39,DBS Bank India Limited,24.94,95.90%,4.08%,0.02%,0.08,78.43%
40,Andhra Pradesh Grameena Vikas Bank,24.85,88.05%,10.56%,1.39%,0.1,76.31%
41,Pragathi Krishna Gramin Bank,23.88,91.21%,8.32%,0.46%,0.11,89%
42,Maharashtra Gramin Bank,22.04,85.60%,10.75%,3.65%,0.09,67.31%
43,Saraswat Bank,21.7,94.44%,4.88%,0.68%,0.09,67.20%
44,Baroda UP Gramin Bank,20.77,51.12%,9.10%,39.78%,2.65,13%
45,Citibank,20.47,96.75%,3.06%,0.19%,0.07,98%
46,ESAF Small Finance Bank Ltd.,19.79,94.55%,5.13%,0.31%,0.08,93.77%
47,HDFC Bank Credit Card HCB,19.02,94.17%,5.61%,0.21%,0.16,97.49%
48,Rajasthan Marudhara Gramin Bank,18.75,87.95%,10.82%,1.23%,0.09,69.57%
49,Fincare Small Finance Bank Ltd,16.01,87.76%,11.47%,0.76%,0.07,92.37%
50,RBL Bank,14.97,80.11%,6.09%,13.80%,0.25,39.77%
