Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1242.45,90.66%,6.79%,2.55%,11.28,75.33%
2,HDFC Bank Ltd,400.52,94.62%,5.20%,0.19%,2.37,96.32%
3,Bank of Baroda,294.86,92.42%,6.89%,0.69%,1.83,96.92%
4,Union Bank of India,280.49,90.55%,8.32%,1.14%,3.52,47.42%
5,Paytm Payments Bank,263.34,95.18%,4.75%,0.07%,1.06,94.64%
6,ICICI Bank,259.62,94.42%,5.30%,0.28%,1.55,88.66%
7,Axis Bank Ltd,248.03,95.45%,4.18%,0.36%,1.68,67.14%
8,Punjab National Bank,207.63,92.73%,6.00%,1.27%,2.57,80.38%
9,Canara Bank,204.75,92.88%,6.72%,0.39%,1.31,86.79%
10,Kotak Mahindra Bank,187.06,92.90%,5.67%,1.44%,2.46,83.89%
11,Bank of India,166.31,92.90%,5.19%,1.91%,2.21,45.86%
12,Indian Bank,114.49,87.11%,6.59%,6.30%,3.55,34.70%
13,Central Bank Of India,91.62,91.53%,6.88%,1.59%,1.58,76.30%
14,Federal Bank,65,94.00%,5.48%,0.52%,0.41,86.47%
15,IDBI Bank Limited,64.77,95.29%,4.43%,0.29%,0.43,90.67%
16,Airtel Payments Bank,61.39,86.12%,12.37%,1.52%,0.64,72.15%
17,Bank of Maharashtra,58.24,94.00%,5.15%,0.86%,0.34,80.07%
18,Indian Overseas Bank,56.56,92.81%,5.94%,1.25%,0.82,72.03%
19,Yes Bank Ltd,53.95,94.68%,5.05%,0.28%,0.11,67.70%
20,UCO Bank,48.24,92.84%,6.30%,0.86%,0.51,64.59%
21,India Post Payment Bank,46.47,80.74%,16.11%,3.15%,1.1,28.20%
22,Karnataka Bank,42.93,90.88%,7.75%,1.37%,0.39,45.48%
23,IndusInd Bank,39.64,91.72%,7.72%,0.56%,0.33,88.87%
24,Karur Vysya Bank,27.14,90.89%,8.51%,0.60%,0.23,78.40%
25,IDFC FIRST Bank,26.84,92.84%,6.33%,0.83%,0.23,56.43%
26,Fino Payments Bank,23.81,81.19%,15.88%,2.93%,0.24,91.90%
27,South Indian Bank,19.25,91.98%,7.80%,0.22%,0.09,97.15%
28,Bandhan Bank,19.15,89.28%,9.68%,1.03%,0.17,14.19%
29,DBS Bank India Limited,16.64,93.77%,5.90%,0.33%,0.09,81.62%
30,City Union Bank,14.32,91.96%,6.58%,1.46%,0.18,91.15%
31,Equitas Small Finance Bank,13.88,83.73%,15.31%,0.96%,0.12,78.93%
32,Citibank,13.65,94.96%,4.88%,0.17%,0.04,99.05%
33,Standard Chartered,11.92,96.44%,3.07%,0.48%,0.07,81.27%
34,Ujjivan Small Finance Bank,11.81,88.80%,7.89%,3.31%,0.3,34.40%
35,Tamilnad Mercantile Bank,10.92,90.18%,8.92%,0.90%,0.14,42.89%
36,Andhra Pradesh Grameena Vikas Bank,10.71,78.91%,15.80%,5.29%,0.12,21.53%
37,AU small Finance Bank,10.51,93.36%,6.38%,0.26%,0.08,0.02%
38,Pragathi Krishna Gramin Bank,10.41,85.79%,10.82%,3.39%,0.17,50.63%
39,Maharashtra Gramin Bank,10.27,77.38%,14.62%,8.00%,0.16,19.94%
40,Jammu and Kashmir Bank,10.04,86.27%,9.24%,4.49%,0.21,28.76%
41,Saraswat Bank,9.79,94.30%,4.08%,1.62%,0.14,56.48%
42,Punjab and Sind Bank,9.72,83.04%,12.94%,4.02%,0.14,50.51%
43,Andhra Pragathi Grameena Bank,7.44,69.16%,26.39%,4.45%,0.21,9.48%
44,Rajasthan Marudhara Gramin Bank,7.25,80.18%,15.08%,4.74%,0.18,12.98%
45,Kerala Gramin Bank,7.02,87.02%,11.90%,1.09%,0.06,76.84%
46,ESAF Small Finance Bank Ltd.,6.49,87.36%,10.65%,1.99%,0.05,85.68%
47,RBL Bank,6.08,91.62%,7.83%,0.55%,0.04,88.13%
48,Baroda Rajasthan Kshetriya Gramin Bank,5.94,81.09%,8.47%,10.44%,0.28,12.84%
49,Sarva Haryana Gramin Bank,5.82,85.73%,11.06%,3.20%,0.1,73.42%
50,Karnataka Vikas Grameena Bank,5.15,82.04%,13.75%,4.21%,0.11,13.28%
