Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1291.88,91.70%,7.10%,1.21%,8.17,95.66%
2,HDFC Bank Ltd,406.61,94.01%,5.71%,0.29%,2.52,91.30%
3,Bank of Baroda,299.12,92.13%,7.38%,0.49%,1.55,98.88%
4,Union Bank of India,287.21,90.21%,8.82%,0.97%,3.17,46.80%
5,ICICI Bank,274,95.14%,4.69%,0.17%,1.22,69.88%
6,Paytm Payments Bank,262.28,94.95%,4.97%,0.08%,1.06,94.04%
7,Axis Bank Ltd,243.68,95.25%,4.49%,0.25%,0.96,97.79%
8,Punjab National Bank,213.48,92.49%,6.90%,0.61%,1.67,90.03%
9,Canara Bank,206.3,92.47%,7.05%,0.47%,1.26,92.99%
10,Kotak Mahindra Bank,186.34,94.30%,5.42%,0.29%,0.93,86.27%
11,Bank of India,171.56,93.02%,5.38%,1.60%,1.82,50.40%
12,Indian Bank,115.76,88.38%,6.29%,5.33%,4.23,40.42%
13,Central Bank Of India,95.53,90.13%,6.97%,2.90%,2.34,63.32%
14,IDBI Bank Limited,66.58,94.57%,4.69%,0.75%,0.57,64.13%
15,Federal Bank,62.84,93.07%,5.39%,1.55%,0.55,71.18%
16,Airtel Payments Bank,62.35,86.08%,11.94%,1.98%,0.59,72.95%
17,Bank of Maharashtra,59.9,93.98%,5.36%,0.66%,0.33,83.88%
18,Indian Overseas Bank,56.35,93.65%,6.03%,0.32%,0.36,85.81%
19,Yes Bank Ltd,49.25,93.93%,5.92%,0.15%,0.11,95.73%
20,UCO Bank,48.84,91.28%,7.47%,1.25%,0.56,52.87%
21,India Post Payment Bank,46.7,76.03%,17.56%,6.42%,2.33,15.73%
22,Karnataka Bank,43.45,88.64%,8.92%,2.44%,0.5,32.26%
23,IndusInd Bank,39.77,90.66%,8.82%,0.52%,0.27,92.96%
24,IDFC First Bank,27.57,92.69%,6.07%,1.24%,0.36,32.94%
25,Karur Vysya Bank,27.44,90.87%,8.20%,0.93%,0.25,66.96%
26,Fino Payments Bank,23.19,78.89%,18.67%,2.44%,0.21,99.04%
27,Bandhan Bank,19.49,87.73%,10.99%,1.28%,0.17,14.62%
28,South Indian Bank,19.31,92.59%,7.17%,0.24%,0.08,95.71%
29,DBS Bank India Limited,17.27,92.94%,5.77%,1.29%,0.14,53.46%
30,City Union Bank,14.54,89.16%,6.49%,4.35%,0.32,66.19%
31,Citibank,14.16,94.68%,4.59%,0.72%,0.07,99.50%
32,Equitas Small Finance Bank,13.53,83.50%,15.72%,0.78%,0.1,82.94%
33,Andhra Pradesh Grameena Vikas Bank,12.37,67.73%,17.88%,14.39%,0.59,5.74%
34,Standard Chartered,12.23,94.56%,3.44%,2.00%,0.11,50.59%
35,Ujjivan Small Finance Bank,11.96,89.62%,7.81%,2.57%,0.22,36.94%
36,Tamilnad Mercantile Bank,10.67,90.33%,8.76%,0.91%,0.11,38.94%
37,Maharashtra Gramin Bank,10.52,82.13%,15.25%,2.62%,0.19,15.73%
38,AU small Finance Bank,10.33,92.78%,6.36%,0.86%,0.11,0.03%
39,Saraswat Bank,10.21,94.69%,4.89%,0.43%,0.06,74.07%
40,Pragathi Krishna Gramin Bank,10.21,87.48%,11.41%,1.11%,0.08,64.09%
41,Jammu and Kashmir Bank,9.8,89.15%,9.41%,1.43%,0.07,79.09%
42,Punjab and Sind Bank,9.6,88.55%,11.08%,0.37%,0.07,89.90%
43,Andhra Pragathi Grameena Bank,8.63,61.73%,33.23%,5.04%,0.26,5.75%
44,Rajasthan Marudhara Gramin Bank,7.57,75.62%,14.19%,10.19%,0.32,7.37%
45,Kerala Gramin Bank,7.18,87.13%,12.14%,0.73%,0.04,87.28%
46,ESAF Small Finance Bank Ltd.,6.81,84.30%,11.88%,3.81%,0.05,75.80%
47,RBL Bank,6.05,91.98%,7.87%,0.15%,0.03,92.58%
48,Baroda Rajasthan Kshetriya Gramin Bank,5.75,87.79%,9.44%,2.77%,0.09,33.87%
49,Sarva Haryana Gramin Bank,5.65,88.63%,8.19%,3.19%,0.09,79.14%
50,Telangana Grameena bank,5.26,78.85%,15.20%,5.96%,0.16,7.75%
