Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2574.67,95.55%,4.27%,0.17%,8.675316,99.41%
2,HDFC BANK LTD,879.56,96.30%,3.59%,0.11%,2.233976,100.00%
3,Bank of Baroda,645.14,94.64%,5.21%,0.15%,2.143761,99.73%
4,Union Bank of India,616.05,95.63%,4.35%,0.01%,1.726157,100.00%
5,Punjab National Bank,480.73,95.29%,4.47%,0.24%,1.605735,100.00%
6,ICICI Bank,481.53,96.70%,3.27%,0.03%,1.303102,92.77%
7,Axis Bank Ltd.,462.2,96.34%,3.65%,0.01%,1.059541,100.00%
8,Kotak Mahindra Bank,460.81,94.83%,5.13%,0.04%,1.303627,100.00%
9,Canara Bank,454.62,94.32%,4.97%,0.71%,2.063598,99.39%
10,Paytm Payments Bank,433.01,96.43%,3.55%,0.02%,0.623114,100.00%
11,Bank of India,322.25,95.72%,4.14%,0.13%,0.868259,100.00%
12,Indian Bank,276.75,93.27%,4.86%,1.86%,1.220299,100.00%
13,Airtel Payments Bank,224.92,90.33%,8.55%,1.12%,0.222457,99.96%
14,India Post Payment Bank,175.71,84.45%,11.40%,4.15%,0.788979,85.56%
15,Federal Bank,154.12,95.07%,4.68%,0.25%,0.402231,100.00%
16,Central Bank Of India,154.1,89.55%,8.65%,1.80%,1.253073,100.00%
17,Indian Overseas Bank,132.05,92.31%,4.50%,3.19%,0.977749,100.00%
18,UCO Bank,120.45,94.51%,4.88%,0.61%,0.397799,100.00%
19,IDBI Bank Limited,118.46,95.57%,3.78%,0.65%,0.446276,99.98%
20,Bank of Maharashtra,111.27,91.99%,6.38%,1.63%,0.388401,100.00%
21,INDUSIND BANK,97.54,94.25%,5.44%,0.31%,0.382963,99.16%
22,Fino Payments Bank Limited FIP,90.8,79.40%,15.40%,5.21%,0.526504,64.03%
23,Yes Bank Ltd,85.79,95.53%,4.30%,0.17%,0.161788,100.00%
24,Karnataka Bank,80.33,92.53%,5.69%,1.77%,0.198716,100.00%
25,Karur Vysya Bank,50.34,92.87%,6.11%,1.02%,0.166862,100.00%
26,Bandhan Bank,41.14,90.79%,9.16%,0.05%,0.144404,100.00%
27,South Indian Bank,40.23,95.41%,4.49%,0.11%,0.076772,99.27%
28,IDFC FIRST Bank,60.28,93.93%,5.63%,0.43%,0.129183,99.79%
29,Jammu and Kashmir Bank,31.04,91.74%,6.44%,1.82%,0.035887,99.71%
30,City Union Bank,29.8,93.47%,6.29%,0.24%,0.084771,100.00%
31,Ujjivan Small Finance Bank,29.03,93.93%,5.73%,0.34%,0.089636,100.00%
32,AU small Finance Bank,28.65,95.49%,4.39%,0.12%,0.098094,99.97%
33,Tamilnad Mercantile Bank,25.91,94.17%,5.79%,0.04%,0.052471,100.00%
34,Equitas Bank,25.64,90.10%,8.75%,1.14%,0.092811,98.98%
35,Standard Chartered,25.48,96.92%,2.41%,0.68%,0.074502,100.00%
36,Punjab and Sind Bank,25.31,89.04%,8.36%,2.60%,0.127147,100.00%
37,DBS Bank India Limited,23.19,95.78%,3.98%,0.25%,0.049484,100.00%
38,Andhra Pradesh Grameena Vikas Bank,20.75,84.92%,12.33%,2.75%,0.051766,100.00%
39,Pragathi Krishna Gramin Bank,20.14,85.92%,10.66%,3.42%,0.052157,100.00%
40,Citibank,19.1,95.95%,3.31%,0.75%,0.112173,100.00%
41,Maharashtra Gramin Bank,19.04,79.69%,12.11%,8.20%,0.066891,99.96%
42,Kerala Gramin Bank,18.76,91.27%,8.30%,0.43%,0.051573,99.70%
43,Saraswat Bank,17.71,95.29%,3.55%,1.15%,0.056245,100.00%
44,Tri O Tech Solutions Private Limited,16.79,100.00%,0.00%,0.00%,0.048366,100.00%
45,Rajasthan Marudhara Gramin Bank,16.19,83.07%,12.32%,4.61%,0,NA
46,ESAF Small Finance Bank Ltd.,15.21,93.39%,5.61%,0.99%,0.053937,100.00%
47,Baroda UP Gramin Bank,13.14,83.94%,8.79%,7.27%,0.038648,100.00%
48,Sarva Haryana Gramin Bank,12.94,91.54%,6.82%,1.64%,0.09829,99.90%
49,RBL Bank,12.63,92.83%,6.14%,1.03%,0.045407,99.95%
50,Andhra Pragathi Grameena Bank,12.2,75.58%,15.17%,9.25%,0.065589,97.24%
