Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1482.61,91.98%,6.87%,1.15%,7.41,99.10%
2,HDFC Bank Ltd,476.94,94.36%,5.38%,0.26%,2.91,85.80%
3,Bank of Baroda,349.91,92.74%,6.90%,0.36%,1.97,99.54%
4,Union Bank of India,325.96,90.71%,8.07%,1.22%,2.65,55.71%
5,Paytm Payments Bank,313.91,95.35%,4.62%,0.03%,0.92,98.41%
6,ICICI Bank,306.56,94.19%,5.26%,0.55%,1.53,83.46%
7,Axis Bank Ltd,293.88,95.37%,4.49%,0.15%,1.31,82.78%
8,Punjab National Bank,248.39,92.87%,6.11%,1.02%,2.17,81.95%
9,Canara Bank,248.09,90.70%,7.73%,1.57%,2.88,61.67%
10,Kotak Mahindra Bank,224.76,92.82%,5.65%,1.53%,2.9,89.21%
11,Bank of India,195.89,94.45%,5.05%,0.50%,1.35,68.83%
12,Indian Bank,131.47,89.49%,7.59%,2.92%,2.65,55.69%
13,Central Bank Of India,107.95,91.08%,6.67%,2.26%,2.12,66.80%
14,Federal Bank,79.55,94.21%,5.69%,0.10%,0.32,97.47%
15,IDBI Bank Limited,76.63,94.61%,4.40%,0.98%,0.54,77.56%
16,Airtel Payments Bank,75.44,86.37%,12.26%,1.37%,0.62,72.44%
17,Bank of Maharashtra,68.87,94.09%,5.15%,0.75%,0.4,75.53%
18,Indian Overseas Bank,66.95,93.10%,5.68%,1.21%,0.53,76.53%
19,Yes Bank Ltd,61.53,93.58%,6.24%,0.18%,0.12,0.00%
20,India Post Payment Bank,59.04,83.22%,16.36%,0.42%,0.37,82.54%
21,UCO Bank,57.85,91.69%,6.22%,2.09%,0.69,49.66%
22,Karnataka Bank,50.49,92.54%,6.60%,0.85%,0.38,47.43%
23,IndusInd Bank,47,90.32%,8.27%,1.41%,0.61,78.85%
24,IDFC FIRST Bank,32.19,91.91%,7.09%,1.00%,0.36,46.68%
25,Karur Vysya Bank,31.98,91.45%,7.78%,0.77%,0.25,73.24%
26,Fino Payments Bank,30.13,79.79%,15.01%,5.20%,0.34,78.20%
27,Bandhan Bank,23.4,84.46%,12.18%,3.35%,0.3,11.11%
28,South Indian Bank,22.87,92.48%,7.11%,0.40%,0.11,92.24%
29,DBS Bank Ltd,19.26,92.48%,5.50%,2.02%,0.09,91.68%
30,City Union Bank,17.34,87.64%,10.06%,2.29%,0.26,71.46%
31,Equitas Small Finance Bank,16.44,81.51%,14.78%,3.71%,0.14,66.62%
32,Citibank,16.1,93.59%,6.12%,0.29%,0.07,86.47%
33,Standard Chartered,14.26,96.67%,3.01%,0.32%,0.08,92.94%
34,Ujjivan Small Finance Bank,13.88,91.72%,7.34%,0.94%,0.15,47.47%
35,Andhra Pradesh Grameena Vikas Bank,13.18,76.38%,16.48%,7.14%,0.47,4.59%
36,Tamilnad Mercantile Bank,13.05,91.31%,8.07%,0.61%,0.1,44.92%
37,AU small Finance Bank,12.76,93.51%,6.21%,0.28%,0.09,0.01%
38,Pragathi Krishna Gramin Bank,12.54,85.69%,11.21%,3.09%,0.15,54.31%
39,Jammu and Kashmir Bank,12.45,84.56%,10.46%,4.97%,0.23,34.54%
40,Punjab and Sind Bank,12.35,88.58%,10.90%,0.52%,0.1,76.05%
41,Maharashtra Gramin Bank,12.17,81.97%,17.21%,0.82%,0.1,26.64%
42,Saraswat Bank,11.41,95.75%,3.88%,0.37%,0.07,88.57%
43,Rajasthan Marudhara Gramin Bank,9.68,64.81%,18.30%,16.90%,0.45,5.14%
44,Andhra Pragathi Grameena Bank,8.97,67.16%,25.09%,7.75%,0.44,3.86%
45,Kerala Gramin Bank,8.23,87.74%,11.98%,0.28%,0.04,91.43%
46,ESAF Small Finance Bank Ltd.,7.87,86.68%,11.84%,1.48%,0.05,85.74%
47,RBL Bank,7.14,86.44%,13.16%,0.41%,0.04,83.96%
48,Sarva Haryana Gramin Bank,7,87.10%,8.03%,4.87%,0.11,37.98%
49,Baroda Rajasthan Kshetriya Gramin Bank,6.78,74.10%,11.12%,14.79%,0.27,10.58%
50,Karnataka Vikas Grameena Bank,6.36,77.67%,16.00%,6.33%,0.25,6.83%
