Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2427.45,95.07%,4.50%,0.43%,8.41,96.08%
2,HDFC BANK LTD,834.13,96.07%,3.75%,0.18%,2.75,97.68%
3,Bank of Baroda,615.53,93.91%,5.52%,0.58%,2.08,93.52%
4,Union Bank of India,587.3,95.23%,4.27%,0.50%,2.06,72.49%
5,ICICI Bank,471.2,96.05%,3.03%,0.92%,2.23,89.78%
6,Punjab National Bank,455.13,94.58%,4.73%,0.69%,1.87,89.28%
7,Kotak Mahindra Bank,445.82,93.33%,4.94%,1.72%,1.07,83.34%
8,Canara Bank,433.19,93.94%,5.18%,0.87%,1.72,79.21%
9,Axis Bank Ltd.,427.56,95.98%,4.01%,0.02%,1.01,97.95%
10,Paytm Payments Bank,425.23,96.31%,3.67%,0.02%,0.66,96.72%
11,Bank of India,308.34,95.33%,4.15%,0.52%,0.91,84.80%
12,Indian Bank,257.31,94.56%,4.74%,0.70%,0.79,89.91%
13,Airtel Payments Bank,210.36,87.00%,11.94%,1.06%,0.64,63.63%
14,India Post Payment Bank,167.39,80.61%,15.66%,3.73%,0.63,68.11%
15,Central Bank Of India,150.03,90.06%,8.41%,1.53%,1.22,80.86%
16,Federal Bank,149.25,95.22%,4.71%,0.08%,0.37,97.23%
17,Indian Overseas Bank,121.85,94.43%,5.18%,0.39%,0.44,95.94%
18,IDBI Bank Limited,114.16,95.20%,3.90%,0.90%,0.47,84.51%
19,UCO Bank,112.87,93.87%,5.29%,0.84%,0.41,66.09%
20,Bank of Maharashtra,104.95,92.49%,5.04%,2.47%,0.36,50.66%
21,Yes Bank Ltd,94.89,96.33%,3.56%,0.11%,0.15,96.13%
22,INDUSIND BANK,91.3,93.76%,5.70%,0.54%,0.29,91.48%
23,Fino Payments Bank Limited FIP,81.88,82.85%,14.95%,2.21%,0.25,82.81%
24,Karnataka Bank,74.77,91.31%,6.20%,2.50%,0.2,80.02%
25,IDFC FIRST Bank,62.61,93.74%,5.39%,0.87%,0.18,62.55%
26,Karur Vysya Bank,47.89,92.00%,7.39%,0.61%,0.12,86.59%
27,Bandhan Bank,41.45,85.45%,11.64%,2.91%,0.26,55.71%
28,South Indian Bank,38.15,96.02%,3.92%,0.06%,0.08,96.85%
29,Jammu and Kashmir Bank,31.55,90.22%,6.87%,2.90%,0.15,52.76%
30,City Union Bank,27.91,92.84%,6.47%,0.69%,0.09,90.82%
31,AU small Finance Bank,26.71,94.11%,4.78%,1.11%,0.17,94.02%
32,Ujjivan Small Finance Bank,26.7,93.39%,5.96%,0.65%,0.08,64.57%
33,Equitas Bank,25.3,90.37%,9.35%,0.28%,0.07,96.62%
34,Tamilnad Mercantile Bank,23.92,93.46%,6.03%,0.51%,0.06,89.98%
35,Punjab and Sind Bank,23.51,84.29%,8.50%,7.21%,0.13,27.01%
36,DBS Bank India Limited,22.9,95.55%,4.03%,0.42%,0.05,72.77%
37,Standard Chartered,20.89,96.56%,2.46%,0.98%,0.07,83.45%
38,Andhra Pradesh Grameena Vikas Bank,19.66,81.99%,12.19%,5.82%,0.13,63.39%
39,Citibank,18.79,96.24%,3.33%,0.44%,0.06,97.76%
40,Maharashtra Gramin Bank,18.29,79.80%,11.39%,8.80%,0.05,28.67%
41,Saraswat Bank,17.68,95.93%,3.03%,1.04%,0.04,42.17%
42,Pragathi Krishna Gramin Bank,17.5,89.78%,9.71%,0.51%,0.06,95.23%
43,Kerala Gramin Bank,17.19,90.83%,8.56%,0.61%,0.07,94.55%
44,ESAF Small Finance Bank Ltd.,16.84,74.48%,24.33%,1.19%,0.04,70.94%
45,Rajasthan Marudhara Gramin Bank,15.87,76.51%,15.43%,8.06%,0.04,32.11%
46,Sarva Haryana Gramin Bank,12.82,87.28%,7.17%,5.55%,0.04,26.62%
47,Baroda UP Gramin Bank,12.32,78.88%,9.72%,11.40%,0.05,19.50%
48,RBL,12.1,92.31%,6.69%,0.99%,0.04,77.09%
49,Andhra Pragathi Grameena Bank,10.26,73.67%,16.48%,9.86%,0.02,17.82%
50,Fincare Small Finance Bank Ltd,9.89,85.75%,10.77%,3.48%,0.04,40.65%
