Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2861.65,94.81%,4.47%,0.72%,10.71,87.00%
2,HDFC BANK LTD,974.06,96.39%,3.57%,0.04%,2.66,98.00%
3,Bank of Baroda,721.89,95.07%,4.82%,0.11%,2.24,97.00%
4,Union Bank of India,700.46,95.55%,4.03%,0.42%,3.02,78.00%
5,Punjab National Bank,564.71,95.09%,4.47%,0.44%,1.76,98.00%
6,Kotak Mahindra Bank,543.5,94.87%,5.05%,0.08%,1.34,93.00%
7,Canara Bank,527.96,94.11%,5.22%,0.66%,2.23,76.00%
8,ICICI Bank,526.2,96.32%,3.44%,0.23%,1.45,91.00%
9,Axis Bank Ltd.,512.13,96.38%,3.57%,0.05%,1.25,93.00%
10,Paytm Payments Bank,412,96.42%,3.57%,0.01%,0.62,98.00%
11,Bank of India,366.39,92.32%,3.72%,3.96%,3.21,43.00%
12,Indian Bank,317.62,95.18%,4.64%,0.18%,0.92,90.00%
13,Airtel Payments Bank,286.95,91.14%,8.22%,0.64%,1.02,0.00%
14,India Post Payment Bank,226.01,84.48%,13.19%,2.33%,1.17,53.00%
15,Federal Bank,172.99,95.22%,4.21%,0.58%,0.52,83.00%
16,Central Bank Of India,165.88,89.27%,8.84%,1.88%,1.82,85.00%
17,Indian Overseas Bank,151.39,94.62%,4.41%,0.98%,0.61,94.00%
18,UCO Bank,139.38,94.08%,5.04%,0.87%,0.58,71.00%
19,IDBI Bank Limited,132,93.91%,3.83%,2.26%,1.25,83.00%
20,Bank of Maharashtra,122.25,94.84%,4.75%,0.41%,0.38,88.00%
21,INDUSIND BANK,112,93.43%,5.86%,0.71%,0.4,94.00%
22,Fino Payments Bank Limited FIP,100.6,89.84%,8.33%,1.83%,0.49,57.00%
23,Karnataka Bank,89.24,94.13%,5.33%,0.55%,0.22,88.00%
24,Yes Bank Ltd,88.32,95.78%,4.16%,0.06%,0.18,94.00%
25,IDFC FIRST Bank,69.99,93.90%,5.87%,0.22%,0.27,66.00%
26,Karur Vysya Bank,55.13,93.81%,5.54%,0.65%,0.17,89.00%
27,South Indian Bank,45.79,95.52%,4.11%,0.37%,0.09,93.00%
28,Bandhan Bank,43.79,91.71%,6.91%,1.38%,0.16,98.00%
29,Jammu and Kashmir Bank,43.2,91.56%,5.50%,2.94%,0.41,12.00%
30,Ujjivan Small Finance Bank,33.77,93.71%,5.43%,0.86%,0.14,60.00%
31,City Union Bank,33.22,93.96%,5.80%,0.25%,0.09,99.00%
32,AU small Finance Bank,33.01,95.58%,4.18%,0.25%,0.13,98.00%
33,Tamilnad Mercantile Bank,29.1,94.60%,5.11%,0.29%,0.08,79.00%
34,Punjab and Sind Bank,28.9,93.62%,5.83%,0.55%,0.18,67.00%
35,Tri O Tech Solutions Private Limited,28.43,100.00%,0.00%,0.00%,NA,NA
36,Equitas Bank,26.5,92.55%,7.39%,0.06%,0.08,98.00%
37,Standard Chartered,26.22,97.42%,2.23%,0.35%,0.07,75.00%
38,Kerala Gramin Bank,23.92,90.19%,7.84%,1.97%,0.19,54%
39,DBS Bank India Limited,23.67,95.97%,3.98%,0.04%,0.06,83.00%
40,Andhra Pradesh Grameena Vikas Bank,23.04,88.90%,10.34%,0.76%,0.07,77.00%
41,Pragathi Krishna Gramin Bank,21.81,92.21%,6.66%,1.13%,0.12,66%
42,Saraswat Bank,20.4,96.37%,3.34%,0.29%,0.07,87.00%
43,Maharashtra Gramin Bank,19.82,86.91%,10.90%,2.19%,0.07,71.00%
44,Citibank,18.89,95.62%,3.26%,1.12%,0.07,97%
45,Baroda UP Gramin Bank,18.78,69.42%,9.05%,21.53%,1.21,13%
46,ESAF Small Finance Bank Ltd.,18.18,94.76%,4.90%,0.34%,0.05,97.00%
47,Rajasthan Marudhara Gramin Bank,16.9,89.38%,10.18%,0.45%,0.06,82.00%
48,RBL Bank,14.75,84.95%,7.10%,7.95%,0.23,44.00%
49,Fincare Small Finance Bank Ltd,14.66,87.00%,11.11%,1.89%,0.09,60.00%
50,Sarva Haryana Gramin Bank,14.28,89.89%,6.71%,3.40%,0.22,20.00%
