Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,2730.35,95.55%,4.19%,0.26%,9.45,96.00%
2,HDFC BANK LTD,912.87,95.78%,3.66%,0.56%,3.55,81.00%
3,Bank of Baroda,681.1,94.47%,5.18%,0.35%,2.13,92.00%
4,Union Bank of India,657.95,94.38%,4.46%,1.16%,3.26,59.00%
5,Punjab National Bank,526.67,95.01%,4.75%,0.24%,1.83,95.00%
6,Kotak Mahindra Bank,501.84,94.49%,5.18%,0.33%,1.17,91.00%
7,ICICI Bank,484.28,96.33%,3.27%,0.40%,1.43,80.00%
8,Canara Bank,486.91,94.38%,5.24%,0.38%,1.74,81.00%
9,Axis Bank Ltd.,486.35,96.27%,3.58%,0.15%,1.1,90.00%
10,Paytm Payments Bank,426.45,96.30%,3.67%,0.03%,0.57,94.00%
11,Bank of India,340.89,95.80%,3.95%,0.25%,1.06,81.00%
12,Indian Bank,294.13,91.03%,4.47%,4.50%,3.3,65.00%
13,Airtel Payments Bank,258.59,91.11%,8.69%,0.20%,0.8,0.00%
14,India Post Payment Bank,203.54,82.83%,14.35%,2.82%,0.92,72.00%
15,Federal Bank,162,95.55%,4.41%,0.04%,0.34,97.00%
16,Central Bank of India,159.29,88.16%,8.99%,2.85%,2.1,68.00%
17,Indian Overseas Bank,138.04,93.73%,4.48%,1.79%,0.69,81.00%
18,UCO Bank,135.33,90.15%,5.19%,4.65%,2.02,46.00%
19,IDBI Bank Limited,123.74,95.55%,3.73%,0.71%,0.6,87.00%
20,Bank of Maharashtra,114.21,93.20%,4.99%,1.81%,0.6,59.00%
21,INDUSIND BANK,103.02,92.10%,6.11%,1.79%,0.53,64.00%
22,Fino Payments Bank Limited FIP,96.47,84.96%,13.10%,1.94%,0.39,68.00%
23,Yes Bank Ltd,86.02,95.48%,4.30%,0.22%,0.16,91.00%
24,Karnataka Bank,83.65,93.99%,5.47%,0.54%,0.17,91.00%
25,IDFC FIRST Bank,63.89,94.98%,4.84%,0.18%,0.21,72.00%
26,Karur Vysya Bank,52.38,93.73%,5.94%,0.33%,0.17,94.00%
27,Bandhan Bank,43.57,94.86%,4.72%,0.42%,0.21,70.00%
28,South Indian Bank,43.14,95.22%,4.17%,0.62%,0.17,84.00%
29,Jammu and Kashmir Bank,37.82,91.00%,5.72%,3.28%,0.42,2.00%
30,City Union Bank,31.47,93.35%,6.24%,0.41%,0.1,92.00%
31,Ujjivan Small Finance Bank,31.2,93.70%,5.70%,0.60%,0.1,77.00%
32,AU small Finance Bank,30.84,95.20%,4.54%,0.25%,0.11,91.00%
33,Tamilnad Mercantile Bank,27.64,93.01%,5.04%,1.95%,0.12,51.00%
34,Punjab and Sind Bank,27.65,91.97%,7.62%,0.41%,0.13,89.00%
35,Equitas Bank,25.82,91.63%,8.28%,0.09%,0.07,98.00%
36,Standard Chartered,23.69,95.03%,2.64%,2.33%,0.15,59.00%
37,DBS Bank India Limited,23.25,95.86%,4.02%,0.12%,0.05,81.00%
38,Tri O Tech Solutions Private Limited,22.88,100.00%,0.00%,0.00%,0,NA
39,Andhra Pradesh Grameena Vikas Bank,21.39,86.26%,11.63%,2.11%,0.13,42.00%
40,Kerala Gramin Bank,20.53,90.84%,8.06%,1.10%,0.1,61.00%
41,Pragathi Krishna Gramin Bank,19.97,90.54%,7.96%,1.50%,0.15,39%
42,Maharashtra Gramin Bank,19.6,83.93%,12.09%,3.98%,0.08,54.00%
43,Citibank,18.87,96.48%,3.09%,0.43%,0.06,97.00%
44,Saraswat Bank,18.79,96.71%,3.06%,0.23%,0.05,90.00%
45,Rajasthan Marudhara Gramin Bank,16.66,86.17%,11.82%,2.01%,0.08,56%
46,ESAF Small Finance Bank Ltd.,16.56,93.67%,5.28%,1.05%,0.06,68.00%
47,Baroda UP Gramin Bank,16.05,75.61%,11.53%,12.86%,0.53,22.00%
48,Fincare Small Finance Bank Ltd,13.91,85.87%,11.79%,2.34%,0.11,51.00%
49,RBL Bank,13.31,88.49%,6.83%,4.68%,0.17,50.00%
50,Sarva Haryana Gramin Bank,13.27,92.84%,6.80%,0.36%,0.04,95.00%
