Sr.No.,UPI Beneficiary Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,2022,4,1265.52,99.73%,0.27%,0.01%,0.00%,
2,YES Bank,2022,4,745.77,99.78%,0.05%,0.08%,0.09%,
3,State Bank of India,2022,4,741.1,98.05%,0.30%,1.22%,0.42%,
4,Axis Bank,2022,4,408.62,98.28%,1.25%,0.06%,0.41%,
5,ICICI Bank,2022,4,406.5,98.68%,0.42%,0.56%,0.34%,
6,HDFC Bank,2022,4,278.39,98.65%,0.80%,0.39%,0.16%,
7,Bank of Baroda,2022,4,194.47,99.45%,0.34%,0.10%,0.11%,
8,Union Bank of India,2022,4,187.25,99.53%,0.29%,0.07%,0.12%,
9,Canara Bank,2022,4,142.04,98.15%,0.54%,0.54%,0.77%,
10,Punjab National Bank,2022,4,137.97,98.99%,0.53%,0.36%,0.12%,
11,Kotak Mahindra Bank,2022,4,133.77,97.71%,0.60%,0.72%,0.97%,
12,Bank of India,2022,4,113.71,99.37%,0.30%,0.15%,0.18%,
13,Federal Bank,2022,4,110.35,99.74%,0.14%,0.08%,0.03%,
14,Indian Bank,2022,4,73.01,97.37%,1.53%,0.50%,0.60%,
15,Central Bank of India,2022,4,59.29,98.09%,0.58%,0.61%,0.72%,
16,Airtel Payments Bank,2022,4,58.17,98.96%,0.52%,0.34%,0.18%,
17,IndusInd Bank,2022,4,56.25,98.93%,0.47%,0.11%,0.49%,
18,IDBI Bank,2022,4,44.19,98.78%,0.73%,0.32%,0.18%,
19,Indian Overseas Bank,2022,4,40.13,99.03%,0.36%,0.20%,0.40%,
20,Bank of Maharashtra,2022,4,35.08,99.00%,0.26%,0.42%,0.32%,
21,UCO Bank,2022,4,34.95,99.07%,0.40%,0.24%,0.28%,
22,India Post Payment Bank,2022,4,31.26,98.40%,0.59%,0.82%,0.20%,
23,Karnataka Bank,2022,4,28.15,97.52%,0.79%,1.11%,0.58%,
24,Karur Vysya Bank,2022,4,22.17,99.57%,0.36%,0.03%,0.03%,
25,IDFC First Bank,2022,4,21.27,98.31%,0.88%,0.50%,0.32%,
26,South Indian Bank,2022,4,16.25,99.44%,0.32%,0.20%,0.03%,
27,Bandhan Bank,2022,4,16.07,95.84%,0.55%,3.45%,0.15%,
28,Fino Payments Bank,2022,4,12.77,94.24%,2.54%,3.08%,0.13%,
29,CITI Bank,2022,4,12.75,99.35%,0.54%,0.11%,0.01%,
30,AU Small Finance Bank,2022,4,12.43,97.65%,2.23%,0.04%,0.09%,
31,City Union Bank,2022,4,10.72,98.85%,0.79%,0.31%,0.04%,
32,DBS Bank,2022,4,9.27,98.46%,1.25%,0.19%,0.09%,
33,Tamilnad Mercantile Bank,2022,4,8.99,99.33%,0.37%,0.21%,0.09%,
34,Ujjivan Small Finance Bank,2022,4,8.75,97.24%,0.32%,2.08%,0.35%,
35,Equitas Bank,2022,4,8.53,98.69%,0.98%,0.30%,0.03%,
