UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
State Bank of India,2022,4,1540.38,90.30%,6.87%,2.83%,8.38,95.68%
HDFC Bank,2022,4,496.36,94.08%,5.31%,0.61%,3.29,95.17%
Bank of Baroda,2022,4,360.74,93.18%,6.51%,0.31%,1.98,98.94%
Union Bank of India,2022,4,346.76,91.35%,8.09%,0.57%,3.01,66.96%
ICICI Bank,2022,4,325.45,94.17%,4.63%,1.20%,3.06,63.74%
Paytm Payments Bank,2022,4,316.18,95.53%,4.45%,0.02%,1.04,99.58%
Axis Bank,2022,4,303.67,94.00%,5.25%,0.76%,1.39,77.11%
Punjab National Bank,2022,4,261.09,93.09%,6.05%,0.86%,2.36,85.70%
Canara Bank,2022,4,255.29,89.84%,8.12%,2.04%,4.63,80.40%
Kotak Mahindra Bank,2022,4,232.63,91.70%,5.47%,2.83%,3.72,89.86%
Bank of India,2022,4,202.42,94.25%,5.24%,0.51%,1.57,71.04%
Indian Bank,2022,4,138.63,92.05%,7.13%,0.81%,1.2,78.64%
Central Bank of India,2022,4,109.91,91.78%,5.92%,2.31%,2.05,59.35%
Federal Bank,2022,4,84.01,94.02%,5.69%,0.29%,0.49,90.07%
IDBI Bank,2022,4,78.15,94.76%,4.41%,0.83%,0.66,67.01%
Airtel Payments Bank,2022,4,77.26,87.37%,11.68%,0.94%,0.7,88.24%
Bank of Maharashtra,2022,4,71.17,93.46%,5.64%,0.90%,0.57,73.06%
Indian Overseas Bank,2022,4,70.22,93.03%,5.64%,1.33%,0.8,76.12%
India Post Payment Bank,2022,4,66.48,81.20%,17.29%,1.50%,0.6,67.74%
YES Bank,2022,4,61.17,93.61%,5.89%,0.50%,0.32,0.00%
UCO Bank,2022,4,61.14,93.43%,6.13%,0.45%,0.51,74.33%
Karnataka Bank,2022,4,51.3,90.45%,7.72%,1.83%,0.58,36.72%
IndusInd Bank,2022,4,49.05,91.36%,8.37%,0.27%,0.29,93.93%
IDFC First Bank,2022,4,33.01,92.12%,6.57%,1.31%,0.38,42.68%
Karur Vysya Bank,2022,4,32.79,92.57%,7.28%,0.15%,0.18,93.95%
Fino Payments Bank,2022,4,31.73,82.51%,12.86%,4.63%,0.38,79.01%
Bandhan Bank,2022,4,24.1,85.38%,11.79%,2.83%,0.19,17.92%
South Indian Bank,2022,4,22.87,92.83%,6.43%,0.74%,0.19,97.12%
DBS Bank,2022,4,19.33,94.56%,5.17%,0.27%,0.09,96.53%
City Union Bank,2022,4,17.42,89.57%,9.61%,0.82%,0.14,82.07%
Equitas Bank,2022,4,16.93,84.38%,15.27%,0.35%,0.11,94.37%
CITI Bank,2022,4,16.56,94.97%,4.45%,0.59%,0.07,94.86%
Standard Chartered,2022,4,14.91,96.53%,2.90%,0.57%,0.1,96.28%
Ujjivan Small Finance Bank,2022,4,14.48,90.92%,7.04%,2.04%,0.15,55.64%
Tamilnad Mercantile Bank,2022,4,13.74,91.56%,8.08%,0.36%,0.08,56.86%
Andhra Pradesh Grameena Vikas Bank,2022,4,13.57,76.90%,19.17%,3.92%,0.21,14.73%
AU Small Finance Bank,2022,4,13.42,93.48%,6.33%,0.19%,0.09,0.03%
Punjab and Sind Bank,2022,4,13.28,86.25%,12.98%,0.77%,0.1,74.71%
Jammu and Kashmir Bank,2022,4,13.27,86.01%,9.64%,4.35%,0.16,53.22%
Pragathi Krishna Gramin Bank,2022,4,12.98,86.09%,11.30%,2.61%,0.21,56.54%
Maharashtra Gramin Bank,2022,4,12.86,78.01%,16.47%,5.52%,0.22,17.55%
Saraswat Bank,2022,4,11.82,94.77%,4.47%,0.76%,0.07,79.26%
Rajasthan Marudhara Gramin Bank,2022,4,8.98,68.38%,22.66%,8.96%,0.22,10.80%
Andhra Pragathi Grameena Bank,2022,4,8.73,67.91%,23.18%,8.91%,0.35,6.53%
Kerala Gramin Bank,2022,4,8.23,87.77%,11.75%,0.48%,0.06,85.07%
ESAF Small Finance Bank Ltd,2022,4,7.96,86.83%,11.98%,1.19%,0.04,96.76%
Sarva Haryana Gramin Bank,2022,4,7.33,85.43%,8.07%,6.50%,0.11,5.09%
RBL,2022,4,6.96,88.44%,10.50%,1.06%,0.06,72.50%
Karnataka Vikas Grameena Bank,2022,4,6.71,72.65%,21.19%,6.16%,0.17,11.92%
Baroda Rajasthan Kshetriya Gramin Bank,2022,4,6.28,84.59%,11.27%,4.14%,0.05,63.14%
State Bank of India,2023,4,2298.06,93.37%,4.69%,1.94%,8.38,95.68%
HDFC Bank,2023,4,797.45,96.04%,3.61%,0.35%,3.29,95.17%
Bank of Baroda,2023,4,589.97,93.37%,6.35%,0.28%,1.98,98.94%
Union Bank of India,2023,4,558.92,94.06%,4.40%,1.54%,3.01,66.96%
ICICI Bank,2023,4,456.92,96.67%,3.02%,0.31%,3.06,63.74%
Punjab National Bank,2023,4,429.32,94.35%,4.53%,1.12%,2.36,85.70%
Kotak Mahindra Bank,2023,4,420.44,94.51%,4.95%,0.54%,3.72,89.86%
Axis Bank,2023,4,419.45,95.75%,4.12%,0.13%,1.39,77.12%
Canara Bank,2023,4,410.23,94.14%,5.33%,0.53%,4.63,80.40%
Paytm Payments Bank,2023,4,403.18,96.01%,3.92%,0.07%,1.04,99.58%
Bank of India,2023,4,298.42,95.51%,4.11%,0.38%,1.57,71.04%
Indian Bank,2023,4,241.65,94.22%,5.42%,0.36%,1.2,78.64%
Airtel Payments Bank,2023,4,203.03,84.88%,14.70%,0.43%,0.7,88.24%
India Post Payment Bank,2023,4,170.07,68.79%,19.69%,11.52%,0.6,67.74%
Central Bank of India,2023,4,143.94,89.12%,8.58%,2.30%,2.05,59.35%
Federal Bank,2023,4,140.58,95.05%,4.84%,0.11%,0.49,90.07%
Indian Overseas Bank,2023,4,114.6,93.86%,5.10%,1.04%,0.8,76.12%
IDBI Bank,2023,4,108.52,93.92%,4.05%,2.03%,0.66,67.01%
UCO Bank,2023,4,106.14,93.31%,5.79%,0.90%,0.51,74.33%
Bank of Maharashtra,2023,4,101.34,92.88%,4.44%,2.68%,0.57,73.06%
IndusInd Bank,2023,4,86.38,93.87%,5.50%,0.63%,0.29,93.93%
YES Bank,2023,4,83.98,94.30%,5.18%,0.53%,0.32,0.00%
Fino Payments Bank,2023,4,77.3,81.79%,15.43%,2.78%,0.38,79.01%
Karnataka Bank,2023,4,73.39,90.95%,6.77%,2.28%,0.58,36.72%
IDFC First Bank,2023,4,65.41,93.84%,5.29%,0.87%,0.38,42.68%
Karur Vysya Bank,2023,4,45.52,93.32%,6.30%,0.38%,0.18,93.95%
Bandhan Bank,2023,4,40.2,83.17%,11.83%,5.00%,0.19,17.93%
South Indian Bank,2023,4,35.35,95.40%,4.38%,0.22%,0.19,97.12%
Jammu and Kashmir Bank,2023,4,28.65,85.16%,6.51%,8.33%,0.16,53.22%
